dataset_id,dataset_label,driver_id,driver_label,best_lag_ka,best_info_bits_per_event,best_info_bits_per_bin,best_LR_p_value,best_LR_q_value_BH,best_delta_AICc_full_minus_reduced,analysis_type,lr04_control_lag_ka,co2_control_lag_ka
strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.0,0.14069359510424595,0.0041538109030777376,0.00011512554889879605,0.00022741985356198853,-14.122412475268902,pre_phase_after_best_lr04_co2_lags,2.4,1.8
strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.0,0.16549606757065244,0.0048860743758954535,2.327056421188759e-05,0.0005413645602908008,-17.32008055341589,pre_phase_after_lr04_co2_same_lag,0.0,0.0
strong_monsoon_start,Strong monsoon starts,co2,CO2,1.8,0.12428213475475701,0.0036692820737118737,6.257364613389735e-05,0.0005189456758190354,-14.018031035604508,single_driver_given_y_history,,
strong_monsoon_start,Strong monsoon starts,lr04,LR04,2.4,0.1082618225444962,0.0031963014275041735,0.00018697065406034173,0.0011803851608340246,-11.952606266921293,single_driver_given_y_history,,
strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,0.0,0.1273216913402697,0.003759021363379391,0.00027260179934997323,0.00039518342751854044,-12.403541641489255,single_driver_given_y_history,,
weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,0.0,0.10834998240832727,0.0033364915217802367,0.0006857886778032248,0.004361267091880855,-10.553319939259723,pre_phase_after_best_lr04_co2_lags,0.0,0.0
weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,0.8,0.11073296911249958,0.0034098723821944315,0.0005842615606780819,0.0035035879051783306,-10.873761479229643,pre_phase_after_lr04_co2_same_lag,0.8,0.8
weak_monsoon_start,Weak monsoon starts,co2,CO2,0.0,0.15790835958191823,0.004862574882363832,4.064842167629538e-06,6.082724372344096e-05,-19.228934574771756,single_driver_given_y_history,,
weak_monsoon_start,Weak monsoon starts,lr04,LR04,0.0,0.11120801105022882,0.003424500657737205,0.00011015243123216651,0.004027080544849208,-12.949112881085739,single_driver_given_y_history,,
weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,0.0,0.06882392607067091,0.0021193399456682785,0.009780196528855518,0.051509085233143855,-5.243336165760411,single_driver_given_y_history,,
