window_label,event_type,event_label,published_age_ka,published_order,source_file
0.4-4,strong_monsoon_start,Strong monsoon starts,149.05,33,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,151.75,34,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,157.05,35,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,158.15,36,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,160.5,37,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,163.8,38,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,168.75,39,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,169.55,40,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,173.15,41,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,176.25,42,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,177.95,43,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,182.55,44,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,190.65,45,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,192.75,46,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,198.95,47,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,219.05,48,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,225.2,49,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,230.75,50,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,241.65,51,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,248.25,52,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,251.15,53,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,258.75,54,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,264.0,55,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,272.85,56,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,293.9,57,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,315.45,58,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,316.35,59,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,332.45,60,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,334.05,61,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,337.35,62,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,351.45,63,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,365.65,64,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,368.1,65,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,370.75,66,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,375.95,67,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,377.45,68,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,390.8,69,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,393.6,70,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,412.25,71,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,426.05,72,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,447.4,73,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,449.45,74,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,458.9,75,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,463.15,76,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,465.95,77,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,472.75,78,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,483.65,79,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,504.15,80,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,531.75,81,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,548.25,82,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,553.55,83,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,555.65,84,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,559.15,85,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,561.25,86,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,562.25,87,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,580.3,88,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,582.95,89,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,593.9,90,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,604.0,91,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,625.65,92,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,627.55,93,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,630.1,94,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
0.4-4,strong_monsoon_start,Strong monsoon starts,633.3,95,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
