transition_id,age_ka,jump_direction,event_type,window_label,d_cut,sigma_cut,change_cut,change_cut_setting,edge_nan_ksstat,best_for_window
33,157.05,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
34,160.495,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
35,163.82,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
36,168.99,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
37,169.56,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
38,173.13,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
39,176.25,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
40,178.20499999999998,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
41,178.815,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
42,182.5,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
43,190.485,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
44,192.855,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
45,199.13,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
46,200.445,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
47,226.65674003775348,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
48,242.174,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
49,248.404,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
50,251.166,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
51,258.772,-1,strong_monsoon_start,0.4-4,0.68,2.0,0.5534439014047682,default,False,0.4-4
