window_label,w_min,w_max,n_windows,n_cut,default_change_cut,n_cheng_points,age_min_ka,age_max_ka,primary_match_tolerance_ka
0.4-4,0.4,4.0,15,3,0.5534439014047682,8346,0.0,639.7974,0.8
0.6-4,0.6,4.0,15,3,0.5534439014047682,8346,0.0,639.7974,0.8
