event_type,detected_index,reference_index,detected_age_ka,reference_age_ka,reference_age_ka_b2k,reference_label,age_error_ka,abs_age_error_ka,detected_transition_id,detected_age_ka,detected_window_ka,detected_ks_D,detected_delta_ch4_young_minus_old,detected_abs_delta_ch4,detected_sigma_change,detected_direction,detected_event_type,detected_n_old,detected_n_young,detected_score
GI,24,53,84.7,84.71000000000001,84.76,GI-21.1,-0.010000000000005116,0.010000000000005116,25,84.7,1.4,1.0,144.53120723213948,144.53120723213948,5.088547447956908,rise,GI,14,14,5.088547447956908
GI,5,7,27.7,27.73,27.78,GI-3,-0.030000000000001137,0.030000000000001137,6,27.7,0.8,0.5,16.76250000000016,16.76250000000016,0.6831736020793826,rise,GI,8,8,0.3415868010396913
GI,29,65,108.3,108.23,108.28,GI-24.2,0.06999999999999318,0.06999999999999318,30,108.3,1.0,1.0,141.30074846883264,141.30074846883264,10.043558725691122,rise,GI,10,10,10.043558725691122
GI,14,27,47.0,46.81,46.86,GI-12,0.18999999999999773,0.18999999999999773,15,47.0,1.0,1.0,58.10500000000064,58.10500000000064,7.0745152252862376,rise,GI,10,10,7.0745152252862376
GI,11,19,38.4,38.17,38.22,GI-8,0.22999999999999687,0.22999999999999687,12,38.4,1.0,1.0,120.98500000000035,120.98500000000035,13.496012908211359,rise,GI,10,10,13.496012908211359
GI,15,31,54.4,54.17,54.22,GI-14,0.22999999999999687,0.22999999999999687,16,54.4,1.2,0.9166666666666666,83.12916666666581,83.12916666666581,2.660788387185356,rise,GI,12,12,2.439056021586576
GI,7,13,32.7,32.45,32.5,GI-5.2,0.25,0.25,8,32.7,0.8,0.75,50.73124999999965,50.73124999999965,1.406786154217248,rise,GI,8,8,1.055089615662936
GI,10,17,35.7,35.43,35.48,GI-7,0.2700000000000031,0.2700000000000031,11,35.7,0.8,1.0,93.72500000000002,93.72500000000002,4.884599784102329,rise,GI,8,8,4.884599784102329
GI,8,15,34.0,33.690000000000005,33.74,GI-6,0.30999999999999517,0.30999999999999517,9,34.0,0.8,0.625,28.362499999999955,28.362499999999955,0.7554656935626831,rise,GI,8,8,0.4721660584766769
GI,12,25,43.6,43.290000000000006,43.34,GI-11,0.30999999999999517,0.30999999999999517,13,43.6,0.8,1.0,72.09999999999934,72.09999999999934,5.278763847996056,rise,GI,8,8,5.278763847996056
GI,6,9,29.2,28.849999999999998,28.9,GI-4,0.3500000000000014,0.3500000000000014,7,29.2,0.8,0.625,36.33750000000009,36.33750000000009,0.9784191849235053,rise,GI,8,8,0.6115119905771909
GI,18,43,59.8,59.39,59.44,GI-17.2,0.4099999999999966,0.4099999999999966,19,59.8,2.8,1.0,114.97321428571405,114.97321428571405,2.722201295560982,rise,GI,28,28,2.722201295560982
GI,19,45,64.5,64.05,64.1,GI-18,0.45000000000000284,0.45000000000000284,20,64.5,0.8,0.75,37.10624999999965,37.10624999999965,1.052071682460166,rise,GI,8,8,0.7890537618451244
GS,3,0,12.8,12.846,12.896,GS-1,-0.045999999999999375,0.045999999999999375,4,12.8,1.0,1.0,-183.69499999999994,183.69499999999994,6.339407937410578,fall,GS,10,10,6.339407937410578
GS,9,16,34.8,34.690000000000005,34.74,GS-7,0.10999999999999233,0.10999999999999233,10,34.8,0.8,1.0,-95.98124999999902,95.98124999999902,5.158432424503557,fall,GS,8,8,5.158432424503557
GS,13,26,44.5,44.230000000000004,44.28,GS-12,0.269999999999996,0.269999999999996,14,44.5,0.8,1.0,-48.71249999999969,48.71249999999969,3.4762495445680153,fall,GS,8,8,3.4762495445680153
GS,17,42,58.9,59.25,59.3,GS-17.2,-0.3500000000000014,0.3500000000000014,18,58.9,0.8,0.375,-30.6000000000015,30.6000000000015,0.3974295904561976,fall,GS,8,8,0.1490360964210741
GS,30,66,110.2,110.59,110.64,GS-25,-0.39000000000000057,0.39000000000000057,31,110.2,1.2,1.0,-31.689034084058335,31.689034084058335,3.306640930011552,fall,GS,12,12,3.306640930011552
GS,16,36,56.9,56.45,56.5,GS-16.1,0.44999999999999574,0.44999999999999574,17,56.9,0.8,1.0,-85.60624999999993,85.60624999999993,5.4820242531299685,fall,GS,8,8,5.4820242531299685
