window_min_ka,window_max_ka,d_cut,sigma_cut,gi_tp,gi_fp,gi_fn,gi_precision,gi_recall,gi_f1,gs_tp,gs_fp,gs_fn,gs_precision,gs_recall,gs_f1,tp,fp,fn,precision,recall,f1,median_abs_age_error_ka,mean_abs_age_error_ka,n_detected_calibration,n_reference,calibration_eligible
0.8,6.0,0.25,0.15,13,5,21,0.7222222222222222,0.38235294117647056,0.4999999999999999,6,6,29,0.5,0.17142857142857143,0.2553191489361702,19,11,50,0.6333333333333333,0.2753623188405797,0.3838383838383838,0.269999999999996,0.24873684210526162,30,69,True
0.8,6.0,0.3,0.35,16,5,18,0.7619047619047619,0.47058823529411764,0.5818181818181817,9,7,26,0.5625,0.2571428571428571,0.3529411764705882,25,12,44,0.6756756756756757,0.36231884057971014,0.4716981132075472,0.25,0.23543999999999926,37,69,True
0.8,6.0,0.25,0.35,16,5,18,0.7619047619047619,0.47058823529411764,0.5818181818181817,9,7,26,0.5625,0.2571428571428571,0.3529411764705882,25,12,44,0.6756756756756757,0.36231884057971014,0.4716981132075472,0.25,0.23543999999999926,37,69,True
0.8,6.0,0.35,0.35,17,6,17,0.7391304347826086,0.5,0.5964912280701754,9,7,26,0.5625,0.2571428571428571,0.3529411764705882,26,13,43,0.6666666666666666,0.37681159420289856,0.4814814814814815,0.23999999999999844,0.2336923076923069,39,69,True
0.8,5.0,0.3,0.35,16,6,18,0.7272727272727273,0.47058823529411764,0.5714285714285714,9,7,26,0.5625,0.2571428571428571,0.3529411764705882,25,13,44,0.6578947368421053,0.36231884057971014,0.4672897196261682,0.25,0.23543999999999926,38,69,True
0.8,5.0,0.25,0.35,16,6,18,0.7272727272727273,0.47058823529411764,0.5714285714285714,9,7,26,0.5625,0.2571428571428571,0.3529411764705882,25,13,44,0.6578947368421053,0.36231884057971014,0.4672897196261682,0.25,0.23543999999999926,38,69,True
0.8,6.0,0.3,0.25,15,6,19,0.7142857142857143,0.4411764705882353,0.5454545454545455,8,7,27,0.5333333333333333,0.22857142857142856,0.32,23,13,46,0.6388888888888888,0.3333333333333333,0.4380952380952381,0.25,0.23243478260869427,36,69,True
0.8,6.0,0.3,0.15,13,5,21,0.7222222222222222,0.38235294117647056,0.4999999999999999,8,8,27,0.5,0.22857142857142856,0.3137254901960784,21,13,48,0.6176470588235294,0.30434782608695654,0.4077669902912621,0.25,0.23457142857142696,34,69,True
1.0,6.0,0.3,0.35,13,5,21,0.7222222222222222,0.38235294117647056,0.4999999999999999,7,8,28,0.4666666666666667,0.2,0.27999999999999997,20,13,49,0.6060606060606061,0.2898550724637681,0.392156862745098,0.2199999999999953,0.2327999999999996,33,69,True
1.0,6.0,0.25,0.35,13,5,21,0.7222222222222222,0.38235294117647056,0.4999999999999999,7,8,28,0.4666666666666667,0.2,0.27999999999999997,20,13,49,0.6060606060606061,0.2898550724637681,0.392156862745098,0.2199999999999953,0.2327999999999996,33,69,True
0.8,5.0,0.35,0.35,17,6,17,0.7391304347826086,0.5,0.5964912280701754,9,8,26,0.5294117647058824,0.2571428571428571,0.34615384615384615,26,14,43,0.65,0.37681159420289856,0.47706422018348627,0.23999999999999844,0.2336923076923069,40,69,True
0.8,6.0,0.3,0.5,17,5,17,0.7727272727272727,0.5,0.6071428571428571,7,9,28,0.4375,0.2,0.27450980392156865,24,14,45,0.631578947368421,0.34782608695652173,0.4485981308411215,0.22999999999999687,0.223999999999999,38,69,True
0.8,6.0,0.25,0.5,17,5,17,0.7727272727272727,0.5,0.6071428571428571,7,9,28,0.4375,0.2,0.27450980392156865,24,14,45,0.631578947368421,0.34782608695652173,0.4485981308411215,0.22999999999999687,0.223999999999999,38,69,True
0.8,6.0,0.35,0.15,15,6,19,0.7142857142857143,0.4411764705882353,0.5454545454545455,8,8,27,0.5,0.22857142857142856,0.3137254901960784,23,14,46,0.6216216216216216,0.3333333333333333,0.43396226415094336,0.22999999999999687,0.22982608695652026,37,69,True
0.8,6.0,0.25,0.25,15,6,19,0.7142857142857143,0.4411764705882353,0.5454545454545455,7,8,28,0.4666666666666667,0.2,0.27999999999999997,22,14,47,0.6111111111111112,0.3188405797101449,0.41904761904761906,0.25,0.2361818181818168,36,69,True
0.8,5.0,0.25,0.15,14,6,20,0.7,0.4117647058823529,0.5185185185185185,7,8,28,0.4666666666666667,0.2,0.27999999999999997,21,14,48,0.6,0.30434782608695654,0.40384615384615385,0.25,0.24409523809523664,35,69,True
1.0,5.0,0.35,0.35,13,6,21,0.6842105263157895,0.38235294117647056,0.49056603773584906,7,8,28,0.4666666666666667,0.2,0.27999999999999997,20,14,49,0.5882352941176471,0.2898550724637681,0.38834951456310673,0.2199999999999953,0.2337999999999994,34,69,True
1.0,5.0,0.3,0.35,13,6,21,0.6842105263157895,0.38235294117647056,0.49056603773584906,7,8,28,0.4666666666666667,0.2,0.27999999999999997,20,14,49,0.5882352941176471,0.2898550724637681,0.38834951456310673,0.2199999999999953,0.2327999999999996,34,69,True
1.0,5.0,0.25,0.35,13,6,21,0.6842105263157895,0.38235294117647056,0.49056603773584906,7,8,28,0.4666666666666667,0.2,0.27999999999999997,20,14,49,0.5882352941176471,0.2898550724637681,0.38834951456310673,0.2199999999999953,0.2327999999999996,34,69,True
