dataset_id,dataset_label,bin_width_ka,n_bins,n_events,empty_bin_fraction,multi_event_bin_count,max_event_count_per_bin,best_core_model_id,full_model_core_rank_AICc,full_model_core_delta_AICc,lr04_alone_p,co2_alone_p,pre_phase_alone_p,phase_after_climate_p,phase_after_climate_delta_AICc_full_minus_reduced,pre_phase_preferred_deg,preferred_phase_shift_vs_0p2_deg,pre_phase_rate_ratio_max_vs_min,qualitatively_matches_0p2
strong_monsoon_start,Strong monsoon starts,0.2,3200,96,0.97,0,1,climate_lr04_co2_pre_phase,1.0,0.0,0.002196225387678888,0.013068680218955154,0.001226740341650594,0.0005248244056791511,-11.093617797825004,10.815601516011776,0.0,3.18003392377064,True
strong_monsoon_start,Strong monsoon starts,0.4,1600,96,0.94,0,1,climate_lr04_co2_pre_phase,1.0,0.0,0.002203124806435822,0.014181352160158677,0.0012788496185891648,0.0005467015138805561,-11.000611605540826,10.623048332860915,-0.19255318315086356,3.169645237805596,True
strong_monsoon_start,Strong monsoon starts,0.6,1067,96,0.9100281162136832,0,1,climate_lr04_co2_pre_phase,1.0,0.0,0.0020194492768943234,0.009275122456722764,0.0011770329250888774,0.0005032434985282023,-11.154900011404266,11.535739538673246,0.7201380226614731,3.1907482641364693,True
strong_monsoon_start,Strong monsoon starts,0.8,800,96,0.88125,1,2,climate_lr04_co2_pre_phase,1.0,0.0,0.0020518882107941703,0.011179686471925365,0.0013228186150949911,0.0005583897919710001,-10.935490578213944,10.51233192632201,-0.30326958968976214,3.164421712640761,True
strong_monsoon_start,Strong monsoon starts,1.0,640,96,0.85,0,1,climate_lr04_co2_pre_phase,1.0,0.0,0.001941010704300302,0.012188617132847804,0.0013880200044077435,0.0005996460887278519,-10.781440482880953,11.067542501503452,0.25194098549167165,3.1457494556361456,True
weak_monsoon_start,Weak monsoon starts,0.2,3200,94,0.970625,0,1,climate_lr04_co2_pre_phase,1.0,0.0,0.001309257368224344,8.246975206698807e-05,0.007463828650838521,0.004850513926413975,-6.646065395316555,237.47718329285038,0.0,2.6313507139197903,True
weak_monsoon_start,Weak monsoon starts,0.4,1600,94,0.94125,0,1,climate_lr04_co2_pre_phase,1.0,0.0,0.0013490400716990331,0.00010487807706855482,0.006587629551278481,0.004184598939253784,-6.930085264750687,237.72871721479243,0.25153392194204116,2.6678507948027024,True
weak_monsoon_start,Weak monsoon starts,0.6,1067,94,0.9128397375820057,1,2,climate_lr04_co2_pre_phase,1.0,0.0,0.0014157579782824942,9.331795975291538e-05,0.0073005994563734205,0.00479394078482993,-6.646832176367866,236.64702211978107,-0.8301611730693139,2.6343164895016145,True
weak_monsoon_start,Weak monsoon starts,0.8,800,94,0.885,2,2,climate_lr04_co2_pre_phase,1.0,0.0,0.0009930219403662772,0.00011724851761119808,0.0062593395785296435,0.003861857923020442,-7.0677977713367,238.35901970636954,0.881836413519153,2.6876897227973378,True
weak_monsoon_start,Weak monsoon starts,1.0,640,94,0.85625,2,2,climate_lr04_co2_pre_phase,1.0,0.0,0.0011284035304115745,7.23166668572559e-05,0.006773335211086792,0.004304522917794912,-6.83927656054675,237.7799625864597,0.3027792936093192,2.661724068218051,True
