history_window_ka,dataset_id,dataset_label,model_id,model_label,terms,bin_width_ka,n_bins,n_events,n_parameters,converged,optimizer_message,log_likelihood,AIC,AICc,BIC,expected_events,max_fitted_rate_per_kyr,mean_fitted_rate_per_kyr,beta_intercept,beta_same_type_history_count,beta_cheng_log_resolution_scaled,beta_lr04_scaled,beta_co2_scaled,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_amplitude,pre_phase_preferred_rad,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,delta_AICc,rank_AICc
1.0,weak_monsoon_start,Weak monsoon starts,baseline_climate_lr04_co2_pre_phase,Full predictive model,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3195,99,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-414.64276370736764,843.2855274147353,843.3206701822282,885.7709239824167,98.99998630893404,1.2108852396853087,0.15492955603902037,-1.9804832425337013,-1.0843966867255757,-2.2501448122856904,0.44255297564979473,-2.0957992055767805,-0.4709876434604733,-0.29064527668466716,0.5534474113694603,4.159492586649945,238.32137013099572,3.0249507874500647,1.7637168387518614,2.0
1.0,weak_monsoon_start,Weak monsoon starts,baseline_lr04_pre_phase,Event-process baseline + LR04 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+pre_phase_sin+pre_phase_cos,0.2,3195,99,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-417.26400876934196,846.5280175386839,846.554366346714,882.9440717395537,99.00014944105524,0.9696676596491448,0.15492981133185477,-1.9666079246793386,-1.0258983353188873,-2.1926550712408748,2.110841131540463,,-0.5097231026178711,-0.27851620728687887,0.5808518908154268,4.212308592065361,241.34750433203916,3.1953728584500425,4.997413003237625,3.0
1.0,weak_monsoon_start,Weak monsoon starts,baseline_co2,Event-process baseline + CO$_2$,same_type_history_count+cheng_log_resolution_scaled+co2_scaled,0.2,3195,99,4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-421.85400559294476,851.7080111858895,851.7205503708425,875.9853806531361,98.99999569302571,0.9766171628072826,0.15492957072460986,-1.9358990802941969,-0.9407883084321321,-2.28379888816382,,-2.4531197030683907,,,,,,,10.163597027366109,4.0
1.0,weak_monsoon_start,Weak monsoon starts,baseline_climate_lr04_co2,Climate-state model,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3195,99,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-421.8089220865453,853.6178441730906,853.6366588485374,883.9645560071488,99.00013757086577,1.0015970972010493,0.15492979275565846,-1.9359829950860787,-0.9412627264632695,-2.272360593455191,0.25348257889466924,-2.2261828702456916,,,,,,,12.079705505061042,5.0
1.0,weak_monsoon_start,Weak monsoon starts,baseline_lr04,Event-process baseline + LR04,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled,0.2,3195,99,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-425.13288691195163,858.2657738239033,858.2783130088562,882.5431432911498,98.99998122883795,0.9470669928825892,0.15492954808894824,-1.9130333976404743,-0.8719883825209551,-2.147617709292649,1.9604928165450906,,,,,,,,16.72135966537985,6.0
1.0,weak_monsoon_start,Weak monsoon starts,baseline_pre_phase,Event-process baseline + precession phase,same_type_history_count+cheng_log_resolution_scaled+pre_phase_sin+pre_phase_cos,0.2,3195,99,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-428.86215966170005,867.7243193234001,867.7431339988469,898.0710311574583,99.000017586876,0.637014081699739,0.15492960498728633,-1.88993006643561,-0.786894619361265,-1.8203108661945666,,,-0.3512179490383571,-0.38341004796840095,0.5199589528124711,3.883197881153223,222.4908496042235,2.8289847610823373,26.18618065537055,7.0
1.0,weak_monsoon_start,Weak monsoon starts,history_resolution_baseline,Event-process baseline,same_type_history_count+cheng_log_resolution_scaled,0.2,3195,99,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-435.2198329466602,876.4396658933204,876.4471870465638,894.6476929937553,98.99999954760307,0.4425947410281652,0.15492957675681227,-1.8419199721092052,-0.6644168876353043,-1.8109678278628754,,,,,,,,,34.89023370308746,8.0
1.0,weak_monsoon_start,Weak monsoon starts,stationary,Stationary,none,0.2,3195,99,1,True,analytic stationary MLE,-442.94802915102713,887.8960583020543,887.8973110424238,893.9654006688659,99.0,0.15492957746478872,0.15492957746478872,-1.864784604242945,,,,,,,,,,,46.3403576989474,9.0
2.0,strong_monsoon_start,Strong monsoon starts,baseline_lr04_pre_phase,Event-process baseline + LR04 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+pre_phase_sin+pre_phase_cos,0.2,3190,95,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-400.6773865482182,813.3547730964364,813.3811632943629,849.7614302711097,95.0000192882116,1.3197684104564853,0.148902851548921,-1.9697127937027872,-0.7806860423612672,-2.851781663330886,1.9564686910400544,,0.07841291044097998,0.705401357709952,0.7097461940601505,0.11070620748595388,6.342998454844757,4.135020921683541,0.0,1.0
2.0,strong_monsoon_start,Strong monsoon starts,baseline_climate_lr04_co2_pre_phase,Full predictive model,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3190,95,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-400.5006942945838,815.0013885891676,815.036586577854,857.4758219596199,94.99991187676754,1.2293092549257518,0.1489026831924256,-1.9692231381088074,-0.7871761033517222,-2.874506927323132,1.5906978422244453,-0.4747887074791881,0.09044870245591113,0.7068343024461863,0.7125978521512288,0.12727142807492228,7.292115681295862,4.158671633053376,1.6554232834911318,2.0
