transition_id,age_ka,jump_direction,event_type,detector_change_cut,source
1,4.8066775,1,weak_monsoon_start,0.36320311071203554,lowpass_only
2,5.8913717000000005,1,weak_monsoon_start,0.36320311071203554,lowpass_only
3,12.33125,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
4,13.9565,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
5,15.2135,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
6,17.04625,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
7,29.357750000000003,1,weak_monsoon_start,0.36320311071203554,lowpass_only
8,31.82625,1,weak_monsoon_start,0.36320311071203554,lowpass_only
9,62.31869999999999,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
10,79.07797500000001,1,weak_monsoon_start,0.36320311071203554,lowpass_only
11,80.19409999999999,1,weak_monsoon_start,0.36320311071203554,lowpass_only
12,86.811825,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
13,88.03219999999999,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
14,91.6251,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
15,97.70080000000002,1,weak_monsoon_start,0.36320311071203554,lowpass_only
16,99.19999999999999,1,weak_monsoon_start,0.36320311071203554,lowpass_only
17,111.20686747042711,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
18,113.21979350321078,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
19,121.00876106162684,1,weak_monsoon_start,0.36320311071203554,lowpass_only
20,121.91863716781862,1,weak_monsoon_start,0.36320311071203554,lowpass_only
21,122.58340909026951,1,weak_monsoon_start,0.36320311071203554,lowpass_only
22,129.65949999999998,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
23,131.0635,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
24,145.805,1,weak_monsoon_start,0.36320311071203554,lowpass_only
25,159.635,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
26,166.55,1,weak_monsoon_start,0.36320311071203554,lowpass_only
27,168.5,1,weak_monsoon_start,0.36320311071203554,lowpass_only
28,170.37,1,weak_monsoon_start,0.36320311071203554,lowpass_only
29,179.54500000000002,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
30,180.88,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
31,181.925,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
32,183.26,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
33,193.065,1,weak_monsoon_start,0.36320311071203554,lowpass_only
34,199.895,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
35,201.125,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
36,201.945,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
37,203.115,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
38,209.21,1,weak_monsoon_start,0.36320311071203554,lowpass_only
39,226.8964550591627,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
40,227.98843454616144,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
41,233.36658218032306,1,weak_monsoon_start,0.36320311071203554,lowpass_only
42,241.61849999999998,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
43,256.6465,1,weak_monsoon_start,0.36320311071203554,lowpass_only
44,258.46000000000004,1,weak_monsoon_start,0.36320311071203554,lowpass_only
45,264.48015,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
46,281.42185,1,weak_monsoon_start,0.36320311071203554,lowpass_only
47,290.04139999999995,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
48,309.747,1,weak_monsoon_start,0.36320311071203554,lowpass_only
49,316.972,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
50,318.804,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
51,326.823,1,weak_monsoon_start,0.36320311071203554,lowpass_only
52,328.022,1,weak_monsoon_start,0.36320311071203554,lowpass_only
53,335.668,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
54,336.91999999999996,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
55,343.04,1,weak_monsoon_start,0.36320311071203554,lowpass_only
56,345.528,1,weak_monsoon_start,0.36320311071203554,lowpass_only
57,347.72950000000003,1,weak_monsoon_start,0.36320311071203554,lowpass_only
58,371.1645,1,weak_monsoon_start,0.36320311071203554,lowpass_only
59,378.31100000000004,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
60,393.4448484401781,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
61,402.83148244216056,1,weak_monsoon_start,0.36320311071203554,lowpass_only
62,414.3081342372314,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
63,416.9200841309927,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
64,425.79082649980194,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
65,432.2063443133169,1,weak_monsoon_start,0.36320311071203554,lowpass_only
66,433.39940504276063,1,weak_monsoon_start,0.36320311071203554,lowpass_only
67,443.1950436675187,1,weak_monsoon_start,0.36320311071203554,lowpass_only
68,450.4716429627751,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
69,454.9014334004563,1,weak_monsoon_start,0.36320311071203554,lowpass_only
70,462.7115882681961,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
71,466.2251137852163,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
72,471.2599913210672,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
73,478.86217613864403,1,weak_monsoon_start,0.36320311071203554,lowpass_only
74,480.5389730177578,1,weak_monsoon_start,0.36320311071203554,lowpass_only
75,483.7057445691022,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
76,493.65119588164765,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
77,501.3740763096784,1,weak_monsoon_start,0.36320311071203554,lowpass_only
78,507.8085,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
79,509.14435000000003,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
80,517.3216,1,weak_monsoon_start,0.36320311071203554,lowpass_only
81,520.8126,1,weak_monsoon_start,0.36320311071203554,lowpass_only
82,523.8636,1,weak_monsoon_start,0.36320311071203554,lowpass_only
83,531.73785,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
84,538.83335,1,weak_monsoon_start,0.36320311071203554,lowpass_only
85,547.0751,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
86,553.52405,1,weak_monsoon_start,0.36320311071203554,lowpass_only
87,560.64255,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
88,561.7552000000001,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
89,570.6193000000001,1,weak_monsoon_start,0.36320311071203554,lowpass_only
90,580.52925,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
91,592.20245,1,weak_monsoon_start,0.36320311071203554,lowpass_only
92,608.33545,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
93,616.0924,1,weak_monsoon_start,0.36320311071203554,lowpass_only
94,617.2683,1,weak_monsoon_start,0.36320311071203554,lowpass_only
95,618.41845,1,weak_monsoon_start,0.36320311071203554,lowpass_only
96,627.279,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
97,628.8722,-1,strong_monsoon_start,0.36320311071203554,lowpass_only
98,633.8450499999999,1,weak_monsoon_start,0.36320311071203554,lowpass_only
99,634.9676999999999,1,weak_monsoon_start,0.36320311071203554,lowpass_only
