event_type,event_label,observed_n_events,observed_mean_phase_deg,observed_Rbar,observed_rayleigh_z,observed_rayleigh_p,lowpass_only_n_events,lowpass_only_mean_phase_deg,lowpass_only_Rbar,lowpass_only_rayleigh_p,surrogate_n,surrogate_event_count_mean,surrogate_event_count_q025,surrogate_event_count_q975,surrogate_Rbar_mean,surrogate_Rbar_q95,surrogate_rayleigh_z_mean,surrogate_rayleigh_z_q95,surrogate_neg_log10_p_mean,surrogate_neg_log10_p_q95,empirical_p_z_ge_observed,empirical_p_Rbar_ge_observed,n_surrogate_rayleigh_p_lt_0p05,fraction_surrogate_rayleigh_p_lt_0p05,fraction_surrogate_event_count_ge_observed
strong_monsoon_start,Strong monsoon starts,95,29.440663328725066,0.19826060253810932,3.734190319283545,0.023481147660222905,51,72.9873741722429,0.6386124967734739,4.5834988475691807e-10,50,145.94,127.225,161.0,0.18373238076339013,0.22290523268818715,5.051216199546621,7.332756836176107,2.207281346869394,3.2158726423646344,0.7843137254901961,0.39215686274509803,45,0.9,1.0
weak_monsoon_start,Weak monsoon starts,101,219.0037944129981,0.2848607767982804,8.195711877970092,0.00024186290694246476,48,255.47117306000467,0.640615195458854,1.1908796694993563e-09,50,142.62,129.225,158.55,0.1861474658982153,0.25050207385758877,5.088922528063351,8.239636900008874,2.2253006216403612,3.623380435339515,0.0784313725490196,0.0196078431372549,44,0.88,1.0
