age_ka,d18o_raw,d18o_lowpass_10kyr,d18o_residual_lt10kyr
0.0,-9.66,-9.543272325242064,-0.11672767475793577
0.1,-9.33850768817073,-9.523703607950026,0.1851959197792965
0.2,-9.39616215611094,-9.50476454674844,0.10860239063750043
0.3,-9.508109764630152,-9.48651707958018,-0.02159268504997236
0.4,-9.144660856696536,-9.469022227882062,0.32436137118552644
0.5,-9.312057880457123,-9.452339851661922,0.14028197120479824
0.6,-9.512270821343419,-9.436528405790785,-0.07574241555263406
0.7,-9.056916879059438,-9.421644698790047,0.36472781973060897
0.8,-8.718774151114035,-9.40774365536003,0.6889695042459945
0.9,-9.191575917091628,-9.39487808385814,0.20330216676651247
1.0,-9.174150701709047,-9.383098449884296,0.2089477481752482
1.1,-9.393375429987254,-9.37245265706117,-0.0209227729260828
1.2,-9.204236607250246,-9.362985836015733,0.1587492287654868
1.3,-8.950989252746274,-9.354740142496885,0.40375088975061146
1.4,-9.306976498743925,-9.347754565511972,0.04077806676804663
1.5,-9.149845924737958,-9.342064746324477,0.19221882158651837
1.6,-9.27099375680165,-9.337702809113877,0.0667090523122269
1.7,-9.085849132252706,-9.334697204054033,0.2488480718013264
1.8,-9.131131221719459,-9.333072563523858,0.2019413418043996
1.9,-9.168218111002922,-9.332849572125266,0.16463146112234384
2.0,-8.793714328514717,-9.334044851143934,0.5403305226292172
2.1,-9.057174723087128,-9.336670858043055,0.2794961349559273
2.2,-8.883137154815987,-9.340735801524401,0.4575986467084139
2.3,-9.318996477974581,-9.346243572622386,0.02724709464780517
2.4,-8.839462508294625,-9.353193692216845,0.5137311839222196
2.5,-8.245090608522606,-9.36158127526666,1.1164906667440544
2.6,-9.146083267391118,-9.371397011981289,0.22531374459017073
2.7,-9.06047322540473,-9.382627166050229,0.3221539406454994
2.8,-9.131494396014942,-9.395253589931766,0.26375919391682423
2.9,-9.484744707347447,-9.409253757073634,-0.0754909502738137
3.0,-9.002104607721046,-9.424600810825371,0.4224962031043251
3.1,-8.737808219178083,-9.44126362971914,0.7034554105410571
3.2,-8.981961122432983,-9.459206908732972,0.4772457862999886
3.3,-8.92313981068919,-9.478391256084619,0.5552514453954291
3.4,-8.984903238677928,-9.498773305015517,0.5138700663375886
3.5,-9.624308705193855,-9.52030583991063,-0.10400286528322411
3.6,-10.002749559844533,-9.542937935977758,-0.4598116238667753
3.7,-9.351020436535519,-9.566615111604252,0.21559467506873276
3.8,-9.710863339357708,-9.591279492443103,-0.11958384691460466
3.9,-9.510882802724877,-9.616869986260385,0.10598718353550751
4.0,-9.774614208258027,-9.643322467584827,-0.13129174067320015
4.1,-9.730368462621476,-9.670569971213387,-0.05979849140808824
4.2,-10.06733586046809,-9.69854289363437,-0.36879296683371976
4.3,-10.056154594744886,-9.72716920143849,-0.32898539330639487
4.4,-9.921385915318904,-9.756374645809114,-0.16501126950979028
4.5,-9.184267729428287,-9.786082982220726,0.6018152527924396
4.6,-10.03392545549836,-9.81621619452291,-0.2177092609754503
4.7,-9.79900305388632,-9.846694722625447,0.04769166873912667
4.8,-10.026312678553838,-9.877437693012624,-0.14887498554121414
4.9,-10.161620529997041,-9.908363151306885,-0.2532573786901562
5.0,-9.94967687912521,-9.93938829609497,-0.010288583030240162
5.1,-9.876343217416995,-9.97042971323838,0.09408649582138473
5.2,-10.047127107274106,-10.001403609911762,-0.045723497362343934
5.3,-9.933648525151163,-10.032226047635792,0.09857752248462859
5.4,-10.277924143331386,-10.062813173584749,-0.2151109697466378
5.5,-10.412175248977077,-10.093081449452821,-0.3190937995242553
5.6,-10.090822203350564,-10.122947877166505,0.03212567381594056
5.7,-10.622532386319756,-10.1523302207442,-0.4702021655755555
5.8,-10.4554659618773,-10.181147223633777,-0.2743187382435224
5.9,-10.575283037001444,-10.209318820902418,-0.36596421609902663
6.0,-10.408571657399145,-10.236766345708247,-0.17180531169089797
6.1,-10.5365789341205,-10.263412729548854,-0.27316620457164653
6.2,-10.386263746825016,-10.289182695853123,-0.09708105097189268
6.3,-10.493912313219377,-10.314002946551716,-0.17990936666766189
6.4,-10.40589315833053,-10.337802341321911,-0.06809081700861874
6.5,-10.512134318746359,-10.360512069252767,-0.1516222494935917
6.6,-10.081299049162364,-10.382065812717475,0.3007667635551101
6.7,-10.044408026118244,-10.402399903270895,0.35799187715265113
6.8,-10.363513523818598,-10.421453469406504,0.05793994558790594
6.9,-10.40864370993494,-10.439168576000457,0.030524866065515965
7.0,-10.32646365622288,-10.455490355240837,0.12902669901795605
7.1,-10.612937277433637,-10.47036712880028,-0.14257014863335726
7.2,-10.657001885267977,-10.483750520976608,-0.17325136429136911
