transition_id,age_ka,jump_direction,event_type,detector_change_cut,source
1,3.49957375,1,weak_monsoon_start,0.5534439014047682,observed_raw
2,11.18636,-1,strong_monsoon_start,0.5534439014047682,observed_raw
3,12.77875,1,weak_monsoon_start,0.5534439014047682,observed_raw
4,14.61675,-1,strong_monsoon_start,0.5534439014047682,observed_raw
5,23.75625,-1,strong_monsoon_start,0.5534439014047682,observed_raw
6,24.5925,1,weak_monsoon_start,0.5534439014047682,observed_raw
7,26.65,1,weak_monsoon_start,0.5534439014047682,observed_raw
8,27.5565,1,weak_monsoon_start,0.5534439014047682,observed_raw
9,27.958750000000002,-1,strong_monsoon_start,0.5534439014047682,observed_raw
10,28.62925,1,weak_monsoon_start,0.5534439014047682,observed_raw
11,29.43,-1,strong_monsoon_start,0.5534439014047682,observed_raw
12,30.45975,1,weak_monsoon_start,0.5534439014047682,observed_raw
13,31.972749999999998,1,weak_monsoon_start,0.5534439014047682,observed_raw
14,32.67225,-1,strong_monsoon_start,0.5534439014047682,observed_raw
15,33.417500000000004,1,weak_monsoon_start,0.5534439014047682,observed_raw
16,33.998,-1,strong_monsoon_start,0.5534439014047682,observed_raw
17,34.699,1,weak_monsoon_start,0.5534439014047682,observed_raw
18,35.53275,-1,strong_monsoon_start,0.5534439014047682,observed_raw
19,36.604,1,weak_monsoon_start,0.5534439014047682,observed_raw
20,38.308,-1,strong_monsoon_start,0.5534439014047682,observed_raw
21,39.9567,1,weak_monsoon_start,0.5534439014047682,observed_raw
22,41.6761,-1,strong_monsoon_start,0.5534439014047682,observed_raw
23,42.3922,1,weak_monsoon_start,0.5534439014047682,observed_raw
24,43.61525,-1,strong_monsoon_start,0.5534439014047682,observed_raw
25,44.304249999999996,1,weak_monsoon_start,0.5534439014047682,observed_raw
26,45.72975,1,weak_monsoon_start,0.5534439014047682,observed_raw
27,47.25275,-1,strong_monsoon_start,0.5534439014047682,observed_raw
28,48.4734,1,weak_monsoon_start,0.5534439014047682,observed_raw
29,48.9349,1,weak_monsoon_start,0.5534439014047682,observed_raw
30,49.64745,-1,strong_monsoon_start,0.5534439014047682,observed_raw
31,54.14675,-1,strong_monsoon_start,0.5534439014047682,observed_raw
