driver,driver_label,event_type,event_label,n_events_total,n_phase_events_used,n_extrapolated_phase_events,mean_phase_rad,mean_phase_deg,mean_resultant_length,rayleigh_R,rayleigh_z,rayleigh_p
obl,Obliquity,strong_monsoon_start,Strong monsoon starts,96,96,0,4.678437619977227,268.0547303399248,0.063312621253399,6.078011640326303,0.38481484895772966,0.6816798080082592
obl,Obliquity,weak_monsoon_start,Weak monsoon starts,94,93,1,0.5288137167823171,30.298794120253206,0.07039361208177944,6.546605923605488,0.4608392378385641,0.6319592691798511
pre,Precession index,strong_monsoon_start,Strong monsoon starts,96,96,0,0.3825115612891494,21.91629807682798,0.25388593869817744,24.373050115025034,6.187974707390852,0.0019154376890144474
pre,Precession index,weak_monsoon_start,Weak monsoon starts,94,94,0,3.9563860003223392,226.68421994311439,0.2346579310234137,22.05784551620089,5.176048391665783,0.005401768679576187
