driver,driver_label,age_ka,source,value,phase_unwrapped_rad,phase_rad,phase_deg,phase_extrapolated
obl,Obliquity,576.2,data/raw/obl_800_inter100.txt,0.419692,90.88390445502925,2.9193101545150455,167.26415094339634,False
obl,Obliquity,576.3,data/raw/obl_800_inter100.txt,0.419729,90.89872328830089,2.9341289877866785,168.11320754716894,False
obl,Obliquity,576.4,data/raw/obl_800_inter100.txt,0.419764,90.91354212157255,2.94894782105834,168.96226415094318,False
obl,Obliquity,576.5,data/raw/obl_800_inter100.txt,0.419797,90.9283609548442,2.963766654329987,169.81132075471663,False
obl,Obliquity,576.6,data/raw/obl_800_inter100.txt,0.419826,90.94317978811586,2.9785854876016487,170.66037735849085,False
obl,Obliquity,576.7,data/raw/obl_800_inter100.txt,0.419854,90.9579986213875,2.993404320873296,171.5094339622643,False
obl,Obliquity,576.8,data/raw/obl_800_inter100.txt,0.419878,90.97281745465914,3.008223154144929,172.3584905660369,False
obl,Obliquity,576.9,data/raw/obl_800_inter100.txt,0.4199,90.9876362879308,3.0230419874165904,173.20754716981114,False
obl,Obliquity,577.0,data/raw/obl_800_inter100.txt,0.41992,91.00245512120244,3.0378608206882376,174.05660377358458,False
obl,Obliquity,577.1,data/raw/obl_800_inter100.txt,0.419937,91.0172739544741,3.052679653959899,174.90566037735883,False
obl,Obliquity,577.2,data/raw/obl_800_inter100.txt,0.419951,91.03209278774575,3.0674984872315463,175.75471698113225,False
obl,Obliquity,577.3,data/raw/obl_800_inter100.txt,0.419963,91.04691162101739,3.0823173205031793,176.60377358490487,False
obl,Obliquity,577.4,data/raw/obl_800_inter100.txt,0.419972,91.06173045428905,3.0971361537748407,177.45283018867912,False
obl,Obliquity,577.5,data/raw/obl_800_inter100.txt,0.419979,91.0765492875607,3.111954987046488,178.30188679245254,False
obl,Obliquity,577.6,data/raw/obl_800_inter100.txt,0.419983,91.09136812083236,3.1267738203181494,179.15094339622678,False
obl,Obliquity,577.7,data/raw/obl_800_inter100.txt,0.419984,91.106186954104,3.1415926535897967,180.0000000000002,False
obl,Obliquity,577.8,data/raw/obl_800_inter100.txt,0.419983,91.12027481353712,3.155680513022915,180.80717488789145,False
obl,Obliquity,577.9,data/raw/obl_800_inter100.txt,0.41998,91.13436267297027,3.169768372456062,181.61434977578432,False
obl,Obliquity,578.0,data/raw/obl_800_inter100.txt,0.419974,91.14845053240342,3.1838562318892087,182.42152466367722,False
obl,Obliquity,578.1,data/raw/obl_800_inter100.txt,0.419965,91.16253839183655,3.1979440913223414,183.22869955156926,False
obl,Obliquity,578.2,data/raw/obl_800_inter100.txt,0.419954,91.1766262512697,3.212031950755488,184.03587443946216,False
obl,Obliquity,578.3,data/raw/obl_800_inter100.txt,0.419941,91.19071411070281,3.2261198101886066,184.8430493273534,False
obl,Obliquity,578.4,data/raw/obl_800_inter100.txt,0.419925,91.20480197013596,3.2402076696217534,185.65022421524628,False
obl,Obliquity,578.5,data/raw/obl_800_inter100.txt,0.419907,91.21888982956911,3.2542955290549003,186.45739910313915,False
obl,Obliquity,578.6,data/raw/obl_800_inter100.txt,0.419886,91.23297768900224,3.268383388488033,187.26457399103123,False
obl,Obliquity,578.7,data/raw/obl_800_inter100.txt,0.419863,91.24706554843539,3.2824712479211797,188.0717488789241,False
obl,Obliquity,578.8,data/raw/obl_800_inter100.txt,0.419837,91.2611534078685,3.296559107354298,188.87892376681535,False
obl,Obliquity,578.9,data/raw/obl_800_inter100.txt,0.419809,91.27524126730165,3.310646966787445,189.68609865470822,False
obl,Obliquity,579.0,data/raw/obl_800_inter100.txt,0.419778,91.2893291267348,3.324734826220592,190.4932735426011,False
obl,Obliquity,579.1,data/raw/obl_800_inter100.txt,0.419746,91.30341698616793,3.3388226856537244,191.30044843049316,False
obl,Obliquity,579.2,data/raw/obl_800_inter100.txt,0.41971,91.31750484560108,3.3529105450868713,192.10762331838603,False
obl,Obliquity,579.3,data/raw/obl_800_inter100.txt,0.419673,91.3315927050342,3.3669984045199897,192.91479820627728,False
obl,Obliquity,579.4,data/raw/obl_800_inter100.txt,0.419633,91.34568056446734,3.3810862639531365,193.72197309417018,False
obl,Obliquity,579.5,data/raw/obl_800_inter100.txt,0.41959,91.35976842390049,3.3951741233862833,194.52914798206305,False
obl,Obliquity,579.6,data/raw/obl_800_inter100.txt,0.419546,91.37385628333362,3.409261982819416,195.3363228699551,False
obl,Obliquity,579.7,data/raw/obl_800_inter100.txt,0.419498,91.38794414276677,3.423349842252563,196.143497757848,False
obl,Obliquity,579.8,data/raw/obl_800_inter100.txt,0.419449,91.40203200219989,3.437437701685681,196.95067264573925,False
obl,Obliquity,579.9,data/raw/obl_800_inter100.txt,0.419397,91.41611986163304,3.451525561118828,197.75784753363212,False
obl,Obliquity,580.0,data/raw/obl_800_inter100.txt,0.419343,91.43020772106617,3.4656134205519606,198.5650224215242,False
obl,Obliquity,580.1,data/raw/obl_800_inter100.txt,0.419286,91.44429558049931,3.4797012799851075,199.37219730941706,False
obl,Obliquity,580.2,data/raw/obl_800_inter100.txt,0.419228,91.45838343993246,3.4937891394182543,200.17937219730993,False
obl,Obliquity,580.3,data/raw/obl_800_inter100.txt,0.419167,91.47247129936558,3.5078769988513727,200.98654708520118,False
obl,Obliquity,580.4,data/raw/obl_800_inter100.txt,0.419103,91.48655915879873,3.5219648582845196,201.79372197309405,False
obl,Obliquity,580.5,data/raw/obl_800_inter100.txt,0.419038,91.50064701823186,3.536052717717652,202.60089686098613,False
obl,Obliquity,580.6,data/raw/obl_800_inter100.txt,0.41897,91.514734877665,3.550140577150799,203.408071748879,False
obl,Obliquity,580.7,data/raw/obl_800_inter100.txt,0.4189,91.52882273709815,3.564228436583946,204.2152466367719,False
obl,Obliquity,580.8,data/raw/obl_800_inter100.txt,0.418828,91.54291059653127,3.5783162960170642,205.02242152466314,False
obl,Obliquity,580.9,data/raw/obl_800_inter100.txt,0.418754,91.55699845596442,3.592404155450211,205.82959641255601,False
obl,Obliquity,581.0,data/raw/obl_800_inter100.txt,0.418677,91.57108631539755,3.6064920148833437,206.63677130044806,False
obl,Obliquity,581.1,data/raw/obl_800_inter100.txt,0.418599,91.5851741748307,3.6205798743164905,207.44394618834096,False
obl,Obliquity,581.2,data/raw/obl_800_inter100.txt,0.418518,91.59926203426384,3.6346677337496374,208.25112107623383,False
obl,Obliquity,581.3,data/raw/obl_800_inter100.txt,0.418436,91.61334989369696,3.6487555931827558,209.05829596412508,False
obl,Obliquity,581.4,data/raw/obl_800_inter100.txt,0.418352,91.62743775313011,3.6628434526159026,209.86547085201795,False
obl,Obliquity,581.5,data/raw/obl_800_inter100.txt,0.418265,91.64152561256324,3.6769313120490352,210.67264573991002,False
obl,Obliquity,581.6,data/raw/obl_800_inter100.txt,0.418177,91.65561347199639,3.691019171482182,211.4798206278029,False
obl,Obliquity,581.7,data/raw/obl_800_inter100.txt,0.418086,91.66970133142954,3.705107030915329,212.28699551569576,False
obl,Obliquity,581.8,data/raw/obl_800_inter100.txt,0.417994,91.68378919086265,3.7191948903484473,213.09417040358701,False
obl,Obliquity,581.9,data/raw/obl_800_inter100.txt,0.417899,91.6978770502958,3.733282749781594,213.9013452914799,False
obl,Obliquity,582.0,data/raw/obl_800_inter100.txt,0.417803,91.71196490972893,3.7473706092147268,214.70852017937196,False
obl,Obliquity,582.1,data/raw/obl_800_inter100.txt,0.417705,91.72605276916208,3.7614584686478736,215.51569506726483,False
obl,Obliquity,582.2,data/raw/obl_800_inter100.txt,0.417605,91.74014062859521,3.775546328081006,216.3228699551569,False
obl,Obliquity,582.3,data/raw/obl_800_inter100.txt,0.417503,91.75422848802835,3.789634187514139,217.13004484304898,False
obl,Obliquity,582.4,data/raw/obl_800_inter100.txt,0.417399,91.7683163474615,3.8037220469472857,217.93721973094185,False
obl,Obliquity,582.5,data/raw/obl_800_inter100.txt,0.417293,91.78240420689463,3.8178099063804183,218.74439461883392,False
obl,Obliquity,582.6,data/raw/obl_800_inter100.txt,0.417186,91.79649206632777,3.831897765813565,219.5515695067268,False
obl,Obliquity,582.7,data/raw/obl_800_inter100.txt,0.417077,91.8105799257609,3.8459856252466977,220.35874439461884,False
obl,Obliquity,582.8,data/raw/obl_800_inter100.txt,0.416966,91.82466778519404,3.8600734846798304,221.1659192825109,False
obl,Obliquity,582.9,data/raw/obl_800_inter100.txt,0.416853,91.83875564462717,3.874161344112963,221.973094170403,False
obl,Obliquity,583.0,data/raw/obl_800_inter100.txt,0.416739,91.85284350406032,3.88824920354611,222.78026905829586,False
obl,Obliquity,583.1,data/raw/obl_800_inter100.txt,0.416623,91.86693136349346,3.9023370629792566,223.58744394618873,False
obl,Obliquity,583.2,data/raw/obl_800_inter100.txt,0.416506,91.8810192229266,3.9164249224123893,224.3946188340808,False
obl,Obliquity,583.3,data/raw/obl_800_inter100.txt,0.416386,91.89510708235973,3.930512781845522,225.20179372197285,False
obl,Obliquity,583.4,data/raw/obl_800_inter100.txt,0.416266,91.90919494179286,3.9446006412786545,226.00896860986492,False
obl,Obliquity,583.5,data/raw/obl_800_inter100.txt,0.416143,91.92328280122601,3.9586885007118013,226.8161434977578,False
obl,Obliquity,583.6,data/raw/obl_800_inter100.txt,0.41602,91.93737066065916,3.972776360144948,227.6233183856507,False
obl,Obliquity,583.7,data/raw/obl_800_inter100.txt,0.415894,91.95145852009229,3.986864219578081,228.43049327354274,False
obl,Obliquity,583.8,data/raw/obl_800_inter100.txt,0.415768,91.96554637952542,4.000952079011213,229.2376681614348,False
obl,Obliquity,583.9,data/raw/obl_800_inter100.txt,0.415639,91.97963423895855,4.015039938444346,230.0448430493269,False
obl,Obliquity,584.0,data/raw/obl_800_inter100.txt,0.41551,91.9937220983917,4.029127797877493,230.85201793721976,False
obl,Obliquity,584.1,data/raw/obl_800_inter100.txt,0.415379,92.00780995782485,4.04321565731064,231.65919282511263,False
obl,Obliquity,584.2,data/raw/obl_800_inter100.txt,0.415247,92.02189781725798,4.057303516743772,232.4663677130047,False
obl,Obliquity,584.3,data/raw/obl_800_inter100.txt,0.415113,92.03598567669111,4.071391376176905,233.27354260089675,False
