event_type,event_label,metric_id,metric_label,n_realizations,published_catalogue_p_value,p_value_median,p_value_q025,p_value_q05,p_value_q95,p_value_q975,p_value_min,p_value_max,significant_fraction_p_lt_0p05,published_catalogue_significant_p_lt_0p05
strong_monsoon_start,Strong monsoon starts,lohmann_poisson_ES_p_value,Lohmann Poisson null,500,0.07518496300739852,0.08058388322335533,0.06368226354729054,0.0655868826234753,0.10258948210357928,0.10678864227154568,0.05598880223955209,0.11677664467106579,0.0,False
strong_monsoon_start,Strong monsoon starts,lohmann_fixed_n_ES_p_value,Lohmann fixed-N null,500,0.046790641871625675,0.05038992201559688,0.03759248150369926,0.03939212157568486,0.06639672065586882,0.06989102179564087,0.02959408118376325,0.07618476304739052,0.498,True
strong_monsoon_start,Strong monsoon starts,rayleigh_pre_p_value,Rayleigh precession phase,500,0.0019154376890144474,0.006527562736730351,0.0009791226617069004,0.0013290042965090655,0.027496182019530368,0.03492192861939686,0.000472190162401041,0.08487071899785678,0.996,True
strong_monsoon_start,Strong monsoon starts,precession_phase_after_lr04_co2_LR_p_value,Precession phase after LR04+CO2,500,0.0005248244056791511,0.0017898242973325745,0.00020061013184810114,0.0003039125406286951,0.009622562920658792,0.01208566827935668,0.00011519679253568496,0.040368495059246084,1.0,True
strong_monsoon_start,Strong monsoon starts,full_vs_stationary_LR_p_value,Poisson full vs stationary,500,6.39098246292067e-05,0.00021497745021028603,2.298898657906541e-05,3.4868196735938906e-05,0.0012102533601312474,0.0015754576028643393,6.94489475884759e-06,0.004212101077330939,1.0,True
weak_monsoon_start,Weak monsoon starts,lohmann_poisson_ES_p_value,Lohmann Poisson null,500,0.023195360927814438,0.02499500099980004,0.01969106178764247,0.020795840831833633,0.03100379924015196,0.03190861827634472,0.017996400719856028,0.03679264147170566,1.0,True
weak_monsoon_start,Weak monsoon starts,lohmann_fixed_n_ES_p_value,Lohmann fixed-N null,500,0.010797840431913617,0.011597680463907219,0.008398320335932814,0.008598280343931213,0.016396720655868825,0.016796640671865627,0.007798440311937612,0.020795840831833633,1.0,True
weak_monsoon_start,Weak monsoon starts,rayleigh_pre_p_value,Rayleigh precession phase,500,0.0027094913683490683,0.007512598621180599,0.0010981375191924233,0.0014701026772895804,0.02804304942044088,0.038949794621168495,0.00044169501171242306,0.09342670785010038,0.99,True
weak_monsoon_start,Weak monsoon starts,precession_phase_after_lr04_co2_LR_p_value,Precession phase after LR04+CO2,500,0.0024333932170133494,0.007100513989227826,0.0011032102626397917,0.0015507197805796848,0.029561979117905538,0.03583847925515795,0.0004614879740377506,0.06036256615784993,0.994,True
weak_monsoon_start,Weak monsoon starts,full_vs_stationary_LR_p_value,Poisson full vs stationary,500,1.7801882290909403e-06,5.532888540515134e-06,7.038852967708405e-07,9.318411111903069e-07,2.161692753014652e-05,2.8331406638086417e-05,1.5216637418119712e-07,0.00012045107453996962,1.0,True
