realization_id,catalogue_kind,event_type,event_label,n_events,lohmann_event_count_ES,lohmann_poisson_ES_p_value,lohmann_fixed_n_ES_p_value,rayleigh_pre_n_phase_events_used,rayleigh_pre_n_extrapolated,rayleigh_pre_mean_phase_deg,rayleigh_pre_mean_resultant_length,rayleigh_pre_z,rayleigh_pre_p_value,precession_phase_after_lr04_co2_LR_statistic,precession_phase_after_lr04_co2_LR_p_value,precession_phase_after_lr04_co2_delta_AICc,full_vs_stationary_LR_statistic,full_vs_stationary_LR_p_value,full_vs_stationary_delta_AICc,full_model_converged,full_model_log_likelihood,climate_model_log_likelihood,stationary_log_likelihood,full_model_pre_phase_preferred_deg,full_model_pre_phase_rate_ratio_max_vs_min
0,published_catalogue,strong_monsoon_start,Strong monsoon starts,96,2.0102125586107844,0.07518496300739852,0.046790641871625675,96,0,21.91629807682798,0.25388593869817744,6.187974707390852,0.0019154376890144474,15.104893633383426,0.0005248244056791511,-11.093617797825004,24.482769157627217,6.39098246292067e-05,-16.46523471707394,True,-420.3881735639055,-427.94062038059724,-432.62955814271913,10.815601516011776,3.18003392377064
0,published_catalogue,weak_monsoon_start,Weak monsoon starts,100,2.1914717823966967,0.023195360927814438,0.010797840431913617,100,0,225.32661865293403,0.24192682144200942,5.852858693303391,0.0027094913683490683,12.036937220134405,0.0024333932170133494,-8.025661384575983,32.1529887446884,1.7801882290909403e-06,-24.135454304135123,True,-430.4970959076285,-436.5155645176957,-446.5735902799727,238.18156457167385,2.7120811260690196
1,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0076442112441826,0.07618476304739052,0.04859028194361128,96,0,20.48698198227706,0.2062507330385265,4.083779028377235,0.016466810987042575,10.556026699874337,0.0051025577266597365,-6.544750864315915,20.802979481821126,0.00034645912383593605,-12.785445041267849,True,-422.22806840180897,-427.50608175174614,-432.62955814271953,6.6550379820470695,2.6135893867257094
1,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1776141962139213,0.026394721055788842,0.01279744051189762,100,0,222.15373049184166,0.20674095996108405,4.274182452563056,0.013582072427601519,8.57283075615851,0.01375414042912893,-4.561554920600088,27.849587869820766,1.3379724653551836e-05,-19.83205342926749,True,-432.6487963450638,-436.935211723143,-446.57359027997416,234.5946013086186,2.309782545948826
2,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.019016334516754,0.0691861627674465,0.04279144171165767,96,0,21.29756934053044,0.22327525606348522,4.78577663714063,0.008055612015803048,12.213996764146827,0.002227226071200683,-8.202720928588406,23.008494263745547,0.0001261323538778758,-14.99095982319227,True,-421.125311010845,-427.2323093929184,-432.62955814271777,8.758631334095108,2.8188335115450527
2,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.20244383079285,0.022195560887822437,0.009598080383923215,100,0,224.95819558392694,0.1990516769229255,3.9621570085828712,0.018648813881895678,8.092756716402846,0.017485586636230933,-4.081480880844424,29.13067982119594,7.353800755475363e-06,-21.113145380642663,True,-432.0082503693742,-436.0546287275756,-446.57359027997217,240.64129490435297,2.2511084105639254
3,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.001531177820734,0.07998400319936012,0.04999000199960008,96,0,12.96161412568441,0.24979697584426896,5.99025879753046,0.0023470659232018957,14.88029961866198,0.00058719722333329,-10.869023783103557,22.67202058420048,0.00014723396453348426,-14.654486143647205,True,-421.293547850619,-428.73369765995,-432.62955814271925,4.503417911048313,3.1635771887188757
3,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.2096066474830076,0.021395720855828835,0.008798240351929614,100,0,219.3230415603831,0.21723696746046245,4.719190003141803,0.008634003633709723,9.189390162694508,0.010105301606205777,-5.178114327136086,29.66563182427376,5.724638414649166e-06,-21.648097383720483,True,-431.7407743678342,-436.33546944918146,-446.5735902799711,230.55789972283426,2.38418222358312
4,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0154194380141925,0.07118576284743051,0.04499100179964007,96,0,16.663054209835234,0.23231681710374216,5.181225936884505,0.0053784230007248995,13.462285382820937,0.0011931687551703359,-9.451009547262515,22.351941885922997,0.0001705458251296004,-14.33440744536972,True,-421.4535871997556,-428.18472989116606,-432.6295581427171,6.616779224042452,2.979986911635188
4,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.202205889280346,0.022195560887822437,0.009598080383923215,100,0,226.08515227360218,0.22065734475182797,4.868966379292706,0.007411180263699595,10.031084044463682,0.006634035267933283,-6.0198082089052605,27.764377370439547,1.392223190969173e-05,-19.74684292988627,True,-432.69140159475353,-437.70694361698537,-446.5735902799733,239.7735975983011,2.4786309399011666
5,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0208522759755856,0.06818636272745451,0.04239152169566087,96,0,14.901443759435283,0.24210411252166478,5.62698252479068,0.003407474960157699,14.137358862237875,0.0008513566422404642,-10.126083026679453,22.325763322303374,0.00017260706731026492,-14.308228881750097,True,-421.4666764815667,-428.53535591268565,-432.6295581427184,4.751417618208987,3.0630111847795165
5,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.174798720795902,0.02659468106378724,0.013197360527894421,100,0,230.66170734735692,0.21887395971058266,4.790581023938976,0.008027955382579128,10.012488217981513,0.00669600560324331,-6.001212382423091,30.942808103396715,3.144743396427254e-06,-22.925273662843438,True,-431.1021862282742,-436.10843033726496,-446.57359027997256,241.99304192141815,2.472357475313866
6,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.020373495567845,0.0683863227354529,0.04239152169566087,96,0,18.624935295076856,0.23421333647119277,5.266165150172943,0.00493084381847645,13.512544522234066,0.0011635585419337753,-9.501268686675644,23.83353069034149,8.62518340058825e-05,-15.815996249788213,True,-420.71279279754924,-427.4690650586663,-432.62955814272,7.69739014274748,2.985305048798455
6,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1697328053541796,0.027794441111777646,0.014397120575884824,100,0,227.1174099026852,0.22166880116674503,4.913705741070194,0.007080525582335877,9.97897293737526,0.006809160311578311,-5.967697101816839,27.415958752478787,1.6377711292816855e-05,-19.39842431192551,True,-434.25190526485403,-439.24139173354166,-447.9598846410934,239.07673637105574,2.4718603247851347
7,age_randomized,strong_monsoon_start,Strong monsoon starts,96,1.9723172849286317,0.10277944411117776,0.0665866826634673,96,0,22.597559018616018,0.21017364320100684,4.240604188452877,0.014039283495625297,10.47772030046633,0.005306301776896749,-6.466444464907909,18.381871779298308,0.0010390616811965512,-10.364337338745031,True,-423.43862225307,-428.67748240330315,-432.62955814271913,10.284376091957384,2.5994674125126913
7,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.161561620110858,0.030193961207758448,0.015996800639872025,100,0,227.26166701103858,0.23695631587422117,5.614829563268367,0.0034579482076756087,11.643116237596928,0.002962984863826483,-7.631840402038506,32.38217656470397,1.5980967693347017e-06,-24.36464212415069,True,-430.38250199762103,-436.2040601164195,-446.573590279973,239.02677785259138,2.664480826738817
8,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0001612318112985,0.08078384323135374,0.05078984203159368,96,0,20.273964541464665,0.2684554209833718,6.918558053314499,0.0009021874756468497,16.580567303174462,0.0002509432721899732,-12.56929146761604,24.626009827471194,5.981443469999229e-05,-16.608475386917917,True,-420.31655322898416,-428.6068368805714,-432.62955814271976,10.552397440298813,3.371874787427445
8,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1974783359028445,0.022595480903819236,0.009998000399920015,100,0,231.0179749971695,0.2294313393588611,5.2638739480000885,0.004951776636582812,11.365014690122507,0.0034050101956728494,-7.353738854564085,27.63314857155433,1.4800821863247946e-05,-19.615614131001053,True,-432.7570159941964,-438.4395233392577,-446.5735902799736,244.80396359882346,2.6348282976388506
9,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0077245218313,0.07618476304739052,0.04859028194361128,96,0,18.05082827567334,0.22745317696378817,4.966554980248352,0.006697958313359512,12.97112026342893,0.0015253061549699723,-8.959844427870507,23.77710462302707,8.852612853452212e-05,-15.759570182473794,True,-420.7410058312066,-427.2265659629211,-432.62955814272016,6.887190137896259,2.917691568913841
9,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.1558663676645975,0.03159368126374725,0.016396720655868825,100,0,233.36101144344946,0.22070610648744904,4.871118544084919,0.007394928205335636,10.524205674387986,0.00518439131728334,-6.512929838829564,31.923689037749114,1.98304277577679e-06,-23.906154597195837,True,-430.6117457610982,-435.87384859829217,-446.57359027997273,245.29654217997503,2.530107134970748
10,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0050725740202116,0.07778444311137772,0.04939012197560488,96,0,17.748586016357894,0.2517359328270512,6.083614068125341,0.0021323825506084295,15.185754689672422,0.0005040287011257602,-11.174478854114,23.433388552808083,0.00010372383367568,-15.415854112254806,True,-420.9128638663137,-428.50574121114994,-432.62955814271777,8.393637024929635,3.196552640693038
10,age_randomized,weak_monsoon_start,Weak monsoon starts,100,2.2106644810096236,0.021195760847830435,0.008598280343931213,100,0,216.05486644435854,0.2323439532971452,5.398371263374599,0.00431552063348211,10.521914782430713,0.005190333159849574,-6.510638946872291,29.53948307237863,6.073056577009624e-06,-21.521948631825353,True,-431.80384874378205,-437.0648061349974,-446.57359027997137,229.05919792487947,2.542454679579303
11,age_randomized,strong_monsoon_start,Strong monsoon starts,96,2.0182175781716447,0.06938612277544491,0.04299140171965607,96,0,28.18957047937061,0.22131221044034863,4.701993071039343,0.008774466886395634,11.361679920380652,0.003410692394047812,-7.35040408482223,21.726023536742446,0.00022722122316330944,-13.708489096189169,True,-421.76654637434837,-427.4473863345387,-432.6295581427196,15.555301548417097,2.7088263910899424
