dataset_id,dataset_label,model_id,model_label,terms,bin_width_ka,n_bins,n_events,n_parameters,converged,optimizer_message,log_likelihood,AIC,AICc,BIC,expected_events,max_fitted_rate_per_kyr,mean_fitted_rate_per_kyr,beta_intercept,beta_lr04_scaled,beta_co2_scaled,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_amplitude,pre_phase_preferred_rad,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,delta_AICc,rank_AICc
strong_monsoon_start,Strong monsoon starts,climate_lr04_co2_pre_phase,LR04 + CO2 + precession phase,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3200,96,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-420.38467209730715,850.7693441946143,850.7881294169061,881.1238746385534,95.99994415616075,0.42271760507372985,0.14999991274400115,-2.028035624825488,1.5301085299004156,-0.09355769761626183,0.10759087817544292,0.5685660938776678,0.5786563748667009,0.1870205655580402,10.715489088625429,3.1813726345143136,0.0,1.0
strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,pre_phase_sin+pre_phase_cos,0.2,3200,96,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-425.92567955191623,857.8513591038325,857.8588684905659,876.064077370196,95.99999698319311,0.24065061835922236,0.14999999528623925,-1.9643654120621412,,,0.1962167906370537,0.5030437862881123,0.5399574796694507,0.3719073430137307,21.30872112461099,2.944429144217311,7.070739073659752,2.0
strong_monsoon_start,Strong monsoon starts,climate_lr04_co2,LR04 + CO2,lr04_scaled+co2_scaled,0.2,3200,96,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-427.94062038059724,861.8812407611945,861.8887501479279,880.093959027558,95.99999524059267,0.2737489805830851,0.14999999256342605,-1.94753962385276,1.3859174607388718,-0.003779333400578527,,,,,,,11.100620731021763,3.0
strong_monsoon_start,Strong monsoon starts,stationary,Stationary,none,0.2,3200,96,1,True,analytic stationary MLE,-432.62955814271913,867.2591162854383,867.2603670671768,873.3300223742261,96.0,0.15,0.14999999999999997,-1.8971199848858813,,,,,,,,,16.4722376502707,4.0
weak_monsoon_start,Weak monsoon starts,climate_lr04_co2_pre_phase,LR04 + CO2 + precession phase,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3200,100,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-430.46908917367773,870.9381783473555,870.9569635696473,901.2927087912946,100.0000033729607,0.511469014568962,0.15625000527025112,-2.024403892074222,0.5688643947071453,-1.707156663339935,-0.4249345281523383,-0.26352800850199026,0.500016364213288,4.157276648432206,238.19440622345755,2.7183707950021403,0.0,1.0
weak_monsoon_start,Weak monsoon starts,climate_lr04_co2,LR04 + CO2,lr04_scaled+co2_scaled,0.2,3200,100,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-436.5155645176957,879.0311290353914,879.0386384221248,897.2438473017548,99.99998205484539,0.335837361420017,0.15624997196069593,-1.9655093619597217,0.4778653340762015,-1.7810966754389803,,,,,,,8.081674852477477,2.0
weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,pre_phase_sin+pre_phase_cos,0.2,3200,100,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-441.0172421042877,888.0344842085753,888.0419935953088,906.2472024749388,99.99999099187343,0.2378056083970844,0.15624998592480224,-1.9170268343540957,,,-0.3523855986906227,-0.3269879767514801,0.480725230359896,3.964357298767323,227.14094170125117,2.6154873851895206,17.085030025661467,3.0
weak_monsoon_start,Weak monsoon starts,stationary,Stationary,none,0.2,3200,100,1,True,analytic stationary MLE,-446.5735902799727,895.1471805599454,895.1484313416839,901.2180866487332,100.0,0.15625,0.15625,-1.8562979903656263,,,,,,,,,24.191467772036617,4.0
