dataset_id,dataset_label,bin_width_ka,n_bins,n_events,empty_bin_fraction,multi_event_bin_count,max_event_count_per_bin,best_core_model_id,full_model_core_rank_AICc,full_model_core_delta_AICc,lr04_alone_p,co2_alone_p,pre_phase_alone_p,phase_after_climate_p,phase_after_climate_delta_AICc_full_minus_reduced,pre_phase_preferred_deg,preferred_phase_shift_vs_0p2_deg,pre_phase_rate_ratio_max_vs_min,qualitatively_matches_0p2
strong_monsoon_start,Strong monsoon starts,0.2,3200,96,0.97,0,1,climate_lr04_co2_pre_phase,1.0,0.0,0.002196225387678888,0.013068680218955154,0.001226740341650594,0.0005248244056791511,-11.093617797825004,10.815601516011776,0.0,3.18003392377064,True
strong_monsoon_start,Strong monsoon starts,0.4,1600,96,0.94,0,1,climate_lr04_co2_pre_phase,1.0,0.0,0.002203124806435822,0.014181352160158677,0.0012788496185891648,0.0005467015138805561,-11.000611605540826,10.623048332860915,-0.19255318315086356,3.169645237805596,True
strong_monsoon_start,Strong monsoon starts,0.6,1067,96,0.9100281162136832,0,1,climate_lr04_co2_pre_phase,1.0,0.0,0.0020194492768943234,0.009275122456722764,0.0011770329250888774,0.0005032434985282023,-11.154900011404266,11.535739538673246,0.7201380226614731,3.1907482641364693,True
strong_monsoon_start,Strong monsoon starts,0.8,800,96,0.88125,1,2,climate_lr04_co2_pre_phase,1.0,0.0,0.0020518882107941703,0.011179686471925365,0.0013228186150949911,0.0005583897919710001,-10.935490578213944,10.51233192632201,-0.30326958968976214,3.164421712640761,True
strong_monsoon_start,Strong monsoon starts,1.0,640,96,0.85,0,1,climate_lr04_co2_pre_phase,1.0,0.0,0.001941010704300302,0.012188617132847804,0.0013880200044077435,0.0005996460887278519,-10.781440482880953,11.067542501503452,0.25194098549167165,3.1457494556361456,True
weak_monsoon_start,Weak monsoon starts,0.2,3200,100,0.96875,0,1,climate_lr04_co2_pre_phase,1.0,0.0,7.704610103847833e-05,8.74882825510988e-06,0.003965141805855952,0.0024333932170133494,-8.025661384575983,238.18156457167385,0.0,2.7120811260690196,True
weak_monsoon_start,Weak monsoon starts,0.4,1600,100,0.9375,0,1,climate_lr04_co2_pre_phase,1.0,0.0,7.58576197578132e-05,1.1257910568891898e-05,0.0034183279202424075,0.0020346313295196644,-8.372277722366448,238.42927195786498,0.24770738619113786,2.7538193604511148,True
weak_monsoon_start,Weak monsoon starts,0.6,1067,100,0.9072164948453608,1,2,climate_lr04_co2_pre_phase,1.0,0.0,7.988287021543406e-05,9.88090796413102e-06,0.003873739186334772,0.002412933019545278,-8.019851688189192,237.4438621494151,-0.7377024222587352,2.7141362683376067,True
weak_monsoon_start,Weak monsoon starts,0.8,800,100,0.8775,2,2,climate_lr04_co2_pre_phase,1.0,0.0,5.587487302706965e-05,1.2231372022359559e-05,0.0030850849424827044,0.0017541388653183607,-8.646138438173011,239.0254010125649,0.8438364408910672,2.7888547576011904,True
weak_monsoon_start,Weak monsoon starts,1.0,640,100,0.846875,2,2,climate_lr04_co2_pre_phase,1.0,0.0,6.296223305517982e-05,7.456724278450629e-06,0.0035554874047759835,0.0021493327153025116,-8.22829432506444,238.31186635351457,0.13030178184072838,2.7419053825906787,True
