realization_id,catalogue_kind,event_type,event_label,n_events,rayleigh_pre_n_phase_events_used,rayleigh_pre_n_extrapolated,rayleigh_pre_mean_phase_deg,rayleigh_pre_mean_resultant_length,rayleigh_pre_z,rayleigh_pre_p_value,n_hazard_bins_after_history_filter,n_hazard_events_after_history_filter,precession_phase_after_adjusted_climate_LR_statistic,precession_phase_after_adjusted_climate_LR_p_value,precession_phase_after_adjusted_climate_delta_AICc,precession_phase_after_adjusted_climate_bits_per_event,full_vs_adjusted_baseline_LR_statistic,full_vs_adjusted_baseline_LR_p_value,full_vs_adjusted_baseline_delta_AICc,full_model_converged,full_model_log_likelihood,adjusted_climate_model_log_likelihood,adjusted_baseline_log_likelihood,stationary_log_likelihood,full_model_pre_phase_preferred_deg,full_model_pre_phase_rate_ratio_max_vs_min
308,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,18.351361352118555,0.22546757578085133,4.880220261935419,0.007315309396078954,3175,95,16.75458468877605,0.0002300319502891731,-12.738153407805157,0.12721976969816506,30.32043732796808,4.211607813234065e-06,-22.292641219865345,True,-408.7340427774618,-417.11133512184983,-423.89426144144585,-428.3726718739953,357.2733871153023,3.595977542352839
308,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,226.91809501702699,0.19986301700287717,3.994522556549237,0.018045956331944814,3175,99,10.319625325644665,0.005742775420227722,-6.3031940446737735,0.07519228424818038,32.198612281100964,1.7423631143514971e-06,-24.17081617299823,True,-420.89927394241556,-426.0590866052379,-436.99858008296604,-442.3263630580294,236.72567195522825,2.626180796652266
309,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,23.380371049636064,0.2383999421565096,5.456115112341803,0.0040595047531450075,3175,95,19.065870993837734,7.242670326699838e-05,-15.049439712866842,0.14476967122651807,35.45552806580213,3.744689670332392e-07,-27.427731957699393,True,-402.62233833200094,-412.1552738289198,-420.350102364902,-428.3726718739948,1.3135611567603336,3.9001173845013724
309,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,220.6338437506549,0.23220037271696828,5.391701308989898,0.004345064296218097,3175,99,15.451094990370507,0.00044140510656688717,-11.434663709399615,0.11258190969147391,39.080598197316135,6.704442802252892e-08,-31.0528020892134,True,-417.21491247048795,-424.9404599656732,-436.755211569146,-442.326363058026,229.47747590686285,3.3111122964656112
310,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,13.293745359864264,0.217521194527979,4.542285126612373,0.010326086795825586,3175,95,15.999334562485956,0.000335574261181308,-11.982903281515064,0.12148505595169412,29.044828403014662,7.655171353167048e-06,-21.017032294911928,True,-407.9109952651513,-415.9106625463943,-422.43340946665865,-429.06581905455585,352.44606787638355,3.513137909185868
310,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,227.2263151849198,0.22026073573912175,4.851479170833922,0.0075445589760901955,3175,98,14.181586537811427,0.0008327365195394294,-10.165155256840535,0.1043862478063175,36.58990394239163,2.1879984706001544e-07,-28.562107834288895,True,-416.599228051875,-423.6900213207807,-434.8941800230708,-438.85335240030724,232.9315234224228,3.2144277977612035
311,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,14.594954504431765,0.1878507137190963,3.3876375018982925,0.03337050548579689,3175,95,13.608916946630302,0.0011088204644383582,-9.59248566565941,0.10333429995143849,26.20867095621884,2.8721825688291307e-05,-18.180874848116105,True,-409.8873854635869,-416.69184393690205,-422.9917209416963,-428.3726718739929,351.0917454935112,3.134572163964188
311,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,219.68107283694874,0.2535158242179222,6.4270273128892415,0.0015024820806789569,3175,99,17.39464937529715,0.00016703207674932167,-13.378218094326257,0.12674330500880557,39.75675901442594,4.859887973537239e-08,-31.728962906323204,True,-418.0943102690987,-426.79163495674726,-437.97268977631165,-442.32636305802725,224.9118180220525,3.585218040508583
312,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,9.837765903604474,0.2326907944265133,5.1979205578408205,0.005287372067592794,3175,94,17.913050191364277,0.0001288933685668258,-13.896618910393386,0.13746313126742735,28.22657786561649,1.1221101225571658e-05,-20.198781757513757,True,-405.15083508540397,-414.1073601810861,-419.2641240182122,-424.8582041313366,353.1702001799862,3.8161112514013658
312,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,226.2310415613534,0.20789465516289898,4.3220187645300685,0.01293712741863328,3175,99,12.180855185664996,0.002264440449268888,-8.164423904694104,0.08875383520275507,34.75336827463889,5.21998332930388e-07,-26.725572166536153,True,-420.1025269359965,-426.192954528829,-437.4792110733159,-442.3263630580278,237.2293141819578,2.859150901851377
