realization_id,catalogue_kind,event_type,event_label,n_events,rayleigh_pre_n_phase_events_used,rayleigh_pre_n_extrapolated,rayleigh_pre_mean_phase_deg,rayleigh_pre_mean_resultant_length,rayleigh_pre_z,rayleigh_pre_p_value,n_hazard_bins_after_history_filter,n_hazard_events_after_history_filter,precession_phase_after_adjusted_climate_LR_statistic,precession_phase_after_adjusted_climate_LR_p_value,precession_phase_after_adjusted_climate_delta_AICc,precession_phase_after_adjusted_climate_bits_per_event,full_vs_adjusted_baseline_LR_statistic,full_vs_adjusted_baseline_LR_p_value,full_vs_adjusted_baseline_delta_AICc,full_model_converged,full_model_log_likelihood,adjusted_climate_model_log_likelihood,adjusted_baseline_log_likelihood,stationary_log_likelihood,full_model_pre_phase_preferred_deg,full_model_pre_phase_rate_ratio_max_vs_min
0,published_catalogue,strong_monsoon_start,Strong monsoon starts,96,96,0,21.938658902906,0.2541122839598758,6.199013074493237,0.001893816080589878,3175,95,19.750400362337928,5.1434562918147624e-05,-15.733969081367036,0.14996739293850797,33.48337619498329,9.509817475918441e-07,-25.45558008688056,True,-403.32700494892265,-413.2022051300916,-420.0686930464143,-428.3726718739949,2.011557064601044,4.0271345327385895
0,published_catalogue,weak_monsoon_start,Weak monsoon starts,100,100,0,225.2446277244155,0.2419546088051652,5.854203272206052,0.002705758359739593,3175,98,14.593876208545566,0.0006776103743750483,-10.577444927574675,0.10742098384395977,36.28673336902398,2.526121783686766e-07,-28.258937260921243,True,-414.57401845675815,-421.87095656103094,-432.71738514127014,-438.85335240030884,232.78133168054615,3.2206759534004656
1,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,20.52033917447654,0.2063999031696516,4.089688322730389,0.016368188907645066,3175,95,13.891078345983715,0.0009629210114064781,-9.874647065012823,0.10547678864395142,27.242628668255293,1.7755167030195395e-05,-19.21483256015256,True,-410.25871934193435,-417.2042585149262,-423.880033676062,-428.37267187399476,358.72311558481147,3.1575096931956135
1,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,222.10974128486578,0.20675778323421798,4.274878092792787,0.013572468167516134,3175,99,12.598982610862663,0.0018372391329261372,-8.582551329891771,0.0918004531966558,38.4615851553491,8.998824835909795e-08,-30.433789047246364,True,-418.7975946254336,-425.0970859308649,-438.02838720310814,-442.3263630580292,227.65500298338907,2.9244550291956686
2,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,21.29905376771284,0.22343312926199665,4.792546872173578,0.008000149279087146,3175,95,16.18311387747633,0.00030611278706647535,-12.166682596505439,0.12288051651145508,31.26010360583973,2.709245446978289e-06,-23.232307497736997,True,-406.51660176464077,-414.60815870337893,-422.14665356756063,-428.37267187399357,0.044209657529637666,3.462117279141074
2,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,224.8636852878774,0.1991486062191334,3.966016735902346,0.018575881284634874,3175,98,10.401837894556706,0.005511497317457431,-6.385406613585815,0.07656469360514213,33.47678517203485,9.53943660975539e-07,-25.448989063932117,True,-418.16146389200327,-423.3623828392816,-434.8998564780207,-438.85335240030884,233.03813365912836,2.6606914247307434
3,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,12.941605503036524,0.2502057100753032,6.009878146011521,0.0023002332467272142,3175,95,20.833200201300087,2.9931470660137703e-05,-16.816768920329196,0.1581892348224347,33.9033226842796,7.799947269479991e-07,-25.875526576176867,True,-404.9842328637984,-415.40083296444845,-421.9358942059382,-428.37267187399505,354.74152351928103,4.174633309931477
3,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,219.19288865066756,0.21727540078566007,4.720859978656922,0.008619320037607235,3175,99,11.682732580524657,0.0029048710162618515,-7.666301299553766,0.0851243452421962,33.772827761604276,8.295582910966756e-07,-25.74503165350154,True,-420.2384426898935,-426.0798089801558,-437.1248565706956,-442.32636305802663,227.6480233698643,2.8163100346791445
4,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,16.7195166331116,0.23248383063802738,5.188678224780576,0.005337587795352966,3175,95,18.348907018744512,0.00010365385685822109,-14.33247573777362,0.1393256692719758,31.6191406689843,2.2884817592194084e-06,-23.591344560881566,True,-407.14152579474796,-416.3159793041202,-422.9510961292401,-428.3726718739923,357.77691580154783,3.8491212175215193
4,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,225.96921012280396,0.22086059834695596,4.877940390217541,0.007343647024004829,3175,98,11.28630351854315,0.003541688248119766,-7.269872237572258,0.08307496998045848,29.06809341285941,7.5723089053069765e-06,-21.040297304756677,True,-419.0632344223588,-424.70638618163036,-433.5972811287885,-438.85335240031,234.0179031648962,2.763565923342132
5,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,14.967194488285347,0.24234606322790994,5.638234978758348,0.003368391108834796,3175,95,18.832421277294316,8.139386644061785e-05,-14.815989996323424,0.14299705676149635,30.64306395662345,3.6199629681877444e-06,-22.615267848520716,True,-407.11844228911366,-416.5346529277608,-422.4399742674254,-428.3726718739942,355.75766900643663,3.91542481761387
5,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,230.56446937190398,0.2190985103043021,4.800415721756438,0.007947853615804681,3175,98,13.396738986283367,0.0012329205500844552,-9.380307705312475,0.09860922907956558,38.46879827009184,8.968026963985451e-08,-30.441002161989104,True,-415.0552911796036,-421.7536606727453,-434.28969031464953,-438.85335240030986,234.7404590955284,3.071535982820396
6,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,18.719666932884284,0.23443202214656142,5.276003808741683,0.004881455572835977,3175,95,16.59484712592655,0.00024915794060519807,-12.578415844955657,0.1260068613309721,31.03623617064318,3.009729828903764e-06,-23.008440062540444,True,-405.41733126456296,-413.71475482752624,-420.93544934988455,-428.37267187399516,0.5220387880447444,3.539634233473554
6,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,227.02490480747727,0.2219052576635543,4.924194337872842,0.0070051561914867685,3175,98,12.317015934407891,0.0021154071751662996,-8.300584653437,0.09066172350571738,31.159582841642646,2.8402830326844433e-06,-23.13178673353991,True,-421.04899778151673,-427.2075057487207,-436.62878920233806,-440.2396467614301,232.6214488858052,2.9209521235744966
7,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,22.710271041248223,0.210471346670261,4.252626025842545,0.013868607301962519,3175,95,13.710369458643754,0.0010539769171690708,-9.693938177672862,0.10410464224600445,24.963223414923277,5.117368892150576e-05,-16.935427306820543,True,-410.2222515311537,-417.07743626047557,-422.7038632386153,-428.37267187399436,1.4830924675617843,3.143691981539397
7,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,227.22986754662816,0.23707157954946173,5.6202933830076764,0.0034386534581646957,3175,99,16.783309261813997,0.00022675177728753037,-12.766877980843105,0.12228887394810538,44.00710406879318,6.394015295715547e-09,-35.97930796069045,True,-415.25069379940874,-423.64234843031574,-437.2542458338053,-442.32636305802794,231.5253408037112,3.4721874555565573
8,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,20.258482323443882,0.26848610408472734,6.9201396563131246,0.0009007151959010831,3175,95,20.718850140882864,3.169267201759862e-05,-16.702418859911973,0.15732095974301744,32.25432377172763,1.6972584787890838e-06,-24.226527663624893,True,-405.10054022786306,-415.4599652983045,-421.2277021137269,-428.3726718739956,3.437930099684823,4.208378808400923
8,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,230.92770452382746,0.22954199712760873,5.268952844533113,0.004926135707143543,3175,98,15.09975250615389,0.0005261752356538895,-11.083321225183,0.1111445819350965,34.27325061808108,6.549598390976608e-07,-26.245454509978345,True,-418.23489494486984,-425.7847711979468,-435.3715202539104,-438.85335240031026,236.60914484979273,3.322425226146874
9,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,18.013969541942178,0.22757511329410976,4.971881490319381,0.006661614357490916,3175,95,15.914180529958003,0.0003501705400105648,-11.897749248987111,0.12083847015990583,30.38407571644393,4.087740330414128e-06,-22.356279608341197,True,-406.41996982166563,-414.37706008664463,-421.6120076798876,-428.3726718739959,0.6540749598424173,3.4361756604393405
9,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,233.25270252726304,0.2207195337930546,4.871711259782336,0.007390458546864454,3175,99,15.191472592910259,0.0005025897653586728,-11.175041311939367,0.11069021299794057,41.5240966134927,2.0934218721016005e-08,-33.49630050538997,True,-416.7811832715347,-424.37691956798983,-437.54323157828105,-442.32636305802765,238.2766511240069,3.3145507768562417
10,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,17.740351146367043,0.2518258080072068,6.087958807534326,0.0021228814072542204,3175,94,20.022655009152118,4.488856356966406e-05,-16.006223728181226,0.15365204833582088,29.92183292334323,5.0770841423816116e-06,-21.894036815240497,True,-405.45209196564963,-415.4634194702257,-420.41300842732124,-424.85820413133695,2.824297431284822,4.109352927912626
10,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,215.9784021978202,0.23246607265543545,5.404047493584219,0.004290535992191938,3175,99,14.712374692851995,0.0006386286937457187,-10.695943411881103,0.10719934348019121,37.715009788663224,1.2829636749237266e-07,-29.68721368056049,True,-417.4987037574148,-424.85489110384077,-436.3562086517464,-442.32636305802686,221.13168433605512,3.219010784642128
11,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,28.297418876466445,0.22170567171211866,4.718726867454886,0.00862596747254105,3175,95,14.854808260224559,0.0005947293498468474,-10.838376979253667,0.11279451689674938,29.317281751813084,6.738872185001249e-06,-21.28948564371035,True,-407.944271536199,-415.37167566631126,-422.6029124121055,-428.3726718739954,7.460836539915769,3.3052520395879266
11,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,231.94025222412304,0.23657017808313302,5.596544915828527,0.00352330468585552,3175,99,15.4536716865465,0.0004408367893156414,-11.437240405575608,0.11260068437225665,38.519833014185906,8.753106050675173e-08,-30.49203690608317,True,-418.6439342385828,-426.37077008185605,-437.90385074567575,-442.3263630580277,236.77529243493055,3.31022413004627
12,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,28.47778712156565,0.21793704452043353,4.559669315932937,0.010144752265577772,3175,95,14.763794230887243,0.0006224189646031087,-10.74736294991635,0.11210343537687427,28.738358054820083,8.834775301815497e-06,-20.71056194671735,True,-408.6037898826793,-415.9856869981229,-422.9729689100893,-428.372671873994,5.5915860399958355,3.3072188371662006
12,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,226.72007059589873,0.17542379557572868,3.0773508054195045,0.04569552654321105,3175,98,8.66225548806176,0.013152706237136628,-4.645824207090868,0.063760168548673,29.853115682167527,5.243245816371531e-06,-21.825319574064793,True,-419.95911503513867,-424.29024277916955,-434.88567287622243,-438.8533524003086,236.79532377695392,2.4258642163795052
13,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,20.640353822977893,0.2303713412147637,5.094811665896551,0.005875242657068741,3175,95,17.221034509759306,0.00018217965272297732,-13.204603228788415,0.13076158466424975,29.72626893596498,5.564315188065295e-06,-21.698472827862247,True,-408.62882655252406,-417.2393438074037,-423.49196102050655,-428.37267187399664,359.8062517113239,3.6656666475816233
13,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,219.08629001676354,0.21769101030395407,4.738937596715624,0.008461950284502804,3175,98,11.22243495572775,0.00365661479904339,-7.206003674756857,0.08260485335371111,33.29860285523955,1.0375947910003755e-06,-25.270806747136817,True,-417.7170851296554,-423.3283026075193,-434.3663865572752,-438.85335240030855,228.8934956338706,2.7588362715499515
14,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,26.722329073760292,0.2207726399299552,4.679093619997598,0.008981810568612353,3175,95,15.566732284778936,0.00041660745168583266,-11.550301003808045,0.11820024984261418,30.351026031662627,4.151609534148848e-06,-22.323229923559893,True,-407.0376660669541,-414.82103220934357,-422.2131790827854,-428.3726718739946,2.9908204776578438,3.3669362016725835
14,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,225.74343570726725,0.19214877935077812,3.6921153405994014,0.02452620385688281,3175,98,9.21653027911691,0.009969098308613004,-5.200098998146018,0.06784001289737214,32.69646308761594,1.3781879919368122e-06,-24.668666979513205,True,-416.82386367660587,-421.4321288161643,-433.17209522041384,-438.85335240030963,236.21687200276725,2.4731757099312404
15,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,13.175815342337755,0.26705810289403437,6.846722910850623,0.000971641684430521,3175,95,22.42030123828772,1.3536096592652456e-05,-18.40386995731683,0.17024030216691777,33.690395659093156,8.62471797891053e-07,-25.66259955099042,True,-407.8635906920832,-419.0737413112271,-424.7087885216298,-429.0658190545547,355.5413848067461,4.483495875485091
15,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,224.52279114646768,0.21463639212283078,4.6068780823505575,0.009680830873546336,3175,98,11.473209381824631,0.0032257019583598,-7.4567781008537395,0.0844507259093833,32.7985525838543,1.313457376081358e-06,-24.77075647575157,True,-419.34386897790245,-425.08047366881476,-435.7431452698296,-438.8533524003111,233.20720445729134,2.783206401999052
16,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,5.205981976687174,0.2294421963825745,5.053797262162548,0.006126764591805318,3175,95,17.913772099513494,0.000128846852375861,-13.897340818542602,0.1360216324820168,32.099696773564006,1.8254079249927083e-06,-24.07190066546127,True,-406.96593912681516,-415.9228251765719,-423.01578751359716,-428.37267187399243,348.2271366463612,3.769948797672293
16,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,224.2653686412408,0.2217146787593488,4.915739877736123,0.007065845812393929,3175,98,12.706956376266476,0.0017406821747529679,-8.690525095295584,0.09353195382057163,34.786460261486695,5.138946973198026e-07,-26.75866415338396,True,-417.9857771600356,-424.3392553481688,-435.37900729077893,-439.54649958087,231.6959865964319,2.9956328588704104
17,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,18.056069164922643,0.2222754668949211,4.743012785602096,0.008414884522769669,3175,95,17.4880721091871,0.00015940920354581871,-13.47164082821621,0.13278923635069909,31.366591464869543,2.576991900887606e-06,-23.33879535676681,True,-406.8703387064303,-415.61437476102384,-422.55363443886506,-428.3726718739953,356.3002845996854,3.701974902296936
17,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,223.220054682447,0.22769016052616955,5.184280920043286,0.0053713923015417725,3175,98,14.203538027132367,0.0008236465917475517,-10.187106746161476,0.10454782589194735,36.030132972194224,2.8526854184949216e-07,-28.00233686409149,True,-418.61918112159015,-425.72095013515633,-436.63424760768726,-439.5464995808704,230.460575029227,3.170432895397793
18,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,17.6341106311611,0.20799848797832773,4.153283616121973,0.015343303687742896,3175,95,14.241757191496504,0.0008080564841597035,-10.225325910525612,0.10813953933535125,28.689223514673472,9.040036278063674e-06,-20.661427406570738,True,-408.7840909719976,-415.90496956774587,-423.12870272933435,-428.3726718739932,356.74644376487316,3.1966385493236995
18,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,219.3621127383543,0.2231971810428974,4.981698162549592,0.006605905416667842,3175,98,11.862672365821027,0.002654932142725025,-7.846241084850135,0.08731744180541093,35.24839732100088,4.130335873043387e-07,-27.220601212898146,True,-417.2744334130798,-423.2057695959903,-434.89863207358025,-438.85335240031065,226.3730991485408,2.8782685229413327
19,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,23.510050125235555,0.20103571170150603,3.87987430841578,0.02025719807060294,3175,95,14.203168667347427,0.0008237987167583318,-10.186737386376535,0.10784653158574549,29.208529296402276,7.090743219835988e-06,-21.18073318829954,True,-408.3158166445845,-415.41740097825823,-422.92008129278565,-428.37267187399505,359.70565657672324,3.208031934442848
19,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,223.48317425466774,0.1984388715007307,3.937798572248351,0.01911570307572865,3175,98,10.182510997204531,0.006150293353149093,-6.166079716233639,0.07495029652787913,34.46760793602027,5.974909284242459e-07,-26.439811827917538,True,-418.12417395458607,-423.21542945318834,-435.3579779225962,-438.8533524003085,234.53663551435784,2.620332448740804
20,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,12.325159462854218,0.2174316831051798,4.538547534523327,0.010365492739012216,3175,94,16.75519283247695,0.00022996201468164937,-12.738761551506059,0.12857783834336595,29.235206188859024,7.002772521304756e-06,-21.20741008075629,True,-404.10732203843344,-412.4849184546719,-418.72492513286295,-424.8582041313379,353.7075968732217,3.577786719645718
20,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,214.13999088100883,0.22639122145873447,5.125298515357776,0.005704997902885227,3175,98,10.708782951455419,0.004727345326785769,-6.692351670484527,0.07882402070418883,29.061939999619312,7.594138145974519e-06,-21.034143891516578,True,-419.1395330554261,-424.4939245311538,-433.67050305523577,-438.8533524003075,222.22818676585916,2.6964488227098564
21,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,19.1017845460342,0.2340946004570743,5.2608270684630964,0.004957847647367129,3175,94,18.490401561872773,9.657402155298214e-05,-14.47397028090188,0.1418936736029755,30.623180855143573,3.6539035237457694e-06,-22.59538474704084,True,-403.60250286698465,-412.84770364792104,-418.91409329455644,-424.85820413133706,0.9871945838801109,3.810554190664292
21,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,220.56595912802172,0.21614270725933127,4.671766990139297,0.009061529073433546,3175,99,11.67758486024934,0.0029123573782670747,-7.661153579278448,0.08508683720930182,33.232918278586794,1.0702422899833188e-06,-25.20512217048406,True,-421.03283460529843,-426.8716270354231,-437.64929374459183,-442.326363058027,227.5598381041529,2.8191263226710497
22,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,23.449711187245192,0.22477085956017326,4.850106173512237,0.007543698241385995,3175,95,14.088562464023767,0.0008723836789662479,-10.072131183052875,0.10697631157948148,23.37771290441549,0.00010641837606073496,-15.349916796312755,True,-409.9608623979671,-417.005143629979,-421.64971885017485,-428.37267187399266,5.71787810626352,3.1712580275322884
22,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,233.09433144764995,0.19077165850039066,3.639382568698967,0.02587287642611934,3175,98,10.40716467899233,0.005496837569389018,-6.390733398021439,0.07660390240865825,33.5144699908883,9.371317491321007e-07,-25.486673882785567,True,-418.66141228409595,-423.8649946235921,-435.4186472795401,-438.853352400311,240.8200585715034,2.6527643197641875
23,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,26.634799909853093,0.24465153580539237,5.74601990130597,0.003015888979477084,3175,95,17.036182198558663,0.00019982049902710867,-13.019750917587771,0.1293579767028496,29.29951753141654,6.795137581038779e-06,-21.271721423313807,True,-405.9080985034192,-414.4261896026985,-420.55785726912745,-428.3726718739927,8.861703748145008,3.6041817643595033
23,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,228.3315847377919,0.21386362218562446,4.5737648894355525,0.010012910531476455,3175,98,11.328784538978653,0.003467254288777679,-7.312353258007761,0.08338765955961258,33.73415517256956,8.448406494475267e-07,-25.706359064466824,True,-416.56807510893503,-422.23246737842436,-433.4351526952198,-438.85335240031014,236.38267830622016,2.7755296158809504
24,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,12.367926022172265,0.24502854201839686,5.763742694751482,0.002961548873096486,3175,95,19.367314760810928,6.229325649997714e-05,-15.350883479840036,0.1470585734776713,32.091694796690376,1.8322959158649933e-06,-24.063898688587642,True,-406.51245365315646,-416.1961110335619,-422.55830105150164,-428.3726718739939,354.84420247241343,3.9769273681548167
24,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,225.1551259368129,0.2568521412699839,6.597302247497577,0.001261000295324851,3175,99,18.37887253020756,0.00010211241281561959,-14.362441249236667,0.13391468816394364,40.90721208038383,2.809390199009769e-08,-32.879415972281095,True,-418.8869244557824,-428.07636072088616,-439.3405304959743,-442.32636305802816,229.49124099663936,3.7850943486376467
25,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,14.290700629663073,0.23349984780616087,5.234129176848028,0.005095128056973489,3175,95,17.74868835193979,0.00013993337017442024,-13.732257070968899,0.13476812982961708,27.4516583893203,1.610749035574841e-05,-19.423862281217566,True,-410.55969829033165,-419.43404246630155,-424.2855274849918,-429.0658190545534,356.27500326102296,3.757505921469845
25,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,229.69116082106117,0.1953556914569247,3.816384618461316,0.021622134704646717,3175,98,9.300980788634774,0.009556914124822237,-5.284549507663883,0.06846162683248423,29.99365671374062,4.909011884273933e-06,-21.965860605637886,True,-419.1909926070631,-423.8414830013805,-434.1878209639334,-438.85335240031003,239.4490123834679,2.5018232483023324
26,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,24.55703166145462,0.22508988622872375,4.863883860716141,0.007438339606958735,3175,95,14.258957269621305,0.0008011369635527075,-10.242525988650414,0.10827014179542259,26.289267400190397,2.7666219773076845e-05,-18.261471292087663,True,-408.6738875339971,-415.80336616880777,-421.8185212340923,-428.37267187399135,7.263523927822714,3.208899397743704
26,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,233.9740647237103,0.19939624293493438,3.9758861696567367,0.018390678463063765,3175,98,10.3183059974358,0.005746564972810747,-6.3018747164649085,0.07594984129018101,32.31391890847169,1.6502965418653608e-06,-24.286122800368958,True,-418.2851262687483,-423.4442792674662,-434.44208572298413,-438.8533524003102,240.3419451228892,2.62245473183274
27,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,29.27599959573385,0.21858975956815987,4.58702236685433,0.009865824235084706,3175,95,15.064884302632436,0.0005354290599244044,-11.048453021661544,0.11438965197354634,29.00973274238345,7.781881296550953e-06,-20.981936634280714,True,-408.9371783392912,-416.46962049060744,-423.44204471048295,-428.3726718739927,7.766910294513044,3.2950139378742502
27,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,236.53024966441365,0.21588412346197824,4.660595476294667,0.009165268689464805,3175,98,12.574495441708336,0.0018598717953679158,-8.558064160737445,0.09255695007874232,30.868564948512358,3.2563197006318056e-06,-22.840768840409623,True,-420.49631373723787,-426.78356145809204,-435.93059621149405,-438.85335240030986,240.73556239886813,2.966184244664121
28,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,21.46516902718102,0.24690771846092682,5.852488457815709,0.0027037481524176984,3175,94,21.081991824572242,2.643039426088807e-05,-17.06556054360135,0.1617813034966598,32.80757908483497,1.3078819384647184e-06,-24.779782976732236,True,-402.10818129017355,-412.64917720245967,-418.51197083259103,-424.85820413133865,1.3667111994541816,4.251582950601145
28,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,218.2148141537287,0.21515460661276262,4.629150474669263,0.009463656202255076,3175,99,12.626661068122758,0.0018119882896253875,-8.610229787151866,0.09200212780791134,35.09215932536085,4.4471988054819487e-07,-27.06436321725812,True,-421.9249156669339,-428.23824620099526,-439.4709953296143,-442.3263630580278,226.3738204619125,2.916551621142874
29,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,19.747115160467985,0.24574506443625824,5.797501122698948,0.0028607214765190535,3175,95,16.89066540366855,0.00021490108578102473,-12.874234122697658,0.12825304850098632,28.404901673278914,1.0324465556571479e-05,-20.37710556517618,True,-408.22095928522555,-416.6662919870598,-422.423410121865,-428.3726718739961,1.691679296401927,3.6204352561809756
29,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,233.39762256094897,0.22652319571559443,5.13127581972055,0.005670272367872519,3175,98,13.074734603790603,0.0014482964114967344,-9.058303322819711,0.09623905496851036,36.47415063843482,2.3114146853620295e-07,-28.446354530332087,True,-417.1051873563978,-423.6425546582931,-435.3422626756152,-438.8533524003103,237.42045698957597,3.0227706460715202
30,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,13.362824933393483,0.252725565552891,6.131540302466746,0.0020298755021709554,3175,95,18.762677069582878,8.428231218919784e-05,-14.746245788611986,0.14246747980046467,28.077282032502126,1.2031070335103414e-05,-20.04948592439939,True,-409.1142148962832,-418.49555343107465,-423.1528559125343,-428.37267187399533,357.65172027349536,3.88786411999179
30,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,236.9862017909348,0.2004779712008114,4.0191416936793365,0.01760040635259252,3175,99,13.511803935946887,0.0011639894794657011,-9.495372654975995,0.09845157844370986,36.10528936476487,2.752905471377024e-07,-28.077493256662137,True,-420.30138390702456,-427.057285874998,-438.354028589407,-442.32636305802725,245.68377068922547,3.023372118522009
31,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,14.904282588517074,0.22860272727721345,5.016883864183683,0.006362279118888374,3175,95,16.24904650788733,0.000296185901863286,-12.232615226916437,0.12338115166370094,28.792044328046472,8.615798638709813e-06,-20.764248219943738,True,-406.0157458596902,-414.14026911363385,-420.4117680237134,-428.37267187399186,357.73832523729334,3.447278552979388
31,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,226.54071665182582,0.217823196377028,4.74469448799053,0.008412437861988371,3175,99,13.681332702110694,0.0010693905726328144,-9.664901421139803,0.09968682243478333,36.696045875520326,2.080613815313156e-07,-28.668249767417592,True,-419.88016617937944,-426.7208325304348,-438.2281891171396,-442.32636305802856,233.37777774842922,3.0633927631891593
32,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,21.70074194392631,0.20010925486704453,3.8441965328106034,0.021004455649667183,3175,95,13.024419011213467,0.0014851945494071162,-9.007987730242576,0.09889613009440845,25.910374442805505,3.29890147452624e-05,-17.88257833470277,True,-408.299085855806,-414.81129536141276,-421.2542730772088,-428.37267187399374,0.08267109207654708,3.044359184045265
32,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,212.86235566531093,0.24219647685290532,5.86591333999599,0.0026734627875733006,3175,99,14.096435927962375,0.0008689560894251146,-10.080004646991483,0.10271140508828451,35.98391454114494,2.915828410811571e-07,-27.956118433042207,True,-419.52844450180964,-426.57666246579083,-437.5204017723821,-442.32636305802714,218.3605867400097,3.1383664319766176
33,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,24.310682676452977,0.2023414534741452,3.930438124226848,0.01924323720442635,3175,95,12.05014671531319,0.0024173742279515057,-8.033715434342298,0.09149835214824616,24.943619327308852,5.164018887054117e-05,-16.915823219206118,True,-407.9482153350625,-413.9732886927191,-420.42002499871694,-428.3726718739947,4.741427405025846,2.8971009723166565
33,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,216.1366726712056,0.2281742889899745,5.20635061560804,0.005251618312419549,3175,99,12.39957231526489,0.0020298646609525645,-8.383141034293999,0.09034748226452899,34.12952404775865,7.009713417570934e-07,-26.101727939655916,True,-420.85266966753704,-427.0524558251695,-437.91743169141637,-442.3263630580265,223.42804616135308,2.877094920516881
34,age_randomized,strong_monsoon_start,Strong monsoon starts,96,96,0,21.756524317144176,0.21075511380693887,4.264100927594472,0.013707621638216531,3175,95,12.3347706766898,0.002096711029652646,-8.318339395718908,0.09365953939875252,22.509553618235714,0.00015864191467242832,-14.48175751013298,True,-411.5183209805618,-417.6857063189067,-422.77309778967964,-428.3726718739945,4.45374771531457,2.9494335814208363
34,age_randomized,weak_monsoon_start,Weak monsoon starts,100,100,0,226.5572814376859,0.22817182650874573,5.2062382412337165,0.0052522213960342345,3175,98,13.627439406515691,0.0010985988286710065,-9.6110081255448,0.1003073431214032,34.18062642472182,6.842540302704833e-07,-26.152830316619088,True,-416.8866263010429,-423.70034600430074,-433.9769395134038,-438.8533524003089,233.84778159213684,3.0898384252891176
