realization_id,sampled_age_ka,event_index,event_type,event_label,event_short_label,published_start_age_ka,age_error_2sigma_kyr,age_sigma_kyr,sampling_lower_bound_ka,sampling_upper_bound_ka,truncated_gaussian_mass_kept,sampled_minus_published_ka
1,11.026914012575915,1,strong_monsoon_start,Strong monsoon starts,Strong,10.824,1.034429462683376,0.517214731341688,9.789570537316624,11.169,0.7248747766744175,0.20291401257591524
1,11.673369702373881,2,strong_monsoon_start,Strong monsoon starts,Strong,11.514,1.0366640119581372,0.5183320059790686,11.169,12.550664011958137,0.7244153650919867,0.1593697023738816
1,13.785544112872923,3,strong_monsoon_start,Strong monsoon starts,Strong,14.617,1.046772820481784,0.523386410240892,13.570227179518216,15.663772820481785,0.9544997361036418,-0.8314558871270776
1,23.54252538489938,4,strong_monsoon_start,Strong monsoon starts,Strong,23.685,1.0768826123365425,0.5384413061682712,22.608117387663455,24.761882612336542,0.9544997361036418,-0.14247461510061754
1,27.594259026242934,5,strong_monsoon_start,Strong monsoon starts,Strong,27.955,1.0913593418518739,0.5456796709259369,26.863640658148125,28.6925,0.8889862924313031,-0.36074097375706415
1,28.91149772421854,6,strong_monsoon_start,Strong monsoon starts,Strong,29.43,1.0964051789614357,0.5482025894807179,28.6925,30.526405178961436,0.8879865811196976,-0.5185022757814615
1,32.19638719800514,7,strong_monsoon_start,Strong monsoon starts,Strong,32.675,1.1075882890906332,0.5537941445453166,31.567411710909365,33.334999999999994,0.8605758299290345,-0.47861280199485634
1,34.40567074995212,8,strong_monsoon_start,Strong monsoon starts,Strong,33.995,1.1121699251795845,0.5560849625897922,33.334999999999994,34.765,0.7992852571176785,0.41067074995212494
1,35.39227152147402,9,strong_monsoon_start,Strong monsoon starts,Strong,35.535,1.117539121291943,0.5587695606459715,34.765,36.65253912129194,0.8931525186951884,-0.14272847852597437
1,38.9171058810584,10,strong_monsoon_start,Strong monsoon starts,Strong,38.305,1.127262027572195,0.5636310137860975,37.177737972427806,39.43226202757219,0.9544997361036414,0.6121058810583975
1,42.12654999158069,11,strong_monsoon_start,Strong monsoon starts,Strong,41.595,1.1389201365278123,0.5694600682639062,40.45607986347218,42.605000000000004,0.9391860164124971,0.5315499915806896
1,43.65165220069046,12,strong_monsoon_start,Strong monsoon starts,Strong,43.615,1.1461376682468436,0.5730688341234218,42.605000000000004,44.761137668246846,0.9382524584339308,0.036652200690454606
1,47.51880179770229,13,strong_monsoon_start,Strong monsoon starts,Strong,47.25,1.159241042996251,0.5796205214981255,46.09075895700375,48.40924104299625,0.9544997361036414,0.26880179770228807
1,49.36066720091267,14,strong_monsoon_start,Strong monsoon starts,Strong,49.65,1.1679745168089515,0.5839872584044757,48.482025483191045,50.81797451680895,0.954499736103642,-0.289332799087326
1,53.892240013811524,15,strong_monsoon_start,Strong monsoon starts,Strong,53.8,1.1832316918440746,0.5916158459220373,52.616768308155926,54.084999999999994,0.6622515267286564,0.09224001381152647
1,54.95367521949,16,strong_monsoon_start,Strong monsoon starts,Strong,54.37,1.185342763745728,0.592671381872864,54.084999999999994,55.0575,0.5616728270513794,0.5836752194900043
1,55.07367311231498,17,strong_monsoon_start,Strong monsoon starts,Strong,55.745,1.1904507755597424,0.5952253877798712,55.0575,56.93545077555974,0.8532097035613412,-0.6713268876850194
1,58.05079135646061,18,strong_monsoon_start,Strong monsoon starts,Strong,58.21,1.199663212769045,0.5998316063845225,57.010336787230955,58.9975,0.8826362306044068,-0.1592086435393938
1,59.29151127439142,19,strong_monsoon_start,Strong monsoon starts,Strong,59.785,1.2055867508834452,0.6027933754417226,58.9975,60.990586750883445,0.8815446114116099,-0.4934887256085787
1,64.79002254917275,20,strong_monsoon_start,Strong monsoon starts,Strong,65.48,1.2272506512021177,0.6136253256010589,64.25274934879789,66.70725065120212,0.9544997361036407,-0.6899774508272571
