component_id,component_label,driver,driver_label,event_type,event_label,n_events_total,n_phase_events_used,n_extrapolated_phase_events,mean_phase_rad,mean_phase_deg,mean_resultant_length,rayleigh_R,rayleigh_z,rayleigh_p
observed_raw,Observed raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,95,95,0,0.5138365090574061,29.440663328725066,0.19826060253810932,18.834757241120386,3.734190319283545,0.023481147660222905
observed_raw,Observed raw composite,pre,Precession index,weak_monsoon_start,Weak monsoon starts,101,101,0,3.822337286867579,219.0037944129981,0.2848607767982804,28.770938456626325,8.195711877970092,0.00024186290694246476
precession_band,17-25 kyr precession band,pre,Precession index,strong_monsoon_start,Strong monsoon starts,53,53,0,1.2855128840028116,73.65446276305167,0.7874577759877682,41.73526212735172,32.864756695070916,3.218360280180403e-14
precession_band,17-25 kyr precession band,pre,Precession index,weak_monsoon_start,Weak monsoon starts,53,53,0,4.4393143600530385,254.35397676285905,0.8411682672925259,44.581918166503876,37.50089485669525,6.203176411299658e-16
highfreq_lt1kyr,<1 kyr high-frequency component,pre,Precession index,strong_monsoon_start,Strong monsoon starts,33,33,0,1.653716791184568,94.75099264479302,0.22821959891678995,7.531246764254068,1.7187781158814355,0.1799652241282469
highfreq_lt1kyr,<1 kyr high-frequency component,pre,Precession index,weak_monsoon_start,Weak monsoon starts,41,41,0,2.9055081398631706,166.47335375506617,0.21093964368123344,8.64852539093057,1.8243168643309948,0.16165435105326909
precession_plus_highfreq,Precession band + <1 kyr component,pre,Precession index,strong_monsoon_start,Strong monsoon starts,62,62,0,1.0636209728501227,60.94099274591075,0.7448301866676513,46.17947157339438,34.39586443222483,6.0361964839962546e-15
precession_plus_highfreq,Precession band + <1 kyr component,pre,Precession index,weak_monsoon_start,Weak monsoon starts,60,60,0,4.059281237479646,232.57968276422577,0.7308668106358741,43.85200863815245,32.04997769334328,4.6537815465227815e-14
