age_ka,d18o_raw,d18o_precession_band,d18o_highfreq_lt1kyr,d18o_precession_plus_highfreq,d18o_precession_band_plus_mean,d18o_highfreq_lt1kyr_plus_mean
0.0,-9.66,0.4236572006522934,-0.00031078399071357565,-8.288286933162858,-8.287976149172145,-8.711944133815152
0.1,-9.33850768817073,0.42251077796234665,0.2183642840153955,-8.070758287846697,-8.289122571862093,-8.493269065809043
0.2,-9.39616215611094,0.4209808612660253,0.06367568886169563,-8.226976799696718,-8.290652488558413,-8.647957660962742
0.3,-9.508109764630152,0.4190665786527486,-0.1358595737899761,-8.428426344961666,-8.29256677117169,-8.847492923614414
0.4,-9.144660856696536,0.41676741901548864,0.1509516050351591,-8.14391432577379,-8.29486593080895,-8.56068174478928
0.5,-9.312057880457123,0.414083234523306,-0.08154328801118295,-8.379093403312316,-8.297550115301133,-8.793176637835622
0.6,-9.512270821343419,0.41101424273904225,-0.333957171388359,-8.634576278473755,-8.300619107085396,-9.045590521212798
0.7,-9.056916879059438,0.4075610283783071,0.08475942623537294,-8.21931289521076,-8.304072321446132,-8.626873923589066
0.8,-8.718774151114035,0.40372454470626534,0.40442495827012453,-7.903483846848049,-8.307908805118174,-8.307208391554314
0.9,-9.191575917091628,0.3995061145690988,-0.06857725315507437,-8.380704488410414,-8.312127235255339,-8.780210602979514
1.0,-9.174150701709047,0.394907431057399,-0.03683722123356178,-8.3535631400006,-8.31672591876704,-8.748470571058
1.1,-9.393375429987254,0.38993055779912345,-0.23398866946539623,-8.555691461490712,-8.321702792025315,-8.945622019289836
1.2,-9.204236607250246,0.3845779288801384,-0.022379287289058997,-8.349434708233359,-8.3270554209443,-8.734012637113498
1.3,-8.950989252746274,0.3788523483907558,0.24778833888694418,-8.084992662546739,-8.332781001433682,-8.463845010937494
1.4,-9.306976498743925,0.37275698959706693,-0.1007790528284151,-8.439655413055787,-8.338876360227372,-8.812412402652853
1.5,-9.149845924737958,0.3662953937362691,0.05191120332613482,-8.293426752762034,-8.34533795608817,-8.659722146498304
1.6,-9.27099375680165,0.3594714684355787,-0.08670677584497537,-8.438868657233835,-8.35216188138886,-8.798340125669414
1.7,-9.085849132252706,0.3522894857547228,0.06802071557249273,-8.291323148497224,-8.359343864069716,-8.643612634251946
1.8,-9.131131221719459,0.3447540798524023,-0.01896640627510567,-8.385845676247142,-8.366879269972037,-8.730599756099544
1.9,-9.168218111002922,0.3368702442775204,-0.10558950061601552,-8.480352606162933,-8.374763105546918,-8.817222850440455
2.0,-8.793714328514717,0.32864332888637143,0.2167273447646335,-8.166262676173433,-8.382990020938067,-8.494906005059805
2.1,-9.057174723087128,0.32007903638738805,-0.09503264875607204,-8.486586962193122,-8.39155431343705,-8.806665998580511
2.2,-8.883137154815987,0.31118341851544534,0.04185747977276826,-8.358592451536225,-8.400449931308993,-8.669775870051671
2.3,-9.318996477974581,0.3019628718381205,-0.41314802252958915,-8.822818500515908,-8.409670477986317,-9.124781372354027
2.4,-8.839462508294625,0.29242413319670774,0.06955008901543969,-8.349659127612291,-8.419209216627731,-8.642083260808999
2.5,-8.245090608522606,0.2825742747851836,0.6882766513181999,-7.740782423721055,-8.429059075039255,-8.02335669850624
2.6,-9.146083267391118,0.2724206988707146,-0.1755348977584139,-8.614747548712138,-8.439212650953724,-8.887168247582853
2.7,-9.06047322540473,0.2619711321596907,-0.053696761607502586,-8.503358979272251,-8.449662217664748,-8.765330111431942
2.8,-9.131494396014942,0.2512336198136598,-0.10251379581940631,-8.562913525830185,-8.46039973001078,-8.814147145643846
2.9,-9.484744707347447,0.24021651911992078,-0.45237235656055774,-8.923789187265076,-8.471416830704518,-9.164005706384996
