driver,driver_label,event_type,event_label,n_events_total,n_phase_events_used,n_extrapolated_phase_events,mean_phase_rad,mean_phase_deg,mean_resultant_length,rayleigh_R,rayleigh_z,rayleigh_p
obl,Obliquity,barker_do_warming_fixed_threshold_edc3,"Barker fixed-threshold D-O warmings, EDC3 0-640 ka",75,75,0,4.273763477605653,244.8686099039574,0.05674398839272891,4.255799129454668,0.24149101640356146,0.7865681278829366
obl,Obliquity,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",104,104,0,4.71491887191606,270.1449521073734,0.08573826816331157,8.916779888984403,0.7645092652749682,0.4666235923320744
obl,Obliquity,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",70,70,0,4.248126855330302,243.39973964660874,0.03313051219031042,2.3191358533217294,0.07683415865946151,0.9265313983456452
pre,Precession index,barker_do_warming_fixed_threshold_edc3,"Barker fixed-threshold D-O warmings, EDC3 0-640 ka",75,75,0,6.097277434001305,349.3482634886311,0.15729161387498578,11.796871040623934,1.8555488846548214,0.15650979990404978
pre,Precession index,barker_do_warming_variable_threshold_edc3,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",104,104,0,5.993938613734993,343.42738522751046,0.13491213891191411,14.030862446839068,1.8929336634819116,0.15070398434704102
pre,Precession index,barker_do_warming_variable_threshold_speleo,"Barker variable-threshold D-O warmings, SpeleoAge 0-400 ka",70,70,0,6.281341356910688,359.8943494319601,0.18929312612015,13.2505188284105,2.5082321317437315,0.08103719055441479
