dataset_id,dataset_label,model_id,model_label,terms,bin_width_ka,n_bins,n_events,n_parameters,converged,optimizer_message,log_likelihood,AIC,AICc,BIC,expected_events,max_fitted_rate_per_kyr,mean_fitted_rate_per_kyr,beta_intercept,beta_same_type_history_count,beta_edc_log_resolution_scaled,beta_lr04_scaled,beta_co2_scaled,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_amplitude,pre_phase_preferred_rad,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,delta_AICc,rank_AICc
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",baseline_climate_lr04_co2_pre_phase,Full predictive model,same_type_history_count+edc_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,103,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-446.8246495598245,907.649299119649,907.6846638181017,950.0907394989365,102.99998907379339,0.4957702326978524,0.16220470720282426,-1.6841368514570112,-0.2714647341387389,-0.9844300409495977,1.3824990806030546,-0.29069398175062083,-0.2143202148516881,0.3528547214217508,0.4128433224889257,5.737350138480085,328.7259485237073,2.2834481453521005,0.0,1.0
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",baseline_climate_lr04_co2,Climate-state model,same_type_history_count+edc_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3175,103,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-450.8011476900201,911.6022953800402,911.6212287975221,941.9176099366742,103.00003002297814,0.4170174801338436,0.16220477168972933,-1.7110718173864465,-0.19394825652876257,-0.963202487193524,1.0863920879060447,-0.274518277104347,,,,,,,3.936564979420382,2.0
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",stationary,Stationary,none,0.2,3175,103,1,True,analytic stationary MLE,-456.1183940790087,914.2367881580174,914.2380487946389,920.2998510693442,103.0,0.16220472440944883,0.16220472440944883,-1.8188960106630558,,,,,,,,,,,6.5533849765371315,3.0
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",baseline_pre_phase,Event-process baseline + precession phase,same_type_history_count+edc_log_resolution_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,103,5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-452.618616993162,915.237233986324,915.2561674038059,945.552548542958,102.99999437442068,0.28885275705492014,0.16220471555026875,-1.7379317292690353,-0.14166463498130494,-0.6386823792527805,,,-0.08712919582565831,0.29510203288808995,0.3076958020186646,5.996090988411691,343.5507072124161,1.8503810743947637,7.571503585704136,4.0
barker_variable_threshold_edc3_0_640,"Barker variable-threshold D-O warmings, EDC3 0-640 ka",history_resolution_baseline,Event-process baseline,same_type_history_count+edc_log_resolution_scaled,0.2,3175,103,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-454.9662400028684,915.9324800057368,915.9400485960869,934.1216687397172,102.99999794526045,0.2614905018287917,0.16220472117363846,-1.7510899249125558,-0.09958675373758293,-0.6875768486616091,,,,,,,,,8.255384777985114,5.0
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",baseline_climate_lr04_co2_pre_phase,Full predictive model,same_type_history_count+edc_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3975,125,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-546.3502627732521,1106.7005255465042,1106.7287584681073,1150.7149857361233,124.99932702696753,0.49710491605954016,0.15723185789555663,-1.671770036250697,-0.3381466062125427,-1.009914878902451,1.5706366181032692,-0.08594946762430329,-0.16643290315901837,0.300221673908908,0.34326806542206323,5.776995714836977,330.9974727253208,1.9868215103915496,0.0,1.0
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",baseline_climate_lr04_co2,Climate-state model,same_type_history_count+edc_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3975,125,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-549.7492447544632,1109.4984895089265,1109.5136066669008,1140.9373896443685,125.00001555635845,0.46381437279984405,0.1572327239702622,-1.6855397928490123,-0.2847006111500227,-0.9450193469049292,1.3225469157193328,-0.1311623184824938,,,,,,,2.7848481987934974,2.0
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",baseline_pre_phase,Event-process baseline + precession phase,same_type_history_count+edc_log_resolution_scaled+pre_phase_sin+pre_phase_cos,0.2,3975,125,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-553.354230457264,1116.708460914528,1116.7235780725023,1148.14736104997,125.0000078080094,0.2867067551942351,0.15723271422391122,-1.7148390989737157,-0.21576505293021847,-0.5947378598303649,,,-0.05741845293636595,0.25426920815196274,0.260671649689474,6.061092832958775,347.2750385655295,1.684288634645951,9.994819604394934,3.0
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",history_resolution_baseline,Event-process baseline,same_type_history_count+edc_log_resolution_scaled,0.2,3975,125,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-555.4112449770316,1116.8224899540633,1116.8285337717414,1135.6858300353285,124.99999614876126,0.2638824768466832,0.15723269955819028,-1.7229140686276625,-0.18355726563537075,-0.6044141353784205,,,,,,,,,10.099775303634033,4.0
barker_variable_threshold_edc3_0_800,"Barker variable-threshold D-O warmings, EDC3 0-800 ka",stationary,Stationary,none,0.2,3975,125,1,True,analytic stationary MLE,-557.4332862232652,1116.8665724465304,1116.8675792424026,1123.154352473619,125.0,0.15723270440251572,0.15723270440251574,-1.8500283773520307,,,,,,,,,,,10.138820774295255,5.0
