event_type,event_label,event_short_label,event_index,published_start_age_ka,age_error_2sigma_kyr,age_sigma_kyr,sampling_lower_bound_ka,sampling_upper_bound_ka,truncated_gaussian_mass_kept,sample_mean_age_ka,sample_std_age_ka,sample_q025_age_ka,sample_q500_age_ka,sample_q975_age_ka,mean_minus_published_ka,std_over_requested_sigma
strong_monsoon_start,Strong monsoon starts,Strong,1,10.824,1.034429462683376,0.517214731341688,9.789570537316624,11.169,0.7248747766744175,10.628065661331405,0.32615156364914605,9.937272654389288,10.6683585676213,11.126651523438309,-0.19593433866859478,0.6305921774561372
strong_monsoon_start,Strong monsoon starts,Strong,2,11.514,1.0366640119581372,0.5183320059790686,11.169,12.550664011958137,0.7244153650919867,11.69831466207813,0.32786066115257506,11.190139087759539,11.665592036685066,12.367448766642628,0.18431466207813152,0.6325302265162742
strong_monsoon_start,Strong monsoon starts,Strong,3,14.617,1.046772820481784,0.523386410240892,13.570227179518216,15.663772820481785,0.9544997361036418,14.618631478054166,0.43754507442132334,13.737731483522255,14.625263140693868,15.47726955151781,0.0016314780541648588,0.8359886039454871
strong_monsoon_start,Strong monsoon starts,Strong,4,23.685,1.0768826123365425,0.5384413061682712,22.608117387663455,24.761882612336542,0.9544997361036418,23.71887881525878,0.4907556222981927,22.73779931249562,23.704921744191125,24.59829269167945,0.033878815258781,0.9114375451441015
strong_monsoon_start,Strong monsoon starts,Strong,5,27.955,1.0913593418518739,0.5456796709259369,26.863640658148125,28.6925,0.8889862924313031,27.86190960205214,0.42947327138163394,27.044171711794736,27.883727326254515,28.59582994377681,-0.0930903979478579,0.787042827988959
strong_monsoon_start,Strong monsoon starts,Strong,6,29.43,1.0964051789614357,0.5482025894807179,28.6925,30.526405178961436,0.8879865811196976,29.52598136456114,0.4400670935806281,28.75549587557234,29.517638715073723,30.396335923817073,0.09598136456114048,0.8027453755690565
strong_monsoon_start,Strong monsoon starts,Strong,7,32.675,1.1075882890906332,0.5537941445453166,31.567411710909365,33.334999999999994,0.8605758299290345,32.60288201126063,0.41655414981062056,31.798378810019205,32.63885562821644,33.28965584174084,-0.07211798873936459,0.7521822935716038
strong_monsoon_start,Strong monsoon starts,Strong,8,33.995,1.1121699251795845,0.5560849625897922,33.334999999999994,34.765,0.7992852571176785,34.04046093895919,0.36992874269974907,33.39557533641785,34.020997083911794,34.71288699182881,0.04546093895919512,0.6652378100226292
strong_monsoon_start,Strong monsoon starts,Strong,9,35.535,1.117539121291943,0.5587695606459715,34.765,36.65253912129194,0.8931525186951884,35.608208893538446,0.4375767960278383,34.82297812236132,35.57830544110388,36.460576528019885,0.07320889353844962,0.7831077904851742
strong_monsoon_start,Strong monsoon starts,Strong,10,38.305,1.127262027572195,0.5636310137860975,37.177737972427806,39.43226202757219,0.9544997361036414,38.29628926816751,0.46689868257903516,37.44143797469601,38.284404674906206,39.160972764591584,-0.008710731832486829,0.8283764930583237
