event_type,event_label,metric_id,metric_label,n_realizations,published_catalogue_p_value,p_value_median,p_value_q025,p_value_q05,p_value_q95,p_value_q975,p_value_min,p_value_max,significant_fraction_p_lt_0p05,published_catalogue_significant_p_lt_0p05
strong_monsoon_start,Strong monsoon starts,lohmann_poisson_ES_p_value,Lohmann Poisson null,500,0.07518496300739852,0.08058388322335533,0.06368226354729054,0.0655868826234753,0.10258948210357928,0.10678864227154568,0.05598880223955209,0.11677664467106579,0.0,False
strong_monsoon_start,Strong monsoon starts,lohmann_fixed_n_ES_p_value,Lohmann fixed-N null,500,0.046790641871625675,0.05038992201559688,0.03759248150369926,0.03939212157568486,0.06639672065586882,0.06989102179564087,0.02959408118376325,0.07618476304739052,0.498,True
strong_monsoon_start,Strong monsoon starts,rayleigh_pre_p_value,Rayleigh precession phase,500,0.0019154376890144474,0.006527562736730351,0.0009791226617069004,0.0013290042965090655,0.027496182019530368,0.03492192861939686,0.000472190162401041,0.08487071899785678,0.996,True
strong_monsoon_start,Strong monsoon starts,precession_phase_after_adjusted_climate_LR_p_value,Precession phase after adjusted LR04+CO2,500,5.160527074473777e-05,0.00024232158778721895,1.2722815513599465e-05,2.0581817471213583e-05,0.0020395315882534653,0.00254748366432142,1.7649296027681132e-06,0.01187071018494792,1.0,True
strong_monsoon_start,Strong monsoon starts,full_vs_adjusted_baseline_LR_p_value,Poisson full vs adjusted baseline,500,9.539597967680915e-07,5.621230443706642e-06,2.3830879617393093e-07,3.8553591366488126e-07,5.569991624216939e-05,7.67795213094645e-05,3.3289287408012154e-08,0.00034399141529515344,1.0,True
weak_monsoon_start,Weak monsoon starts,lohmann_poisson_ES_p_value,Lohmann Poisson null,500,0.023195360927814438,0.02499500099980004,0.01969106178764247,0.020795840831833633,0.03100379924015196,0.03190861827634472,0.017996400719856028,0.03679264147170566,1.0,True
weak_monsoon_start,Weak monsoon starts,lohmann_fixed_n_ES_p_value,Lohmann fixed-N null,500,0.010797840431913617,0.011597680463907219,0.008398320335932814,0.008598280343931213,0.016396720655868825,0.016796640671865627,0.007798440311937612,0.020795840831833633,1.0,True
weak_monsoon_start,Weak monsoon starts,rayleigh_pre_p_value,Rayleigh precession phase,500,0.0027094913683490683,0.007512598621180599,0.0010981375191924233,0.0014701026772895804,0.02804304942044088,0.038949794621168495,0.00044169501171242306,0.09342670785010038,0.99,True
weak_monsoon_start,Weak monsoon starts,precession_phase_after_adjusted_climate_LR_p_value,Precession phase after adjusted LR04+CO2,500,0.0007032826545401922,0.0018595484941739317,0.00012832659317668594,0.00018835485746043323,0.010705580538642508,0.014252569285410313,5.463137335437695e-05,0.035492304161706574,1.0,True
weak_monsoon_start,Weak monsoon starts,full_vs_adjusted_baseline_LR_p_value,Poisson full vs adjusted baseline,500,2.616734716892667e-07,4.6010600763216496e-07,8.184186809642035e-09,1.7799287671200357e-08,5.445669454551634e-06,8.346421231840815e-06,1.3075696718799742e-09,2.1372555208789017e-05,1.0,True
