driver,driver_label,age_ka,value,source,extremum_type,half_cycle_index,anchor_phase_unwrapped_rad,anchor_phase_rad,anchor_phase_deg
pre,Precession index,389.0,-0.012348,data/raw/pre_1000_60_inter100.txt,minimum,41,131.9468914507713,6.283185307179565,359.99999999999875
pre,Precession index,398.5,0.015571,data/raw/pre_1000_60_inter100.txt,maximum,42,135.0884841043611,3.1415926535897896,179.9999999999998
pre,Precession index,408.4,-0.015743,data/raw/pre_1000_60_inter100.txt,minimum,43,138.23007675795088,6.283185307179572,359.9999999999992
pre,Precession index,418.4,0.013101,data/raw/pre_1000_60_inter100.txt,maximum,44,141.37166941154067,3.1415926535897682,179.99999999999858
pre,Precession index,428.0,-0.009197,data/raw/pre_1000_60_inter100.txt,minimum,45,144.51326206513048,6.283185307179579,359.9999999999996
pre,Precession index,436.7,0.006865,data/raw/pre_1000_60_inter100.txt,maximum,46,147.65485471872026,3.1415926535897754,179.99999999999898
pre,Precession index,445.2,-0.008499,data/raw/pre_1000_60_inter100.txt,minimum,47,150.79644737231007,0.0,0.0
pre,Precession index,454.7,0.014179,data/raw/pre_1000_60_inter100.txt,maximum,48,153.93804002589985,3.1415926535897825,179.99999999999937
pre,Precession index,464.8,-0.021521,data/raw/pre_1000_60_inter100.txt,minimum,49,157.07963267948963,6.283185307179565,359.99999999999875
pre,Precession index,474.9,0.028408,data/raw/pre_1000_60_inter100.txt,maximum,50,160.22122533307945,3.1415926535897896,179.9999999999998
pre,Precession index,485.1,-0.033301,data/raw/pre_1000_60_inter100.txt,minimum,51,163.36281798666923,6.283185307179572,359.9999999999992
pre,Precession index,495.5,0.034622,data/raw/pre_1000_60_inter100.txt,maximum,52,166.50441064025904,3.1415926535897967,180.0000000000002
pre,Precession index,506.1,-0.031366,data/raw/pre_1000_60_inter100.txt,minimum,53,169.64600329384882,6.283185307179579,359.9999999999996
pre,Precession index,516.6,0.023898,data/raw/pre_1000_60_inter100.txt,maximum,54,172.7875959474386,3.1415926535897754,179.99999999999898
pre,Precession index,528.3,-0.014264,data/raw/pre_1000_60_inter100.txt,minimum,55,175.92918860102841,0.0,0.0
pre,Precession index,545.1,0.016823,data/raw/pre_1000_60_inter100.txt,maximum,56,179.0707812546182,3.1415926535897825,179.99999999999937
