term_1,term_2,correlation
same_type_history_count,same_type_history_count,1.0
cheng_log_resolution_scaled,same_type_history_count,-0.30406591545305167
lr04_scaled,same_type_history_count,0.2326397416862944
co2_scaled,same_type_history_count,-0.27889435035203586
pre_phase_sin,same_type_history_count,-0.11236643277145071
pre_phase_cos,same_type_history_count,0.2921658339011021
AT_scaled,same_type_history_count,-0.0445891645257375
obl_scaled,same_type_history_count,0.017126077963539682
ecc_scaled,same_type_history_count,-0.1511214697209413
insol65N_scaled,same_type_history_count,0.26622014821258566
same_type_history_count,cheng_log_resolution_scaled,-0.30406591545305167
cheng_log_resolution_scaled,cheng_log_resolution_scaled,1.0
lr04_scaled,cheng_log_resolution_scaled,0.06757903838632368
co2_scaled,cheng_log_resolution_scaled,-0.12355543996194866
pre_phase_sin,cheng_log_resolution_scaled,0.01552003975315756
pre_phase_cos,cheng_log_resolution_scaled,-0.03509283468709493
AT_scaled,cheng_log_resolution_scaled,-0.022563661303731393
obl_scaled,cheng_log_resolution_scaled,-0.07616408488527068
ecc_scaled,cheng_log_resolution_scaled,0.07224800953420935
insol65N_scaled,cheng_log_resolution_scaled,-0.11005125963252221
same_type_history_count,lr04_scaled,0.2326397416862944
cheng_log_resolution_scaled,lr04_scaled,0.06757903838632368
lr04_scaled,lr04_scaled,1.0
co2_scaled,lr04_scaled,-0.826754109503389
pre_phase_sin,lr04_scaled,0.21797290757002455
pre_phase_cos,lr04_scaled,-0.09148029322462699
AT_scaled,lr04_scaled,-0.15864211023327487
obl_scaled,lr04_scaled,-0.18768287738601985
ecc_scaled,lr04_scaled,-0.38541637373527
insol65N_scaled,lr04_scaled,-0.17704191528667793
same_type_history_count,co2_scaled,-0.27889435035203586
cheng_log_resolution_scaled,co2_scaled,-0.12355543996194866
lr04_scaled,co2_scaled,-0.826754109503389
co2_scaled,co2_scaled,1.0
pre_phase_sin,co2_scaled,-0.13414747249193362
pre_phase_cos,co2_scaled,0.064643821518998
AT_scaled,co2_scaled,0.1216514348611517
obl_scaled,co2_scaled,0.10938569413501378
ecc_scaled,co2_scaled,0.26280779190585546
insol65N_scaled,co2_scaled,0.10652189555204725
same_type_history_count,pre_phase_sin,-0.11236643277145071
cheng_log_resolution_scaled,pre_phase_sin,0.01552003975315756
lr04_scaled,pre_phase_sin,0.21797290757002455
co2_scaled,pre_phase_sin,-0.13414747249193362
pre_phase_sin,pre_phase_sin,1.0
pre_phase_cos,pre_phase_sin,0.0022568513739506997
AT_scaled,pre_phase_sin,0.15337018552242018
obl_scaled,pre_phase_sin,0.012568235778849761
ecc_scaled,pre_phase_sin,-0.00998248035417127
insol65N_scaled,pre_phase_sin,0.006219603037180756
same_type_history_count,pre_phase_cos,0.2921658339011021
cheng_log_resolution_scaled,pre_phase_cos,-0.03509283468709493
lr04_scaled,pre_phase_cos,-0.09148029322462699
co2_scaled,pre_phase_cos,0.064643821518998
pre_phase_sin,pre_phase_cos,0.0022568513739506997
pre_phase_cos,pre_phase_cos,1.0
AT_scaled,pre_phase_cos,0.10820458281558475
obl_scaled,pre_phase_cos,-0.018842783748017275
ecc_scaled,pre_phase_cos,0.005899653016563784
insol65N_scaled,pre_phase_cos,0.8082566629708616
same_type_history_count,AT_scaled,-0.0445891645257375
cheng_log_resolution_scaled,AT_scaled,-0.022563661303731393
lr04_scaled,AT_scaled,-0.15864211023327487
co2_scaled,AT_scaled,0.1216514348611517
pre_phase_sin,AT_scaled,0.15337018552242018
pre_phase_cos,AT_scaled,0.10820458281558475
AT_scaled,AT_scaled,1.0
obl_scaled,AT_scaled,-0.27910957399939235
ecc_scaled,AT_scaled,0.1802373770880013
insol65N_scaled,AT_scaled,-0.051738927095515586
same_type_history_count,obl_scaled,0.017126077963539682
cheng_log_resolution_scaled,obl_scaled,-0.07616408488527068
lr04_scaled,obl_scaled,-0.18768287738601985
co2_scaled,obl_scaled,0.10938569413501378
pre_phase_sin,obl_scaled,0.012568235778849761
pre_phase_cos,obl_scaled,-0.018842783748017275
AT_scaled,obl_scaled,-0.27910957399939235
obl_scaled,obl_scaled,1.0
ecc_scaled,obl_scaled,-0.038341535785444976
insol65N_scaled,obl_scaled,0.4505097917013627
same_type_history_count,ecc_scaled,-0.1511214697209413
cheng_log_resolution_scaled,ecc_scaled,0.07224800953420935
lr04_scaled,ecc_scaled,-0.38541637373527
co2_scaled,ecc_scaled,0.26280779190585546
pre_phase_sin,ecc_scaled,-0.00998248035417127
pre_phase_cos,ecc_scaled,0.005899653016563784
AT_scaled,ecc_scaled,0.1802373770880013
obl_scaled,ecc_scaled,-0.038341535785444976
ecc_scaled,ecc_scaled,1.0
insol65N_scaled,ecc_scaled,0.023877249458703835
same_type_history_count,insol65N_scaled,0.26622014821258566
cheng_log_resolution_scaled,insol65N_scaled,-0.11005125963252221
lr04_scaled,insol65N_scaled,-0.17704191528667793
co2_scaled,insol65N_scaled,0.10652189555204725
pre_phase_sin,insol65N_scaled,0.006219603037180756
pre_phase_cos,insol65N_scaled,0.8082566629708616
AT_scaled,insol65N_scaled,-0.051738927095515586
obl_scaled,insol65N_scaled,0.4505097917013627
ecc_scaled,insol65N_scaled,0.023877249458703835
insol65N_scaled,insol65N_scaled,1.0
