dataset_id,dataset_label,model_id,model_label,terms,bin_width_ka,n_bins,n_events,n_parameters,converged,optimizer_message,log_likelihood,AIC,AICc,BIC,expected_events,max_fitted_rate_per_kyr,mean_fitted_rate_per_kyr,beta_intercept,beta_same_type_history_count,beta_cheng_log_resolution_scaled,beta_lr04_scaled,beta_co2_scaled,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_amplitude,pre_phase_preferred_rad,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,beta_AT_scaled,beta_obl_scaled,beta_ecc_scaled,beta_insol65N_scaled,delta_AICc,rank_AICc
strong_monsoon_start,Strong monsoon starts,base_adjusted_climate_phase,"Extended baseline
(full predictive model)",same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,95,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.32700494892265,820.6540098978453,820.6893745962981,863.0954502771328,95.00013695730843,1.247582953005401,0.14960651489339907,-1.892424796578027,-0.3591683619899871,-2.8817903263952247,1.456347071429274,-0.7984981013444344,0.024448870416166703,0.6960983213443704,0.6965275444970407,0.03510829386904049,2.011557064601044,4.0271345327385895,,,,,0.0,1.0
strong_monsoon_start,Strong monsoon starts,base_plus_insol65N,Extended baseline + 65$^{\circ}$N insolation,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+insol65N_scaled,0.2,3175,95,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.04407437729026,822.0881487545805,822.1336320142141,870.5926520451949,95.00046453891584,1.2805118883111704,0.14960703076994616,-1.8949764508437885,-0.36540436589744485,-2.8186481980944205,1.6105587636284489,-0.7739976738206809,0.005832550681280971,0.5565723870908494,0.5566029470991473,0.010479027210430671,0.6004040325604258,3.044101836284731,,,,0.717377575698486,1.444257417915992,2.0
strong_monsoon_start,Strong monsoon starts,base_plus_obl,Extended baseline + obliquity,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+obl_scaled,0.2,3175,95,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.1484475454784,822.2968950909568,822.3423783505904,870.8013983815712,95.00002301336653,1.2785387303983256,0.1496063354541205,-1.8917123339339725,-0.36291888103806297,-2.848064882603081,1.5264623110318565,-0.8063894514413509,0.010174285004269907,0.7069822547337824,0.7070554607552444,0.014390152852279101,0.8244950249837361,4.11282821288204,,0.24690225147743733,,,1.6530037542922855,3.0
strong_monsoon_start,Strong monsoon starts,base_plus_ecc,Extended baseline + eccentricity,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+ecc_scaled,0.2,3175,95,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.2586823797434,822.5173647594868,822.5628480191203,871.0218680501011,94.99999668262204,1.2646464723631676,0.14960629398838113,-1.891468619675284,-0.36253461141887566,-2.9027846248303013,1.3427443320621197,-0.8381081060137607,0.029986291167202653,0.6944368344512724,0.6950839479520932,0.04315392454274479,2.4725377457252975,4.015524186464562,,,-0.16576160470493018,,1.8734734228222578,4.0
strong_monsoon_start,Strong monsoon starts,base_plus_AT,Extended baseline + Antarctic T,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled,0.2,3175,95,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.32539531566306,822.6507906313261,822.6962738909597,871.1552939219405,94.99990921848045,1.2418213822587985,0.14960615624957552,-1.8926088629698665,-0.3594297331714995,-2.887663164134361,1.448860898058428,-0.804744505553187,0.02622846001317499,0.6973366894508344,0.6978297719135463,0.037594611811441296,2.154012589228261,4.037636693000085,-0.02911954961178671,,,,2.0068992946615936,5.0
strong_monsoon_start,Strong monsoon starts,all_without_AT,All extra except Antarctic T,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+obl_scaled+ecc_scaled+insol65N_scaled,0.2,3175,95,10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-402.9079516152293,825.8159032304586,825.8854354681324,886.4465323437265,94.99998488522462,1.304515168456991,0.14960627540980256,-1.8964223699648102,-0.37114426823715474,-2.841229930132146,1.465781543398447,-0.8204046922372579,0.013821904147336823,0.4909698679464475,0.49116438823026476,0.028144811470495804,1.6125789124507979,2.670668395456706,,-0.1305930148910634,-0.25869544580926157,1.0352727258831176,5.196060871834334,6.0
strong_monsoon_start,Strong monsoon starts,all_without_obl,All extra except obliquity,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+ecc_scaled+insol65N_scaled,0.2,3175,95,10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-402.91927509039294,825.8385501807859,825.9080824184597,886.4691792940538,94.9998522148469,1.3184720246846908,0.14960606648007382,-1.8945254921051915,-0.36999447222809667,-2.8263059805605675,1.491401143031969,-0.8114255543657961,0.007637023654714345,0.5370762312746296,0.5371305263438879,0.014218668678109087,0.8146697055505079,2.9278285899092595,0.05607597120271286,,-0.2253150419991184,0.8092342848487298,5.218707822161605,7.0
strong_monsoon_start,Strong monsoon starts,all_without_ecc,All extra except eccentricity,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+obl_scaled+insol65N_scaled,0.2,3175,95,10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.04166090056435,826.0833218011287,826.1528540388025,886.7139509143966,94.99981965576323,1.2883543950222072,0.14960601520592634,-1.8945696114890442,-0.3650790021686026,-2.81170249063273,1.6181665268073984,-0.7685905750091254,0.0033932399869292195,0.5636820663573858,0.5636922795378178,0.006019703663807605,0.34490361385561435,3.0875705721692897,0.03177379832183089,0.026745009644301505,,0.6790029933567834,5.463479442504422,8.0
strong_monsoon_start,Strong monsoon starts,all_without_insol65N,All extra except 65$^{\circ}$N insolation,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+obl_scaled+ecc_scaled,0.2,3175,95,10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.1061134326179,826.2122268652358,826.2817591029096,886.8428559785037,95.00003323862703,1.2979979859723447,0.14960635155689292,-1.8906990054711157,-0.36493895527494,-2.857419125749632,1.4456073006019152,-0.8272437819942097,0.01284510757963896,0.7033159112765535,0.70343320069748,0.018261608265468195,1.0463130807325474,4.083140412936181,0.037979475834237914,0.23456294338350225,-0.12898600747752895,,5.592384506611552,9.0
strong_monsoon_start,Strong monsoon starts,extended_all,Extended baseline + all extra forcings,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+obl_scaled+ecc_scaled+insol65N_scaled,0.2,3175,95,11,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-402.90373004817616,827.8074600963523,827.8909251611642,894.501152120947,94.99998235741862,1.3150923050301149,0.14960627142900565,-1.8961085478281177,-0.37067335679091357,-2.8300543855948534,1.478354901381589,-0.8104091001769149,0.01069664259924081,0.4882335131696074,0.48835067476643573,0.02190536156643481,1.2550847664647966,2.6556816122768976,0.047941544704420316,-0.1248154256959198,-0.2612027467377555,1.0386082244383514,7.201550564866125,10.0
