dataset_id,dataset_label,bin_start_ka,bin_end_ka,bin_center_ka,dt_ka,lr04,lr04_scaled,co2,co2_scaled,precession_index,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_sin,pre_phase_cos,event_count,n_events_total,source,cheng_local_resolution_ka,cheng_log_resolution,cheng_log_resolution_scaled,same_type_history_count,same_type_history_rate_per_kyr,same_type_history_window_ka,same_type_history_coverage_ka,same_type_history_complete,AT,AT_scaled,obl,obl_scaled,ecc,ecc_scaled,insol65N,insol65N_scaled
weak_monsoon_start,Weak monsoon starts,339.0,339.2,339.1,0.19999999999998863,4.438000000000004,0.1444995562880344,241.6484021945581,0.11703873564363486,-0.008866,114.44373238077104,1.3463968515384863,77.14285714285735,0.9749279121818244,0.22252093395631098,0,100,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,0.10450000000000159,-2.258568207577256,-0.03737627519281393,1.0,0.2,5.0,5.0,True,-7.585022614468543,-0.2243485423195391,0.414947,0.1827265818746555,0.028759,0.01706530964805036,510.5413024902341,0.13142306218342972
weak_monsoon_start,Weak monsoon starts,339.2,339.4,339.29999999999995,0.19999999999998863,4.473999999999991,0.16275513438133418,241.18490510904806,0.11311007767923105,-0.007219000000000469,114.50357224083939,1.4062367116068373,80.57142857142728,0.9864905939235178,0.16381791141515994,0,100,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,0.10450000000000159,-2.258568207577256,-0.03737627519281393,1.0,0.2,5.0,5.0,True,-7.655091371974195,-0.22959972498115,0.4144620000000001,0.17104912057882082,0.02864800000000003,0.014641834690625603,508.36664428710986,0.11352392188181326
weak_monsoon_start,Weak monsoon starts,339.4,339.6,339.5,0.20000000000004547,4.51,0.18101071247464476,240.72140802353778,0.10918141971482508,-0.005555,114.56341210090778,1.4660765716752309,83.99999999999966,0.9945218953682727,0.10452846326765941,0,100,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,0.10436057692307388,-2.259903290527722,-0.03762502626504459,1.0,0.2,5.0,5.0,True,-7.725160129479886,-0.23485090764276378,0.413969,0.15917904136469874,0.028529,0.01204369487140303,506.1919860839844,0.09562478158018649
weak_monsoon_start,Weak monsoon starts,339.6,339.8,339.70000000000005,0.19999999999998863,4.546000000000008,0.19926629056795533,240.25791093802752,0.10525276175041934,-0.0038839999999995246,114.62325196097618,1.5259164317436245,87.42857142857204,0.9989930665413151,0.044864830350504335,0,100,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,0.10450000000000159,-2.258568207577256,-0.03737627519281393,1.0,0.2,5.0,5.0,True,-7.795228886985577,-0.2401020903043776,0.4134669999999998,0.14709226699250869,0.028404999999999965,0.009336389513557657,504.0173278808589,0.07772564127855973
weak_monsoon_start,Weak monsoon starts,339.8,340.0,339.9,0.19999999999998863,4.581999999999995,0.2175218686612551,239.7944138525175,0.10132410378601553,-0.002212,114.68309182104453,1.5857562918119754,90.85714285714198,0.9998881018102737,-0.014959407015248163,0,100,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,0.10422596153845419,-2.2611940296550093,-0.0378655152487222,1.0,0.2,5.0,5.0,True,-7.865297644491229,-0.2453532729659885,0.412957,0.13481287470204598,0.028278,0.006563584832540148,501.84266967773465,0.05982650097694326
weak_monsoon_start,Weak monsoon starts,340.0,340.2,340.1,0.19999999999998863,4.624000000000005,0.23882004310345062,238.76533233935535,0.09260148306391025,-0.000546,114.74293168111292,1.645596151880369,94.28571428571435,0.99720379718118,-0.07473009358642538,0,100,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,0.10450000000000159,-2.258568207577256,-0.03737627519281393,1.0,0.2,5.0,5.0,True,-7.89522964091007,-0.24759647501804913,0.412439,0.12234086449329586,0.028151,0.003790780151521805,499.68674316406225,0.0420815371510153
weak_monsoon_start,Weak monsoon starts,340.2,340.4,340.29999999999995,0.19999999999998863,4.671999999999989,0.26316081389451756,237.32761351988276,0.08041520257310866,0.001107999999999531,114.80277154118127,1.70543601194872,97.71428571428429,0.9909497617679381,-0.13423326581763076,0,100,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,0.10450000000000159,-2.258568207577256,-0.03737627519281393,1.0,0.2,5.0,5.0,True,-7.885024876242068,-0.24683169646055705,0.41191500000000014,0.10972439084583821,0.028026000000000034,0.0010616416859533715,497.54954833984425,0.024490749800796897
weak_monsoon_start,Weak monsoon starts,340.4,340.6,340.5,0.20000000000004547,4.72,0.28750158468559806,235.88989470040934,0.0682289220823001,0.002746,114.86261140124967,1.7652758720171136,101.14285714285667,0.9811483833941742,-0.19325591779554507,0,100,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,0.10414903846152845,-2.26193234356426,-0.03800307702082397,1.0,0.2,5.0,5.0,True,-7.874820111574059,-0.2460669179030645,0.411385,0.09696345375966237,0.027903,-0.0016238305641674267,495.412353515625,0.006899962450568203
weak_monsoon_start,Weak monsoon starts,340.6,340.8,340.70000000000005,0.19999999999998863,4.7680000000000105,0.31184235547667855,234.45217588093593,0.05604264159149151,0.004361000000000454,114.92245126131806,1.8251157320855071,104.57142857142905,0.9678347484506644,-0.25158676374451644,0,100,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,0.10450000000000159,-2.258568207577256,-0.03737627519281393,1.0,0.2,5.0,5.0,True,-7.86461534690605,-0.24530213934557196,0.4108479999999998,0.08403397599498906,0.027781999999999966,-0.00426563659883915,493.27515869140575,-0.01069082489966049
weak_monsoon_start,Weak monsoon starts,340.8,341.0,340.9,0.19999999999998863,4.8159999999999945,0.3361831262677455,235.47510503384333,0.06471311415588392,0.005949,114.98229112138641,1.884955592153858,107.99999999999898,0.9510565162951591,-0.30901699437493046,0,100,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,0.09938421052633492,-2.3087620257608528,-0.04672832787850289,1.0,0.2,5.0,5.0,True,-7.854410582238048,-0.2445373607880799,0.410307,0.07100818927118276,0.027664,-0.006841943310335708,491.13796386718775,-0.02828161224987889
