ks_window_id,ks_window_label,ks_window_kyr,dataset_id,dataset_label,model_id,model_label,terms,bin_width_ka,n_bins,n_events,n_parameters,converged,optimizer_message,log_likelihood,AIC,AICc,BIC,expected_events,max_fitted_rate_per_kyr,mean_fitted_rate_per_kyr,beta_intercept,beta_lr04_scaled,beta_co2_scaled,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_amplitude,pre_phase_preferred_rad,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,delta_AICc,rank_AICc
ks_0p4_4kyr,KS 0.4-4 kyr,0.4-4,weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,pre_phase_sin+pre_phase_cos,0.2,3200,100,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-441.04337661984033,888.0867532396807,888.0942626264141,906.2994715060441,99.99994307282158,0.2375213372503959,0.15624991105128372,-1.9169807563053542,,,-0.35147000950033086,-0.3261484589560766,0.4794830391761384,3.9643418858294703,227.14005860496232,2.608997579364884,18.643498367349252,7.0
ks_0p4_4kyr,KS 0.4-4 kyr,0.4-4,weak_monsoon_start,Weak monsoon starts,stationary,Stationary,none,0.2,3200,100,1,True,analytic stationary MLE,-446.5735902799727,895.1471805599454,895.1484313416839,901.2180866487332,100.0,0.15625,0.15625,-1.8562979903656263,,,,,,,,,25.69766708261909,8.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,strong_monsoon_start,Strong monsoon starts,lr04_pre_phase,LR04 + precession phase,lr04_scaled+pre_phase_sin+pre_phase_cos,0.2,3200,87,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-388.1384446806052,784.2768893612104,784.2894089230257,808.5605137163616,87.00000424283013,0.411294990230956,0.13593750662942206,-2.1434875956970556,1.6370438200376876,,0.12247138686853444,0.6210034129175745,0.6329648327172512,0.19471655479084313,11.156436790843161,3.5463881585397954,0.0,1.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,strong_monsoon_start,Strong monsoon starts,climate_lr04_co2_pre_phase,LR04 + CO2 + precession phase,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3200,87,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-388.13517300472245,786.2703460094449,786.2891312317367,816.624876453384,86.99994212147836,0.4218446397319713,0.13593740956480993,-2.143247882137603,1.6832265521516494,0.06457876209715388,0.12138112276271988,0.6206672488682425,0.6324248657198824,0.19312803809625018,11.065421488556913,3.542560360665395,1.999722308711057,2.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,strong_monsoon_start,Strong monsoon starts,co2_pre_phase,CO2 + precession phase,co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3200,87,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-390.38021253316015,788.7604250663203,788.7729446281356,813.0440494214715,87.000006602762,0.34001619645326453,0.1359375103168156,-2.114196834602868,,-1.2782993713284716,0.17140816883907603,0.590868558700344,0.615228749332626,0.2823452909218176,16.177193535213544,3.4227951023309267,4.483535705109944,3.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,strong_monsoon_start,Strong monsoon starts,pre_phase,Precession phase,pre_phase_sin+pre_phase_cos,0.2,3200,87,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-393.36366875470327,792.7273375094065,792.73484689614,810.94005577577,87.00000074276895,0.22689383540806515,0.13593750116057648,-2.076978336844131,,,0.21428637156850017,0.5536856014730481,0.5937056461905718,0.369265268929993,21.15734143045193,3.2785829197546046,8.44543797311428,4.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,strong_monsoon_start,Strong monsoon starts,lr04,LR04,lr04_scaled,0.2,3200,87,2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-396.2624257672376,796.5248515344751,796.5286050533991,808.6666637120508,87.00000212436613,0.2503345122956327,0.13593750331932208,-2.047465227635865,1.4094195086943937,,,,,,,,12.239196130373443,5.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,strong_monsoon_start,Strong monsoon starts,climate_lr04_co2,LR04 + CO2,lr04_scaled+co2_scaled,0.2,3200,87,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-396.23845435573884,798.4769087114777,798.4844180982111,816.6896269778412,86.99999887595368,0.2630480030389119,0.13593749824367765,-2.0473857471639447,1.5443140858584619,0.18464474749609888,,,,,,,14.195009175185419,6.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,strong_monsoon_start,Strong monsoon starts,co2,CO2,co2_scaled,0.2,3200,87,2,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-398.0789654245881,800.1579308491762,800.1616843681002,812.2997430267518,87.0000030237116,0.20921530880507805,0.13593750472454938,-2.0259778123185326,,-1.152268159169376,,,,,,,15.872275445074479,7.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,strong_monsoon_start,Strong monsoon starts,stationary,Stationary,none,0.2,3200,87,1,True,analytic stationary MLE,-400.634823401593,803.269646803186,803.2708975849246,809.3405528919739,87.0,0.1359375,0.13593750000000004,-1.995560057699134,,,,,,,,,18.98148866189888,8.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,weak_monsoon_start,Weak monsoon starts,co2_pre_phase,CO2 + precession phase,co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3200,90,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-397.9888954229516,803.9777908459032,803.9903104077185,828.2614152010544,90.0000174187072,0.44699584875771614,0.14062502721673,-2.118909075645475,,-1.9122488210337625,-0.4598663336648184,-0.32112374092839174,0.5608899195262533,4.10280621167348,235.07348008894826,3.0703140078396283,0.0,1.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,weak_monsoon_start,Weak monsoon starts,climate_lr04_co2_pre_phase,LR04 + CO2 + precession phase,lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3200,90,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-397.87349234169,805.74698468338,805.7657699056718,836.1015151273191,90.00000595883205,0.43997316023412003,0.14062500931067506,-2.1186285016869,0.43265247990991573,-1.5160851796471464,-0.46869361214101474,-0.3116974785387896,0.5628756702765106,4.125517106109681,236.37471848910974,3.082532010377157,1.7754594979533067,2.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,weak_monsoon_start,Weak monsoon starts,lr04_pre_phase,LR04 + precession phase,lr04_scaled+pre_phase_sin+pre_phase_cos,0.2,3200,90,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-399.14875508358955,806.2975101671791,806.3100297289944,830.5811345223303,89.99998826032245,0.4214142129039577,0.14062498165675386,-2.101799701228899,1.5968273610157204,,-0.49175131587941107,-0.30300434932986225,0.5776079919650917,4.160161679938762,238.35970635254543,3.174709029617744,2.3197193212758975,3.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,weak_monsoon_start,Weak monsoon starts,co2,CO2,co2_scaled,0.2,3200,90,2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-404.74270107371143,813.4854021474229,813.4891556663468,825.6272143249985,90.00000435361683,0.27570507473235845,0.14062500680252632,-2.0405934175373663,,-1.877657806136471,,,,,,,9.498845258628307,4.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,weak_monsoon_start,Weak monsoon starts,climate_lr04_co2,LR04 + CO2,lr04_scaled+co2_scaled,0.2,3200,90,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-404.672288833038,815.344577666076,815.3520870528095,833.5572959324395,89.99999668874545,0.2741106135589552,0.14062499482616478,-2.0415098236085534,0.3187616153252519,-1.5975517740633167,,,,,,,11.361776645090913,5.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,pre_phase_sin+pre_phase_cos,0.2,3200,90,3,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-405.07033545815875,816.1406709163175,816.1481803030509,834.353389182681,89.99999570403628,0.22429021628157733,0.14062499328755668,-2.0388433499052407,,,-0.40541184513772327,-0.3627792724124315,0.5440290108717242,3.9824312974113103,228.1765055424768,2.968503701765906,12.157869895332396,6.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,weak_monsoon_start,Weak monsoon starts,lr04,LR04,lr04_scaled,0.2,3200,90,2,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-406.30011371488166,816.6002274297633,816.6039809486873,828.7420396073389,89.99999746039103,0.2684095592375417,0.140624996031861,-2.02032912559853,1.5000038682317658,,,,,,,,12.61367054096877,7.0
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,weak_monsoon_start,Weak monsoon starts,stationary,Stationary,none,0.2,3200,90,1,True,analytic stationary MLE,-411.39867766118,824.79735532236,824.7986061040986,830.8682614111478,90.0,0.140625,0.140625,-1.9616585060234524,,,,,,,,,20.808295696380014,8.0
