dataset_id,dataset_label,event_index,event_age_ka,analysis_start_ka,analysis_end_ka,source_event_id,cheng_event_age_ka,ch4_event_age_ka,event_label,source
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,33,149.05,0.0,640.0,33,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,34,151.75,0.0,640.0,34,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,35,157.05,0.0,640.0,35,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,36,158.15,0.0,640.0,36,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,37,160.5,0.0,640.0,37,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,38,163.8,0.0,640.0,38,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,39,168.75,0.0,640.0,39,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,40,169.55,0.0,640.0,40,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,41,173.15,0.0,640.0,41,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,42,176.25,0.0,640.0,42,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,43,177.95,0.0,640.0,43,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,44,182.55,0.0,640.0,44,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,45,190.65,0.0,640.0,45,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,46,192.75,0.0,640.0,46,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,47,198.95,0.0,640.0,47,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,48,219.05,0.0,640.0,48,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,49,225.2,0.0,640.0,49,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,50,230.75,0.0,640.0,50,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,51,241.65,0.0,640.0,51,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,52,248.25,0.0,640.0,52,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,53,251.15,0.0,640.0,53,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,54,258.75,0.0,640.0,54,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,55,264.0,0.0,640.0,55,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,56,272.85,0.0,640.0,56,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,57,293.9,0.0,640.0,57,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,58,315.45,0.0,640.0,58,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,59,316.35,0.0,640.0,59,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,60,332.45,0.0,640.0,60,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,61,334.05,0.0,640.0,61,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,62,337.35,0.0,640.0,62,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,63,351.45,0.0,640.0,63,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,64,365.65,0.0,640.0,64,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,65,368.1,0.0,640.0,65,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,66,370.75,0.0,640.0,66,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,67,375.95,0.0,640.0,67,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,68,377.45,0.0,640.0,68,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,69,390.8,0.0,640.0,69,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,70,393.6,0.0,640.0,70,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,71,412.25,0.0,640.0,71,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,72,426.05,0.0,640.0,72,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,73,447.4,0.0,640.0,73,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,74,449.45,0.0,640.0,74,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,75,458.9,0.0,640.0,75,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,76,463.15,0.0,640.0,76,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,77,465.95,0.0,640.0,77,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,78,472.75,0.0,640.0,78,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,79,483.65,0.0,640.0,79,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,80,504.15,0.0,640.0,80,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,81,531.75,0.0,640.0,81,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,82,548.25,0.0,640.0,82,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,83,553.55,0.0,640.0,83,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,84,555.65,0.0,640.0,84,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,85,559.15,0.0,640.0,85,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,86,561.25,0.0,640.0,86,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,87,562.25,0.0,640.0,87,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,88,580.3,0.0,640.0,88,,,,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
