dataset_id,dataset_label,source,analysis_start_ka,analysis_end_ka,duration_ka,n_events,rate_per_kyr_from_event_count,expected_events_per_20kyr,lohmann_event_count_ES,lohmann_poisson_ES_p_value,conditional_fixed_n_ES_p_value,reject_poisson_ES_at_0p05,reject_fixed_n_ES_at_0p05
rousseau2023_strong_monsoon_starts,Rousseau 2023 strong monsoon starts,data/raw/rousseau_2023_strong_monsoon_start_times.csv,0.0,640.0,640.0,96,0.15,3.0,2.0102125586107844,0.08318336332733453,0.04519096180763847,False,True
rousseau2023_weak_monsoon_starts,Rousseau 2023 weak monsoon starts,data/raw/rousseau_2023_weak_monsoon_start_times.csv,0.0,640.0,640.0,94,0.146875,2.9375,2.1885109609359352,0.012997400519896021,0.004399120175964807,True,True
