bin_center_ka,cheng_local_resolution_ka,cheng_log_resolution,cheng_log_resolution_scaled
0.1,0.10577505709780723,-2.2464405425717815,-0.035116663029604346
0.30000000000000004,0.1398625744478507,-1.9670949495552892,0.01693067662185526
0.5,0.012162999999999981,-4.409356722345839,-0.4381086409259285
0.7,0.014617499999999983,-4.22553583791445,-0.4038593517077973
0.9,0.054523680704063174,-2.9091201633529136,-0.1585863441885254
1.1,0.020785499999999974,-3.8734996507573958,-0.3382683867503289
1.2999999999999998,0.028360223901119305,-3.5627676823874816,-0.28037317486001384
1.5,0.07721488531702853,-2.561163025550411,-0.09375538286998632
1.7000000000000002,0.08729499999999994,-2.4384620915454,-0.07089389034114908
1.9,0.14844943748210093,-1.907510867054718,0.028032312220397617
2.1,0.01920541069879029,-3.952563232419939,-0.3529994195345416
2.3,0.019590999999999956,-3.9326850018762443,-0.349295731190632
2.5,0.07362751224566551,-2.6087365154103206,-0.10261921908951024
2.7,0.02569600000000013,-3.661419941217781,-0.29875394674647476
2.9,0.06423999999999987,-2.745129209343633,-0.12803174409292267
3.1,0.06420357409713583,-2.74569639854086,-0.1281374221115946
3.3,0.10617340163707291,-2.2426816569382826,-0.03441631191554127
3.5,0.10332659534259941,-2.269860478659023,-0.039480237750742594
3.7,0.017982500000000012,-4.018356216222762,-0.36525789026139627
3.9,0.017982500000000012,-4.018356216222762,-0.36525789026139627
4.1,0.04928360257631983,-3.0101638582015875,-0.17741268559823895
4.300000000000001,0.031930394202697186,-3.4441969264908416,-0.2582812122188907
4.5,0.03236850000000002,-3.430569551320643,-0.25574217583609976
4.699999999999999,0.050755000000000106,-2.9807451437457404,-0.17193142560462815
4.9,0.05075499999999966,-2.9807451437457493,-0.17193142560462982
5.1,0.025377500000000275,-3.673892324305677,-0.30107778637404503
5.300000000000001,0.012857250000000153,-4.353847424408562,-0.4277662143554654
5.5,0.006476499999999893,-5.03957503799398,-0.5555301702040832
5.699999999999999,0.025905999999999985,-3.6532806768740733,-0.2972374486652433
5.9,0.04370099999999999,-3.130384293847217,-0.1998120146140545
6.1,0.043701000000000115,-3.130384293847214,-0.19981201461405393
6.300000000000001,0.04085914888080328,-3.1976245199416895,-0.21234013380859404
6.5,0.03260899999999998,-3.4231669550911534,-0.25436293288439116
6.699999999999999,0.04196300000000037,-3.1709670013463076,-0.20737333655356438
6.9,0.04196299999999983,-3.1709670013463205,-0.2073733365535668
7.1,0.03199886499999963,-3.442054845561453,-0.2578821022401404
7.300000000000001,0.03341700000000003,-3.3986905264509737,-0.2498025137235457
7.5,0.062189473490073165,-2.7775695300531154,-0.13407598618078345
7.699999999999999,0.03418507337172915,-3.3759661813051203,-0.24556854068179665
7.9,0.055353627027027126,-2.894013093030839,-0.15577161275961374
8.1,0.052134556657021915,-2.9539272745261975,-0.16693475201144364
8.3,0.030235373973165135,-3.498742716450864,-0.2684441191255297
8.5,0.026794999999999902,-3.6195399760353273,-0.29095092129364875
8.7,0.02679500000000079,-3.619539976035294,-0.29095092129364253
8.9,0.07425087059080533,-2.6003057762393755,-0.10104841376408978
9.1,0.02193309747756061,-3.8197584826795,-0.328255396038672
9.3,0.0291333333466821,-3.5358722845305612,-0.2753620562230442
9.5,0.029133333499999914,-3.5358722792679362,-0.27536205524251817
9.7,0.028999999999999915,-3.540459448995666,-0.27621673126686463
9.9,0.028999999999999915,-3.540459448995666,-0.27621673126686463
10.1,0.01826087,-4.002994759824349,-0.36239576192038436
10.3,0.01826087000000004,-4.002994759824347,-0.36239576192038386
10.5,0.018961540000000277,-3.965342561825015,-0.35538044903596144
10.7,0.01896153510142096,-3.965342820167953,-0.3553804971701112
10.9,0.019082208284519335,-3.9589988814767882,-0.35419850203562
11.1,0.019120000000000026,-3.9570203713588805,-0.35382986837650754
11.3,0.019120000000000026,-3.9570203713588805,-0.35382986837650754
11.5,0.01886814366542459,-3.9702802993520634,-0.35630044243698444
11.7,0.011261363636363203,-4.486377559130394,-0.4524590719066982
11.9,0.03395522388059712,-3.382712566988049,-0.24682551926258425
12.1,0.03309090909090887,-3.4084966841437736,-0.25162958539702934
12.3,0.03778378378378403,-3.2758752688325994,-0.22691972055462806
12.5,0.024927884615384248,-3.691768238019842,-0.30440840542056213
12.7,0.016911764705882622,-4.079745762800932,-0.3766959177860132
12.9,0.011500000000000577,-4.465408243612883,-0.44855209390424206
13.1,0.01795833333333323,-4.019701019226341,-0.3655084523623972
