history_window_ka,dataset_id,dataset_label,model_id,model_label,terms,bin_width_ka,n_bins,n_events,n_parameters,converged,optimizer_message,log_likelihood,AIC,AICc,BIC,expected_events,max_fitted_rate_per_kyr,mean_fitted_rate_per_kyr,beta_intercept,beta_same_type_history_count,beta_cheng_log_resolution_scaled,beta_lr04_scaled,beta_co2_scaled,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_amplitude,pre_phase_preferred_rad,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,delta_AICc,rank_AICc
1.0,strong_monsoon_start,Strong monsoon starts,baseline_lr04_pre_phase,Baseline + LR04 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+pre_phase_sin+pre_phase_cos,0.2,3195,96,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-405.0915231285472,822.1830462570944,822.2093950651245,858.5991004579641,96.00000563397367,1.1301170306335846,0.15023475060089775,-2.0289116660418207,-1.0871957962858518,-2.693309852072345,1.9254997410003567,,0.08330976381511575,0.64934329430859,0.6546657396033967,0.12760140868721703,7.311022177701495,3.703696886017501,0.0,1.0
1.0,strong_monsoon_start,Strong monsoon starts,baseline_climate_lr04_co2_pre_phase,Baseline + LR04 + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3195,96,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-404.991262012652,823.982524025304,824.017666792797,866.4679205929854,95.99994366897681,1.0699487453518608,0.15023465362907165,-2.0295776760014275,-1.0893848602873781,-2.7099749579288686,1.6497610173722754,-0.3546493064683596,0.09266926960415996,0.650132545774006,0.656703830203204,0.14158530092056001,8.112240183837818,3.71882463641329,1.8082717276724907,2.0
1.0,strong_monsoon_start,Strong monsoon starts,baseline_co2_pre_phase,Baseline + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3195,96,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-407.0817471123071,826.1634942246142,826.1898430326443,862.579548425484,95.99995217450831,0.838677304520989,0.15023466693976256,-2.0075843569031457,-1.064765840163803,-2.7205813464008743,,-1.7237869534115107,0.15920308771666208,0.6107245271007242,0.6311339565741352,0.25500400333735307,14.61065315017029,3.533425910346986,3.980447967519808,3.0
1.0,strong_monsoon_start,Strong monsoon starts,baseline_lr04,Baseline + LR04,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled,0.2,3195,96,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-414.48075195769184,836.9615039153837,836.9740431003366,861.2388733826302,95.99999462108649,0.9783963002492265,0.1502347333663325,-1.9497507653895658,-0.9099197275718363,-2.596395378217449,1.5960449135736072,,,,,,,,14.76464803521219,4.0
1.0,strong_monsoon_start,Strong monsoon starts,baseline_pre_phase,Baseline + precession phase,same_type_history_count+cheng_log_resolution_scaled+pre_phase_sin+pre_phase_cos,0.2,3195,96,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-413.6277132467208,837.2554264934416,837.2742411688885,867.6021383274998,96.0000135346975,0.8302488934971055,0.1502347629650978,-1.947825266684824,-0.9744495190928982,-2.302662113641437,,,0.23389840453482233,0.5408067040361272,0.5892201242102604,0.40820525442510597,23.388438253622542,3.2493021441905667,15.064846103764012,5.0
1.0,strong_monsoon_start,Strong monsoon starts,baseline_climate_lr04_co2,Baseline + LR04 + CO2,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3195,96,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-414.42284682383513,838.8456936476703,838.8645083231171,869.1924054817284,95.99998623999184,0.9858362128447009,0.15023472025037843,-1.9495068364925867,-0.91304037110999,-2.6093552216498277,1.3765933471266512,-0.28215223396609634,,,,,,,16.65511325799264,6.0
1.0,strong_monsoon_start,Strong monsoon starts,baseline_co2,Baseline + CO2,same_type_history_count+cheng_log_resolution_scaled+co2_scaled,0.2,3195,96,4,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-415.89172572836895,839.7834514567379,839.7959906416909,864.0608209239845,96.00000098238196,0.8568341576298057,0.1502347433214115,-1.936301570421826,-0.903908336039772,-2.635511134762518,,-1.5199963694961194,,,,,,,17.586595576566424,7.0
1.0,strong_monsoon_start,Strong monsoon starts,history_resolution_baseline,History + resolution,same_type_history_count+cheng_log_resolution_scaled,0.2,3195,96,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-421.4468452955077,848.8936905910155,848.901211744259,867.1017176914504,96.00000816575802,0.5526312104546894,0.1502347545630016,-1.8934486338671086,-0.8025473027669237,-2.2934455676079986,,,,,,,,,26.69181667913449,8.0
1.0,strong_monsoon_start,Strong monsoon starts,stationary,Stationary,none,0.2,3195,96,1,True,analytic stationary MLE,-432.4794408330055,866.958881666011,866.9601344063806,873.0282240328227,96.0,0.15023474178403756,0.15023474178403753,-1.8955562629096985,,,,,,,,,,,44.75073934125612,9.0
1.0,weak_monsoon_start,Weak monsoon starts,baseline_co2_pre_phase,Baseline + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3195,99,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-414.8020911855986,841.6041823711972,841.6305311792273,878.020236572067,98.99998037216687,1.2299116419732545,0.15492954674830492,-1.9807706962513048,-1.0825849719508804,-2.2577647304927857,,-2.4993017462682667,-0.4580328863234149,-0.301070258218187,0.5481217249273413,4.130891063541718,236.6826235692484,2.992901894013391,0.0,1.0
