dataset_id,dataset_label,model_id,model_label,terms,bin_width_ka,n_bins,n_events,n_parameters,converged,optimizer_message,log_likelihood,AIC,AICc,BIC,expected_events,max_fitted_rate_per_kyr,mean_fitted_rate_per_kyr,beta_intercept,beta_same_type_history_count,beta_cheng_log_resolution_scaled,beta_lr04_scaled,beta_co2_scaled,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_amplitude,pre_phase_preferred_rad,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,delta_AICc,rank_AICc
strong_monsoon_start,Strong monsoon starts,baseline_lr04_pre_phase,Baseline + LR04 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,95,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.800746920674,819.601493841348,819.6280089928631,855.9798713093087,95.0000677294175,1.309369444861594,0.14960640587309837,-1.9133615151176675,-0.32478971657288175,-2.800980747283226,2.0398925855393277,,0.016517606985598694,0.6840828452530645,0.6842822301580386,0.024140932987298108,1.3831735736803281,3.929705396371887,0.0,1.0
strong_monsoon_start,Strong monsoon starts,baseline_climate_lr04_co2_pre_phase,Baseline + LR04 + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,95,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.33031838561413,820.6606367712283,820.696001469681,863.1020771505158,95.0000523801815,1.2483676932130638,0.14960638170107318,-1.8925547461884034,-0.3587979045796117,-2.881465642972416,1.4561999314982492,-0.7967732428881448,0.02578575133795464,0.6956893504573874,0.696167061352291,0.0370480771973746,2.122698462484428,4.024232150882664,1.067992476817949,2.0
strong_monsoon_start,Strong monsoon starts,baseline_co2_pre_phase,Baseline + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,95,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-404.95319266252136,821.9063853250427,821.9329004765578,858.2847627930034,95.00001917861158,1.0574039631480159,0.14960632941513632,-1.868109926589629,-0.36989283960541786,-2.9401885162136994,,-2.028674299787043,0.08000631900825421,0.6677009308738422,0.6724771699998788,0.11925501135474705,6.832808836411716,3.838011293002504,2.304891483694746,3.0
strong_monsoon_start,Strong monsoon starts,baseline_lr04,Baseline + LR04,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled,0.2,3175,95,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-413.3907867886945,834.781573577389,834.794191873919,859.0338252226962,94.9999516621132,0.9545283873037586,0.14960622308994204,-1.928394095564778,-0.1700435884208027,-2.6301263759860096,1.6194375514660422,,,,,,,,15.166182881055875,4.0
strong_monsoon_start,Strong monsoon starts,baseline_pre_phase,Baseline + precession phase,same_type_history_count+cheng_log_resolution_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,95,5,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-412.77164488714953,835.5432897742991,835.562223191781,865.8586043309331,95.00002956521021,0.7018808078797094,0.1496063457719846,-1.933909585018653,-0.17577132055580164,-2.3042080272446217,,,0.20651552664367379,0.546813412826652,0.5845113952627822,0.36111024321600205,20.690092875219584,3.218845614696755,15.934214198917857,5.0
strong_monsoon_start,Strong monsoon starts,baseline_climate_lr04_co2,Baseline + LR04 + CO2,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled,0.2,3175,95,5,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,-413.2022051300916,836.4044102601832,836.4233436776651,866.7197248168172,94.99999192658598,0.9804784200085662,0.14960628649856056,-1.9125667769007146,-0.19264215991037165,-2.6812572059048816,1.2205319038823337,-0.532516356836607,,,,,,,16.795334684802015,6.0
strong_monsoon_start,Strong monsoon starts,baseline_co2,Baseline + CO2,same_type_history_count+cheng_log_resolution_scaled+co2_scaled,0.2,3175,95,4,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-414.3227942206423,836.6455884412846,836.6582067378146,860.8978400865918,94.99997341642771,0.9113590977681837,0.14960625734870503,-1.8850038783154601,-0.21674144133201098,-2.7517154961606245,,-1.656465973978638,,,,,,,17.030197744951465,7.0
strong_monsoon_start,Strong monsoon starts,history_resolution_baseline,History + resolution,same_type_history_count+cheng_log_resolution_scaled,0.2,3175,95,3,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-420.0686930464143,846.1373860928286,846.1449546831786,864.326574826809,94.99999809900181,0.5016389296695686,0.14960629621890048,-1.9426734714829952,-0.06333459753612819,-2.255140867203926,,,,,,,,,26.516945690315538,8.0
strong_monsoon_start,Strong monsoon starts,stationary,Stationary,none,0.2,3175,95,1,True,analytic stationary MLE,-428.3726718739949,858.7453437479898,858.7466043846113,864.8084066593166,95.0,0.14960629921259844,0.14960629921259844,-1.8997481072921507,,,,,,,,,,,39.11859539174816,9.0
weak_monsoon_start,Weak monsoon starts,baseline_co2_pre_phase,Baseline + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,98,6,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-414.70514819694523,841.4102963938905,841.4368115454056,877.7886738618512,97.9999636897927,1.1351754099909077,0.15433065147998845,-1.9047346976511161,-0.27027832266092733,-2.389570582115128,,-2.78070348115486,-0.453505599602223,-0.36221812979969564,0.5804044300538729,4.0384369059886716,231.3853905430213,3.1925145296853925,0.0,1.0
weak_monsoon_start,Weak monsoon starts,baseline_climate_lr04_co2_pre_phase,Baseline + LR04 + CO2 + precession phase,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,98,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-414.61120488311644,843.2224097662329,843.2577744646857,885.6638501455204,98.0000139997791,1.1031695827943888,0.1543307307083135,-1.9047484472450034,-0.26904439160105087,-2.378149156284019,0.39062861339141863,-2.41942520380602,-0.46470239990959944,-0.3524140632923288,0.5832186489541902,4.063555693976464,232.8245910812057,3.2105340624826137,1.8209629192800776,2.0
