ks_window_id,ks_window_label,ks_window_kyr,event_type,event_label,source,analysis_start_ka,analysis_end_ka,duration_ka,n_events,rate_per_kyr_from_event_count,expected_events_per_20kyr,lohmann_event_count_ES,lohmann_poisson_ES_p_value,conditional_fixed_n_ES_p_value,reject_poisson_ES_at_0p05,reject_fixed_n_ES_at_0p05,n_monte_carlo,event_count_window_ka,time_grid_step_ka,random_seed
ks_0p4_4kyr,KS 0.4-4 kyr,0.4-4,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,0.0,640.0,640.0,96,0.15,3.0,2.0102125586107844,0.08318336332733453,0.04879024195160968,False,True,5000,20.0,0.2,20260529
ks_0p4_4kyr,KS 0.4-4 kyr,0.4-4,weak_monsoon_start,Weak monsoon starts,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,0.0,640.0,640.0,100,0.15625,3.125,2.1914717823966967,0.028194361127774445,0.008198360327934412,True,True,5000,20.0,0.2,20260639
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,strong_monsoon_start,Strong monsoon starts,data/raw/rousseau_2023_ks_0p6_4kyr_strong_monsoon_start_times.csv,0.0,640.0,640.0,87,0.1359375,2.71875,1.6446971401397217,0.46030793841231754,0.41351729654069186,False,False,5000,20.0,0.2,20270529
ks_0p6_4kyr,KS 0.6-4 kyr,0.6-4,weak_monsoon_start,Weak monsoon starts,data/raw/rousseau_2023_ks_0p6_4kyr_weak_monsoon_start_times.csv,0.0,640.0,640.0,90,0.140625,2.8125,1.8050566340679843,0.21695660867826436,0.16656668666266747,False,False,5000,20.0,0.2,20270639
