order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table,event_age_ka,event_index,event_type,event_label,ks_window_id,ks_window_label,source
84,555.65,555.65,strong_monsoon_start,0.4-4,common_same_date,555.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,178,555.65,84,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
85,559.15,559.15,strong_monsoon_start,0.4-4,common_same_date,559.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,180,559.15,85,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
86,561.25,561.25,strong_monsoon_start,0.4-4,common_same_date,561.25,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,182,561.25,86,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
87,562.25,562.25,strong_monsoon_start,0.4-4,common_same_date,562.25,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,183,562.25,87,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
88,580.3,580.3,strong_monsoon_start,0.4-4,common_same_date,580.3,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,185,580.3,88,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
89,582.95,582.95,strong_monsoon_start,0.4-4,common_same_date,582.95,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,186,582.95,89,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
90,593.9,593.9,strong_monsoon_start,0.4-4,common_same_date,593.9,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,188,593.9,90,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
91,604.0,604.0,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,8,191,604.0,91,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
92,625.65,625.65,strong_monsoon_start,0.4-4,common_same_date,625.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,193,625.65,92,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
93,627.55,627.55,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,627.4,0.15,Rousseau et al. 2023 Scientific Reports Table 1,8,194,627.55,93,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
94,630.1,630.1,strong_monsoon_start,0.4-4,common_same_date,630.1,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,196,630.1,94,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
95,633.3,633.3,strong_monsoon_start,0.4-4,common_same_date,633.3,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,198,633.3,95,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
96,638.1,638.1,strong_monsoon_start,0.4-4,common_same_date,638.1,0.0,Rousseau et al. 2023 Scientific Reports Table 1,8,201,638.1,96,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
1,3.5,3.5,weak_monsoon_start,0.4-4,common_same_date,3.5,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,1,3.5,1,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
2,12.779,12.779,weak_monsoon_start,0.4-4,common_same_date,12.779,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,4,12.779,2,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
3,17.835,17.835,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,6,17.835,3,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
4,24.59,24.59,weak_monsoon_start,0.4-4,common_same_date,24.59,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,8,24.59,4,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
5,26.65,26.65,weak_monsoon_start,0.4-4,common_same_date,26.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,9,26.65,5,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
6,27.555,27.555,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,10,27.555,6,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
7,28.715,28.715,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,28.625,0.09,Rousseau et al. 2023 Scientific Reports Table 1,5,12,28.715,7,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
8,30.42,30.42,weak_monsoon_start,0.4-4,common_same_date,30.42,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,14,30.42,8,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
9,31.975,31.975,weak_monsoon_start,0.4-4,common_same_date,31.975,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,15,31.975,9,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
10,33.42,33.42,weak_monsoon_start,0.4-4,common_same_date,33.42,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,17,33.42,10,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
11,34.75,34.75,weak_monsoon_start,0.4-4,common_same_date,34.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,19,34.75,11,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
12,36.75,36.75,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,36.605,0.145,Rousseau et al. 2023 Scientific Reports Table 1,5,21,36.75,12,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
13,39.955,39.955,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,39.99,-0.035,Rousseau et al. 2023 Scientific Reports Table 1,5,23,39.955,13,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
14,42.475,42.475,weak_monsoon_start,0.4-4,common_same_date,42.475,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,25,42.475,14,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
15,44.485,44.485,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,44.44,0.045,Rousseau et al. 2023 Scientific Reports Table 1,5,27,44.485,15,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
16,45.73,45.73,weak_monsoon_start,0.4-4,common_same_date,45.73,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,28,45.73,16,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
17,48.47,48.47,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,48.86,-0.39,Rousseau et al. 2023 Scientific Reports Table 1,5,30,48.47,17,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
18,48.92,48.92,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,31,48.92,18,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
19,55.23,55.23,weak_monsoon_start,0.4-4,common_same_date,55.23,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,35,55.23,19,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
20,56.32,56.32,weak_monsoon_start,0.4-4,common_same_date,56.32,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,37,56.32,20,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
21,68.655,68.655,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,41,68.655,21,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
22,69.575,69.575,weak_monsoon_start,0.4-4,common_same_date,69.575,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,43,69.575,22,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
23,70.155,70.155,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,44,70.155,23,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
24,73.4,73.4,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,73.35,0.05,Rousseau et al. 2023 Scientific Reports Table 1,5,46,73.4,24,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
25,77.51,77.51,weak_monsoon_start,0.4-4,common_same_date,77.51,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,49,77.51,25,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
26,88.425,88.425,weak_monsoon_start,0.4-4,common_same_date,88.425,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,53,88.425,26,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
27,98.65,98.65,weak_monsoon_start,0.4-4,common_same_date,98.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,55,98.65,27,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
28,100.35,100.35,weak_monsoon_start,0.4-4,common_same_date,100.35,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,56,100.35,28,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
29,105.75,105.75,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,58,105.75,29,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
30,106.35,106.35,weak_monsoon_start,0.4-4,common_same_date,106.35,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,59,106.35,30,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
31,117.45,117.45,weak_monsoon_start,0.4-4,common_same_date,117.45,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,61,117.45,31,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
32,120.55,120.55,weak_monsoon_start,0.4-4,common_same_date,120.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,62,120.55,32,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
33,133.25,133.25,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,65,133.25,33,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
34,135.55,135.55,weak_monsoon_start,0.4-4,common_same_date,135.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,66,135.55,34,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
35,139.35,139.35,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,67,139.35,35,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
36,142.55,142.55,weak_monsoon_start,0.4-4,common_same_date,142.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,68,142.55,36,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
37,143.85,143.85,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,143.95,-0.1,Rousseau et al. 2023 Scientific Reports Table 1,6,69,143.85,37,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
38,147.05,147.05,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,70,147.05,38,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
39,151.05,151.05,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,73,151.05,39,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
40,158.95,158.95,weak_monsoon_start,0.4-4,common_same_date,158.95,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,77,158.95,40,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
41,162.0,162.0,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,162.2,-0.2,Rousseau et al. 2023 Scientific Reports Table 1,6,79,162.0,41,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
42,165.15,165.15,weak_monsoon_start,0.4-4,common_same_date,165.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,81,165.15,42,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
43,166.8,166.8,weak_monsoon_start,0.4-4,common_same_date,166.8,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,82,166.8,43,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
44,170.25,170.25,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,85,170.25,44,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
45,171.05,171.05,weak_monsoon_start,0.4-4,common_same_date,171.05,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,86,171.05,45,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
46,174.85,174.85,weak_monsoon_start,0.4-4,common_same_date,174.85,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,88,174.85,46,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
47,179.65,179.65,weak_monsoon_start,0.4-4,common_same_date,179.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,91,179.65,47,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
48,187.75,187.75,weak_monsoon_start,0.4-4,common_same_date,187.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,93,187.75,48,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
49,191.75,191.75,weak_monsoon_start,0.4-4,common_same_date,191.75,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,95,191.75,49,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
50,193.25,193.25,weak_monsoon_start,0.4-4,common_same_date,193.25,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,97,193.25,50,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
51,201.15,201.15,weak_monsoon_start,0.4-4,common_same_date,201.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,99,201.15,51,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
52,209.25,209.25,weak_monsoon_start,0.4-4,common_same_date,209.25,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,100,209.25,52,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
53,221.05,221.05,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,220.95,0.1,Rousseau et al. 2023 Scientific Reports Table 1,6,102,221.05,53,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
54,228.65,228.65,weak_monsoon_start,0.4-4,common_same_date,228.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,104,228.65,54,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
55,232.65,232.65,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,6,106,232.65,55,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
56,234.15,234.15,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,234.0,0.15,Rousseau et al. 2023 Scientific Reports Table 1,6,107,234.15,56,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
57,246.75,246.75,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,246.45,0.3,Rousseau et al. 2023 Scientific Reports Table 1,7,109,246.75,57,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
58,250.05,250.05,weak_monsoon_start,0.4-4,common_same_date,250.05,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,111,250.05,58,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
59,252.15,252.15,weak_monsoon_start,0.4-4,common_same_date,252.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,113,252.15,59,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
60,256.05,256.05,weak_monsoon_start,0.4-4,common_same_date,256.05,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,114,256.05,60,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
61,259.65,259.65,weak_monsoon_start,0.4-4,common_same_date,259.65,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,116,259.65,61,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
62,276.95,276.95,weak_monsoon_start,0.4-4,common_same_date,276.95,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,119,276.95,62,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
63,281.4,281.4,weak_monsoon_start,0.4-4,common_same_date,281.4,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,120,281.4,63,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
64,284.7,284.7,weak_monsoon_start,0.4-4,common_same_date,284.7,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,121,284.7,64,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
65,307.25,307.25,weak_monsoon_start,0.4-4,common_same_date,307.25,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,123,307.25,65,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
66,318.05,318.05,weak_monsoon_start,0.4-4,common_same_date,318.05,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,126,318.05,66,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
67,324.15,324.15,weak_monsoon_start,0.4-4,common_same_date,324.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,127,324.15,67,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
68,341.15,341.15,weak_monsoon_start,0.4-4,common_same_date,341.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,131,341.15,68,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
69,349.55,349.55,weak_monsoon_start,0.4-4,common_same_date,349.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,132,349.55,69,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
70,364.35,364.35,weak_monsoon_start,0.4-4,common_same_date,364.35,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,134,364.35,70,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
71,367.35,367.35,weak_monsoon_start,0.4-4,common_same_date,367.35,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,136,367.35,71,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
72,368.65,368.65,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,7,138,368.65,72,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
73,369.55,369.55,weak_monsoon_start,0.4-4,common_same_date,369.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,7,139,369.55,73,weak_monsoon_start,Weak monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv
