order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table,event_age_ka,event_index,event_type,event_label,ks_window_id,ks_window_label,source
20,65.48,65.48,strong_monsoon_start,0.4-4,common_same_date,65.48,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,40,65.48,20,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
21,69.18,69.18,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,42,69.18,21,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
22,72.285,72.285,strong_monsoon_start,0.4-4,common_same_date,72.285,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,45,72.285,22,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
23,75.28,75.28,strong_monsoon_start,0.4-4,common_same_date,75.28,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,47,75.28,23,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
24,76.245,76.245,strong_monsoon_start,0.4-4,common_same_date,76.245,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,48,76.245,24,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
25,84.13,84.13,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,84.03,0.1,Rousseau et al. 2023 Scientific Reports Table 1,5,51,84.13,25,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
26,85.0,85.0,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,52,85.0,26,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
27,89.79,89.79,strong_monsoon_start,0.4-4,common_same_date,89.79,0.0,Rousseau et al. 2023 Scientific Reports Table 1,5,54,89.79,27,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
28,105.15,105.15,strong_monsoon_start,0.4-4,common_same_date,105.15,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,57,105.15,28,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
29,108.55,108.55,strong_monsoon_start,0.4-4,common_same_date,108.55,0.0,Rousseau et al. 2023 Scientific Reports Table 1,6,60,108.55,29,strong_monsoon_start,Strong monsoon starts,ks_0p4_4kyr,KS 0.4-4 kyr,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
