analysis_type,dataset_id,dataset_label,curve_id,curve_label,lag_ka,reduced_terms,full_terms,ok,n_bins,n_events,df,loglik_reduced,loglik_full,ll_gain_nats,info_nats_per_bin,info_bits_per_bin,info_bits_per_event,LR_statistic,LR_p_value,delta_AICc_full_minus_reduced,expected_events_reduced,expected_events_full,max_rate_full_per_kyr,converged_reduced,converged_full,LR_q_value_BH
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,5.4,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-422.903688431972,0.6485330949601575,0.00020920422418069598,0.00030181789675851306,0.009746202916160318,1.297066189920315,0.2547498139317887,0.7081059431775429,96.00000426819236,96.00011730896357,0.4112020104749533,True,True,0.8538199073669265
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,5.4,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-419.75974487223016,3.792476654702,0.0012233795660329032,0.0017649636330405614,0.0569936173169348,7.584953309404,0.005885748828422523,-5.579781176306142,96.00000426819236,95.99999690597525,0.554781231825647,True,True,0.021230736845381244
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,full_after_climate_state,Full predictive model vs climate-state,5.4,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-417.5070566425502,-412.61013567270925,4.896920969840949,0.0015796519257551447,0.0022789559996176482,0.07359128748765323,9.793841939681897,0.007469546659430334,-5.777011802312927,96.00000828883344,95.99997495394953,0.7495717469346407,True,True,0.02694372187865942
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,5.6,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-423.0192019805416,0.5330195463905625,0.00017194178915824597,0.0002480595665401772,0.008010256836193221,1.066039092781125,0.3018418379174068,0.9391330403167331,96.00000426819236,96.00007545062527,0.40359412931837607,True,True,0.8538199073669265
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,5.6,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-419.93207316428004,3.6201483626521167,0.0011677897944039086,0.0016847645451872613,0.05440385510500531,7.240296725304233,0.00712851980667979,-5.235124592206375,96.00000426819236,96.00000432087526,0.5598880530919177,True,True,0.024826913809470993
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,full_after_climate_state,Full predictive model vs climate-state,5.6,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-417.4467918365422,-412.71636011640686,4.730431720135357,0.0015259457161726957,0.002201474317388106,0.07108927483232426,9.460863440270714,0.00882266129688525,-5.444033302901744,96.00003800115337,96.00000108830685,0.7828584139690965,True,True,0.03072719968915208
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,5.8,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-423.08417955340053,0.46804197353162635,0.0001509812817843956,0.00021781994649740672,0.007033769105645425,0.9360839470632527,0.33328698930223755,1.0690881860346053,96.00000426819236,96.00006446183599,0.3988426737742628,True,True,0.8538199073669265
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,5.8,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-420.15576238849496,3.3964591384371943,0.0010956319801410303,0.0015806628243888198,0.05104223703755564,6.7929182768743885,0.009152017859667216,-4.7877461437765305,96.00000426819236,95.99999580751162,0.559912334961846,True,True,0.030811793460879627
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,full_after_climate_state,Full predictive model vs climate-state,5.8,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_lag+co2_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-417.69128403215075,-413.0932880771535,4.597995954997259,0.001483224501612019,0.002139840633000664,0.06909902044064645,9.195991909994518,0.010072000274389805,-5.179161772625548,96.00007605708629,95.99996981392621,0.7769706009451467,True,True,0.03390906759044568
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,lr04_after_ep_baseline,LR04 vs EP baseline,6.0,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+lr04_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-423.13738942423487,0.41483210269728943,0.00013381680732170627,0.00019305684431061956,0.00623412726419709,0.8296642053945789,0.3623696454810238,1.1755079277032792,96.00000426819236,95.99999388732527,0.3947153279136851,True,True,0.8538199073669265
core_component_diagnostic_0_20kyr,weak_monsoon_start,Weak monsoon starts,co2_after_ep_baseline,CO2 vs EP baseline,6.0,same_type_history_count+cheng_log_resolution_scaled,same_type_history_count+cheng_log_resolution_scaled+co2_after_ep_baseline_lag,True,3100,96,1,-423.55222152693216,-420.23739655442057,3.3148249725115875,0.0010692983782295442,0.0015426714675023747,0.049815432804764186,6.629649945023175,0.010029497266907267,-4.624477811925317,96.00000426819236,96.0000017495492,0.5513900848256471,True,True,0.032676749159923676
