analysis_type,dataset_id,dataset_label,driver_id,driver_label,lag_ka,lr04_control_lag_ka,co2_control_lag_ka,reduced_terms,full_terms,ok,n_bins,n_events,df,loglik_reduced,loglik_full,ll_gain_nats,info_nats_per_bin,info_bits_per_bin,info_bits_per_event,LR_statistic,LR_p_value,delta_AICc_full_minus_reduced,expected_events_reduced,expected_events_full,max_rate_full_per_kyr,converged_reduced,converged_full,LR_q_value_BH
pre_phase_after_best_lr04_co2_lags,weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,18.0,0.0,0.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.34764930018156,-410.10859447770014,3.239054822481421,0.0010448563943488455,0.0015074091385682026,0.04867675343293154,6.478109644962842,0.03920092943142676,-2.461279507593872,95.99998418855711,96.00002004181303,0.856078868961292,True,True,0.043508723874440686
pre_phase_after_best_lr04_co2_lags,weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,18.2,0.0,0.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.34764930018156,-410.1235771551111,3.2240721450704655,0.001040023272603376,0.001500436417794001,0.04845159265793128,6.448144290140931,0.03979268629259815,-2.431314152771961,95.99998418855711,95.99995753347659,0.8548954931760994,True,True,0.043685449082091446
pre_phase_after_best_lr04_co2_lags,weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,18.4,0.0,0.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.34764930018156,-410.13825430618436,3.2093949939971935,0.0010352887077410302,0.0014936058845463277,0.04823102335514184,6.418789987994387,0.04038103665271465,-2.401959850625417,95.99998418855711,96.00000462594042,0.8537275748161135,True,True,0.04385467421423849
pre_phase_after_best_lr04_co2_lags,weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,18.6,0.0,0.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.34764930018156,-410.1526601772968,3.194989122884749,0.0010306416525434675,0.0014869016010580667,0.04801453086750007,6.389978245769498,0.0409669709761243,-2.373148108400528,95.99998418855711,96.00016371424469,0.8525807598703631,True,True,0.04401770285732505
pre_phase_after_best_lr04_co2_lags,weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,18.8,0.0,0.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.34764930018156,-410.1666765333646,3.1809727668169785,0.0010261202473603155,0.0014803785922224838,0.04780389204051771,6.361945533633957,0.04154522164516928,-2.345115396264987,95.99998418855711,96.00006005596222,0.8514517943730823,True,True,0.044169130380653655
pre_phase_after_best_lr04_co2_lags,weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,19.0,0.0,0.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.34764930018156,-410.18027203861584,3.1673772615657185,0.0010217346005050704,0.0014740514412533315,0.047599577790472164,6.334754523131437,0.0421139069466963,-2.317924385762467,95.99998418855711,96.00003341740442,0.8503817183805318,True,True,0.04430733960017006
pre_phase_after_best_lr04_co2_lags,weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,19.2,0.0,0.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.34764930018156,-410.1933663314084,3.1542829687731455,0.0010175106350881116,0.0014679575472933983,0.047402795798015984,6.308565937546291,0.04266898502116928,-2.291735800177321,95.99998418855711,95.99987214488348,0.8493898824227338,True,True,0.04442853079523812
pre_phase_after_best_lr04_co2_lags,weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,19.4,0.0,0.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.34764930018156,-410.20596862471933,3.1416806754622257,0.0010134453791813631,0.0014620926227567879,0.0472134076098546,6.2833613509244515,0.04321011466117409,-2.2665312135554814,95.99998418855711,95.99987564716005,0.848487876387467,True,True,0.044532873273250846
pre_phase_after_best_lr04_co2_lags,weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,19.6,0.0,0.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.34764930018156,-410.21810793465704,3.129541365524517,0.0010095294727498442,0.0014564431639674503,0.047030977169782245,6.259082731049034,0.04373785234038899,-2.242252593680064,95.99998418855711,96.00000535932774,0.8475762481719279,True,True,0.0446214453169625
pre_phase_after_best_lr04_co2_lags,weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,19.8,0.0,0.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.34764930018156,-410.2297831413558,3.117866158825734,0.0010057632770405593,0.0014510096920946477,0.046855521307223,6.235732317651468,0.04425149340528415,-2.218902180282498,95.99998418855711,95.99997684049984,0.8466093350999392,True,True,0.04469400833933699
pre_phase_after_best_lr04_co2_lags,weak_monsoon_start,Weak monsoon starts,pre_phase,Precession phase,20.0,0.0,0.8,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag,same_type_history_count+cheng_log_resolution_scaled+lr04_best_lag+co2_best_lag+pre_phase_sin_lag+pre_phase_cos_lag,True,3100,96,2,-413.34764930018156,-410.24128344671635,3.1063658534652063,0.0010020535011178084,0.0014456576167680855,0.04668269387480276,6.212731706930413,0.04476333662755473,-2.1959015695614426,95.99998418855711,95.99997734450733,0.8456898483194651,True,True,0.04476333662755473
