Dataset,Bin width (kyr),Bins,empty bins (%),Multi-event bins,Max events/bin,Best core model,full Delta AICc among core models,LR04 p,CO2 p,pre phase p,phase after climate-state model p,phase-after-climate Delta AICc,preferred phase (deg),phase shift vs 0.2 kyr (deg),phase rate ratio,matches 0.2 kyr
Strong monsoon starts,0.2,3175,97.0,0,1,baseline_climate_lr04_co2_pre_phase,0.0,2.6e-04,7.0e-04,6.8e-04,5.1e-05,-15.73,2.0,0.0,4.03,yes
Strong monsoon starts,0.4,1587,94.0,0,1,baseline_climate_lr04_co2_pre_phase,0.0,3.5e-04,0.001,9.3e-04,7.7e-05,-14.92,3.9,1.9,3.9,yes
Strong monsoon starts,0.6,1059,91.0,0,1,baseline_climate_lr04_co2_pre_phase,0.0,3.7e-04,7.5e-04,9.8e-04,8.7e-05,-14.65,3.6,1.6,3.87,yes
Strong monsoon starts,0.8,794,88.2,1,2,baseline_climate_lr04_co2_pre_phase,0.0,4.7e-04,0.001,0.001,1.4e-04,-13.73,3.8,1.8,3.72,yes
Strong monsoon starts,1.0,635,85.0,0,1,baseline_climate_lr04_co2_pre_phase,0.0,6.7e-04,0.002,0.002,2.3e-04,-12.63,5.4,3.4,3.55,yes
Weak monsoon starts,0.2,3175,96.9,0,1,baseline_climate_lr04_co2_pre_phase,0.0,9.5e-05,3.3e-06,0.009,6.8e-04,-10.58,232.8,0.0,3.22,yes
Weak monsoon starts,0.4,1587,93.8,0,1,baseline_climate_lr04_co2_pre_phase,0.0,1.7e-04,1.0e-05,0.010,0.001,-9.55,233.7,1.0,3.08,yes
Weak monsoon starts,0.6,1059,90.7,1,2,baseline_climate_lr04_co2_pre_phase,0.0,1.8e-04,1.3e-05,0.008,9.8e-04,-9.81,233.6,0.8,3.09,yes
Weak monsoon starts,0.8,794,87.9,2,2,baseline_climate_lr04_co2_pre_phase,0.0,2.6e-04,2.9e-05,0.010,9.8e-04,-9.79,234.5,1.7,3.12,yes
Weak monsoon starts,1.0,635,84.9,2,2,baseline_climate_lr04_co2_pre_phase,0.0,2.4e-04,1.2e-05,0.009,0.001,-9.68,232.8,-0.0,3.09,yes
