bin_width_ka,dataset_id,dataset_label,n_bins,n_events,mean_events_per_bin,nonempty_bin_count,empty_bin_fraction,multi_event_bin_count,multi_event_bin_fraction,max_event_count_per_bin
0.2,strong_monsoon_start,Strong monsoon starts,3175,95,0.029921259842519685,95,0.9700787401574803,0,0.0,1
0.2,weak_monsoon_start,Weak monsoon starts,3175,98,0.030866141732283466,98,0.9691338582677166,0,0.0,1
0.4,strong_monsoon_start,Strong monsoon starts,1587,95,0.05986137366099559,95,0.9401386263390044,0,0.0,1
0.4,weak_monsoon_start,Weak monsoon starts,1587,98,0.06175173282923756,98,0.9382482671707625,0,0.0,1
0.6,strong_monsoon_start,Strong monsoon starts,1059,95,0.08970727101038715,95,0.9102927289896129,0,0.0,1
0.6,weak_monsoon_start,Weak monsoon starts,1059,99,0.09348441926345609,98,0.9074598677998111,1,0.0009442870632672333,2
0.8,strong_monsoon_start,Strong monsoon starts,794,95,0.11964735516372796,94,0.8816120906801007,1,0.0012594458438287153,2
0.8,weak_monsoon_start,Weak monsoon starts,794,98,0.12342569269521411,96,0.8790931989924433,2,0.0025188916876574307,2
1.0,strong_monsoon_start,Strong monsoon starts,635,95,0.14960629921259844,95,0.8503937007874016,0,0.0,1
1.0,weak_monsoon_start,Weak monsoon starts,635,98,0.15433070866141732,96,0.8488188976377953,2,0.0031496062992125984,2
