dataset_id,dataset_label,bin_width_ka,n_bins,n_events,empty_bin_fraction,multi_event_bin_count,max_event_count_per_bin,best_core_model_id,full_model_core_rank_AICc,full_model_core_delta_AICc,lr04_after_baseline_p,co2_after_baseline_p,pre_phase_after_baseline_p,phase_after_climate_p,phase_after_climate_delta_AICc_full_minus_reduced,pre_phase_preferred_deg,preferred_phase_shift_vs_0p2_deg,pre_phase_rate_ratio_max_vs_min,qualitatively_matches_0p2
strong_monsoon_start,Strong monsoon starts,0.2,3175,95,0.9700787401574803,0,1,baseline_climate_lr04_co2_pre_phase,1.0,0.0,0.00025762290145702155,0.0006990399407430023,0.0006832774283532538,5.1434562918147624e-05,-15.733969081367036,2.011557064601044,0.0,4.0271345327385895,True
strong_monsoon_start,Strong monsoon starts,0.4,1587,95,0.9401386263390044,0,1,baseline_climate_lr04_co2_pre_phase,1.0,0.0,0.0003489657556916732,0.0012400010148650854,0.0009298691225887425,7.65631549156815e-05,-14.921808901691065,3.9027895403608226,1.8912324757597787,3.8954521679360843,True
strong_monsoon_start,Strong monsoon starts,0.6,1059,95,0.9102927289896129,0,1,baseline_climate_lr04_co2_pre_phase,1.0,0.0,0.00036904007003058317,0.0007494632559272613,0.0009765727348605058,8.680757126312639e-05,-14.654048308093707,3.629598209771232,1.6180411451701957,3.869248169684863,True
strong_monsoon_start,Strong monsoon starts,0.8,794,95,0.8816120906801007,1,2,baseline_climate_lr04_co2_pre_phase,1.0,0.0,0.0004675215734712518,0.0014324033415951142,0.0012787562210209464,0.00013680644117748544,-13.727535431809997,3.76645105701439,1.7548939924133435,3.716456588489786,True
strong_monsoon_start,Strong monsoon starts,1.0,635,95,0.8503937007874016,0,1,baseline_climate_lr04_co2_pre_phase,1.0,0.0,0.000666854714505796,0.0023403613691484054,0.0016944298128883195,0.000234485238494267,-12.632996959821526,5.400073622523768,3.3885165579227134,3.5529045642691544,True
weak_monsoon_start,Weak monsoon starts,0.2,3175,98,0.9691338582677166,0,1,baseline_climate_lr04_co2_pre_phase,1.0,0.0,9.54700063319678e-05,3.2932453545077514e-06,0.00887317097963191,0.0006776103743750483,-10.577444927574675,232.78133168054615,0.0,3.2206759534004656,True
weak_monsoon_start,Weak monsoon starts,0.4,1587,98,0.9382482671707625,0,1,baseline_climate_lr04_co2_pre_phase,1.0,0.0,0.00016904610577724144,1.0300724575014164e-05,0.010484662722243783,0.001123127171585341,-9.550296428984325,233.7413338897718,0.9600022092256495,3.0826186368987405,True
weak_monsoon_start,Weak monsoon starts,0.6,1059,99,0.9074598677998111,1,2,baseline_climate_lr04_co2_pre_phase,1.0,0.0,0.00018148130909897937,1.275766464182332e-05,0.008499950974815542,0.0009760820051198655,-9.81434278784036,233.55800887798566,0.7766771974395112,3.0921764991885445,True
weak_monsoon_start,Weak monsoon starts,0.8,794,98,0.8790931989924433,2,2,baseline_climate_lr04_co2_pre_phase,1.0,0.0,0.00025687824945932504,2.8557433526856813e-05,0.009799232777113292,0.0009821939818626167,-9.785091956461883,234.4821205302112,1.7007888496650594,3.1185117736803907,True
weak_monsoon_start,Weak monsoon starts,1.0,635,98,0.8488188976377953,2,2,baseline_climate_lr04_co2_pre_phase,1.0,0.0,0.00024186440329185835,1.2108936255867996e-05,0.009373580686252728,0.0010259681762916312,-9.680998217947945,232.77768981960082,-0.0036418609453221507,3.0872530076251925,True
