age_ka,d18o_raw,d18o_raw_variant,d18o_no_pre_18_25kyr_precession_component,d18o_no_pre_18_25kyr,d18o_no_pre_15_30kyr_precession_component,d18o_no_pre_15_30kyr
0.0,-9.66,-9.66,0.43714266127120976,-10.09714266127121,0.46657667267006286,-10.126576672670064
0.1,-9.33850768817073,-9.33850768817073,0.4341780760774256,-9.772685764248155,0.46499693754192495,-9.803504625712653
0.2,-9.39616215611094,-9.39616215611094,0.43081384303210785,-9.826975999143048,0.46289566424294365,-9.859057820353883
0.3,-9.508109764630152,-9.508109764630152,0.42705105277016375,-9.935160817400316,0.46027029643934225,-9.968380061069494
0.4,-9.144660856696536,-9.144660856696536,0.42289117409380955,-9.567552030790345,0.4571189192933548,-9.601779775989892
0.5,-9.312057880457123,-9.312057880457123,0.4183360542939535,-9.730393934751078,0.45344026666459425,-9.765498147121718
0.6,-9.512270821343419,-9.512270821343419,0.4133879191009388,-9.925658740444359,0.4492337274334944,-9.961504548776913
0.7,-9.056916879059438,-9.056916879059438,0.40804937226316673,-9.464966251322604,0.4444993509322671,-9.501416229991705
0.8,-8.718774151114035,-8.718774151114035,0.4023233947524931,-9.121097545866528,0.43923785147016,-9.158012002584195
0.9,-9.191575917091628,-9.191575917091628,0.3962133435956724,-9.5877892606873,0.4334506119411703,-9.625026529032798
1.0,-9.174150701709047,-9.174150701709047,0.38972295033150184,-9.563873652040549,0.42713968650377276,-9.60129038821282
1.1,-9.393375429987254,-9.393375429987254,0.382856319093702,-9.776231749080956,0.42030780232364745,-9.8136832323109
1.2,-9.204236607250246,-9.204236607250246,0.375617924319952,-9.579854531570199,0.41295836037184486,-9.61719496762209
1.3,-8.950989252746274,-8.950989252746274,0.36801260808788433,-9.319001860834158,0.40509543527229963,-9.356084688018573
1.4,-9.306976498743925,-9.306976498743925,0.3600455770792257,-9.667022075823152,0.39672377419408567,-9.703700272938011
1.5,-9.149845924737958,-9.149845924737958,0.351722399173661,-9.50156832391162,0.3878487947853056,-9.537694719523264
1.6,-9.27099375680165,-9.27099375680165,0.34304899967437574,-9.614042756476024,0.37847658214701785,-9.649470338948667
1.7,-9.085849132252706,-9.085849132252706,0.33403165716762234,-9.41988078942033,0.36861388484712365,-9.45446301709983
1.8,-9.131131221719459,-9.131131221719459,0.3246769990190349,-9.455808220738493,0.3582681099756626,-9.489399331695122
1.9,-9.168218111002922,-9.168218111002922,0.3149919965098012,-9.483210107512724,0.34744731724449723,-9.51566542824742
2.0,-8.793714328514717,-8.793714328514717,0.3049839596161788,-9.098698288130896,0.33616021213589586,-9.129874540650613
2.1,-9.057174723087128,-9.057174723087128,0.2946605314362201,-9.351835254523348,0.3244161381060565,-9.381590861193184
2.2,-8.883137154815987,-8.883137154815987,0.28402968226794595,-9.167166837083933,0.31222506785114146,-9.195362222667129
2.3,-9.318996477974581,-9.318996477974581,0.2730997033435787,-9.59209618131816,0.29959759364491556,-9.618594071619496
2.4,-8.839462508294625,-8.839462508294625,0.26187920022481415,-9.10134170851944,0.2865449167585979,-9.126007425053222
2.5,-8.245090608522606,-8.245090608522606,0.25037708586447543,-8.49546769438708,0.2730788359750401,-8.518169444497646
2.6,-9.146083267391118,-9.146083267391118,0.23860257334025117,-9.38468584073137,0.25921173521083224,-9.40529500260195
2.7,-9.06047322540473,-9.06047322540473,0.22656516826657647,-9.287038393671306,0.24495657026141127,-9.305429795666141
2.8,-9.131494396014942,-9.131494396014942,0.2142746608910643,-9.345769056906006,0.23032685468570274,-9.361821250700645
2.9,-9.484744707347447,-9.484744707347447,0.20174111788223947,-9.686485825229687,0.21533664484825832,-9.700081352195706
3.0,-9.002104607721046,-9.002104607721046,0.1889748738156655,-9.191079481536711,0.2000005241382588,-9.202105131859305
3.1,-8.737808219178083,-8.737808219178083,0.17598652236588785,-8.91379474154397,0.18433358638612352,-8.922141805564207
3.2,-8.981961122432983,-8.981961122432983,0.1627869072119415,-9.144748029644925,0.16835141849980473,-9.150312540932788
3.3,-8.92313981068919,-8.92313981068919,0.1493871126644899,-9.07252692335368,0.1520700823441501,-9.075209893033339
3.4,-8.984903238677928,-8.984903238677928,0.13579845402297355,-9.120701692700901,0.13550609588798812,-9.120409334565917
3.5,-9.624308705193855,-9.624308705193855,0.12203246767144986,-9.746341172865304,0.11867641364482866,-9.742985118838684
3.6,-10.002749559844533,-10.002749559844533,0.10810090092210112,-10.110850460766635,0.1015984064342677,-10.104347966278802
3.7,-9.351020436535519,-9.351020436535519,0.09401570161567499,-9.445036138151194,0.0842898404923378,-9.435310277027856
3.8,-9.710863339357708,-9.710863339357708,0.07978900748839954,-9.790652346846107,0.06676885596014552,-9.777632195317853
3.9,-9.510882802724877,-9.510882802724877,0.06543313531518462,-9.576315938040063,0.049053944781183106,-9.559936747506061
4.0,-9.774614208258027,-9.774614208258027,0.050960569839180944,-9.825574778097208,0.031163928038693924,-9.805778136296722
4.1,-9.730368462621476,-9.730368462621476,0.03638395249801835,-9.766752415119495,0.013117932765411486,-9.743486395386887
4.2,-10.06733586046809,-10.06733586046809,0.021716069957285228,-10.089051930425375,-0.005064631741120339,-10.062271228726969
4.3,-10.056154594744886,-10.056154594744886,0.006969842462040759,-10.063124437206927,-0.023364098063604594,-10.032790496681281
4.4,-9.921385915318904,-9.921385915318904,-0.007841687982628593,-9.913544227336276,-0.04176056523560925,-9.879625350083295
4.5,-9.184267729428287,-9.184267729428287,-0.022705369590788473,-9.161562359837498,-0.06023392370221381,-9.124033805726073
4.6,-10.03392545549836,-10.03392545549836,-0.037607952923154164,-9.996317502575206,-0.07876388063449737,-9.955161574863864
4.7,-9.79900305388632,-9.79900305388632,-0.05253610315130223,-9.746466950735018,-0.0973299855610841,-9.701673068325237
4.8,-10.026312678553838,-10.026312678553838,-0.06747641244681715,-9.95883626610702,-0.1159116562794229,-9.910401022274415
4.9,-10.161620529997041,-10.161620529997041,-0.08241541248343077,-10.07920511751361,-0.1344882050089969,-10.027132324988044
5.0,-9.94967687912521,-9.94967687912521,-0.09733958704006099,-9.85233729208515,-0.15303886474824124,-9.796638014376969
5.1,-9.876343217416995,-9.876343217416995,-0.11223538469251668,-9.764107832724479,-0.17154281579659536,-9.7048004016204
5.2,-10.047127107274106,-10.047127107274106,-0.12708923158150937,-9.920037875692596,-0.189979212402831,-9.857147894871275
5.3,-9.933648525151163,-9.933648525151163,-0.14188754424449726,-9.791760980906666,-0.20832720950057693,-9.725321315650586
5.4,-10.277924143331386,-10.277924143331386,-0.15661674249878527,-10.1213074008326,-0.22656598949180357,-10.051358153839583
5.5,-10.412175248977077,-10.412175248977077,-0.17126326236321637,-10.24091198661386,-0.2446747890389392,-10.167500459938138
5.6,-10.090822203350564,-10.090822203350564,-0.18581356900571228,-9.905008634344853,-0.2626329258262612,-9.828189277524302
5.7,-10.622532386319756,-10.622532386319756,-0.2002541697038585,-10.422278216615897,-0.280419825251246,-10.342112561068511
5.8,-10.4554659618773,-10.4554659618773,-0.2145716268056792,-10.240894335071621,-0.29801504700666887,-10.157450914870632
5.9,-10.575283037001444,-10.575283037001444,-0.22875257067770946,-10.346530466323735,-0.3153983115144199,-10.259884725487025
6.0,-10.408571657399145,-10.408571657399145,-0.2427837126274494,-10.165787944771695,-0.3325495261722444,-10.076022131226901
6.1,-10.5365789341205,-10.5365789341205,-0.25665185778727384,-10.279927076333227,-0.34944881137492406,-10.187130122745577
6.2,-10.386263746825016,-10.386263746825016,-0.27034391794687374,-10.115919828878141,-0.3660765262717853,-10.02018722055323
6.3,-10.493912313219377,-10.493912313219377,-0.28384692432132286,-10.210065388898055,-0.38241329422285963,-10.111499018996518
6.4,-10.40589315833053,-10.40589315833053,-0.29714804024189245,-10.108745118088638,-0.3984400279165137,-10.007453130414016
6.5,-10.512134318746359,-10.512134318746359,-0.31023457375677865,-10.20189974498958,-0.41413795411192267,-10.097996364634437
6.6,-10.081299049162364,-10.081299049162364,-0.32309399012896545,-9.758205059033399,-0.4294886379703754,-9.651810411191988
6.7,-10.044408026118244,-10.044408026118244,-0.33571392421851487,-9.708694101899729,-0.444474006940069,-9.599934019178175
