variant_id,variant_label,event_type,event_label,n_detected_events,raw_reproduction_precision,raw_reproduction_recall,rayleigh_pre_n,rayleigh_pre_mean_phase_deg,rayleigh_pre_Rbar,rayleigh_pre_p,pi_phase_after_lr04_co2_LR,pi_phase_after_lr04_co2_p,pi_phase_after_lr04_co2_bits_per_event,pi_phase_after_lr04_co2_delta_AICc,pi_full_preferred_phase_deg,pi_full_rate_ratio
raw,Raw composite,strong_monsoon_start,Strong monsoon starts,95,0.8842105263157894,0.875,95,29.440663328725066,0.19826060253810932,0.023481147660222905,11.6908145277813,0.0028931561946754047,0.08971425608075918,-7.674383246810407,6.009974220555386,2.840542500008696
raw,Raw composite,weak_monsoon_start,Weak monsoon starts,101,0.8712871287128713,0.88,101,219.0037944129981,0.2848607767982804,0.00024186290694246476,16.912393529263454,0.00021257902324542326,0.12322942562742918,-12.895962248292562,225.03457536703806,3.560533293151962
no_pre_18_25kyr,18-25 kyr removed,strong_monsoon_start,Strong monsoon starts,107,0.719626168224299,0.8020833333333334,107,244.1885529844068,0.02078765074906358,0.9550164297908263,1.4854772177653786,0.4758090746538516,0.010108917997281352,2.530954063205513,287.54840409058846,1.4217587316633342
no_pre_18_25kyr,18-25 kyr removed,weak_monsoon_start,Weak monsoon starts,111,0.7117117117117117,0.79,111,189.92683988843828,0.03265170934273013,0.8888384309852304,0.20559383738691395,0.9023101972099862,0.0013605927047496914,3.810837443583978,304.27451707500455,1.1369557358743978
no_pre_15_30kyr,15-30 kyr removed,strong_monsoon_start,Strong monsoon starts,118,0.652542372881356,0.8020833333333334,118,193.88582084248915,0.04484874377289201,0.7894172933694398,0.6078658964767101,0.7379103429802614,0.0037477141639849303,3.4085653844941817,254.07217396663077,1.230844991230858
no_pre_15_30kyr,15-30 kyr removed,weak_monsoon_start,Weak monsoon starts,113,0.7345132743362832,0.83,113,27.014599523157276,0.027389964355097073,0.9190498510069505,1.4500795272163032,0.4843053108458729,0.00942352496761069,2.5663517537545886,346.70410172958515,1.3984608881318654
