variant_id,variant_label,driver,driver_label,event_type,event_label,event_index,event_age_ka,orbital_value_at_event,phase_unwrapped_rad,phase_rad,phase_deg,phase_fraction,phase_extrapolated,signed_distance_to_min_rad,signed_distance_to_max_rad,source_event_order
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,1,11.18636,-0.0195149976,6.189344438620358,6.189344438620358,354.62331428571434,0.985064761904762,False,-0.09384086855922849,3.047751785030565,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,2,14.61675,-0.012526299999999999,7.18149346342509,0.8983081562455038,51.469266055045885,0.14297018348623858,False,0.8983081562455038,-2.2432844973442894,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,3,23.75625,0.017071187499999998,9.80520519616502,3.522019888985433,201.79687500000006,0.5605468750000001,False,-2.7611654181941536,0.38042723539563994,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,4,27.958750000000002,0.0005848249999999876,10.984003689621368,4.700818382441781,269.3370535714286,0.7481584821428572,False,-1.5823669247378052,1.5592257288519882,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,5,29.43,-0.006067300000000003,11.396688349585116,5.113503042405529,292.9821428571429,0.8138392857142858,False,-1.169682264774057,1.9719103888157363,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,6,32.67225,-0.014800359999999995,12.30613734789775,6.022952040718163,345.0897321428571,0.9585825892857142,False,-0.2602332664614233,2.88135938712837,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,7,33.998,-0.015164680000000002,12.658989419998337,0.09261880563916414,5.306666666666574,0.014740740740740483,False,0.09261880563916414,-3.048973847950629,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,8,35.53275,-0.0134071025,13.01614196259811,0.4497713482389383,25.769999999999975,0.07158333333333326,False,0.4497713482389383,-2.691821305350855,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,9,38.308,-0.006042519999999991,13.661971963477745,1.0956013491185725,62.77333333333326,0.17437037037037018,False,1.0956013491185725,-2.0459913044712206,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,10,41.6761,0.004982104999999987,14.44576442396336,1.8793938096041867,107.6813333333333,0.2991148148148147,False,1.8793938096041867,-1.2621988439856064,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,11,43.61525,0.010023330000000004,14.897025119830667,2.330654505471495,133.5366666666667,0.37093518518518526,False,2.330654505471495,-0.8109381481182983,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,12,47.25275,0.0139721975,15.744595197554755,3.1782245831955827,182.09885496183207,0.5058301526717558,False,-3.104960723984004,0.03663192960578954,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,13,49.64745,0.011545845000000006,16.31888313095563,3.7525125165964575,215.0031297709923,0.5972309160305341,False,-2.530672790583129,0.6109198630066643,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,14,54.14675,-0.002423194999999981,17.39788830853552,4.831517694176348,276.82557251908395,0.7689599236641221,False,-1.4516676130032382,1.6899250405865551,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,15,55.798,-0.008877540000000017,17.79388486343935,5.227514249080176,299.5145038167939,0.8319847328244274,False,-1.0556710580994102,2.085921595490383,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,16,58.211200000000005,-0.016302856000000004,18.372609397152548,5.8062387827933755,332.67297709923673,0.9240916030534354,False,-0.476946524386211,2.6646461292035823,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,17,59.7829,-0.018369792,18.74952857071339,6.1831579563542185,354.268854961832,0.9840801526717555,False,-0.10002735082536798,3.0415653027644254,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,18,65.48384999999999,-0.0010767010000000646,20.293008473075314,1.4434525515365557,82.7037391304346,0.22973260869565165,False,1.4434525515365557,-1.6981401020532374,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,19,69.1803,0.018769609000000007,21.302811965628536,2.453256044089777,140.5612173913044,0.3904478260869567,False,2.453256044089777,-0.6883366095000164,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,20,72.2859,0.023703638,22.154038764131936,3.3044828425931776,189.33292035398222,0.5259247787610617,False,-2.978702464586409,0.16289018900338445,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,21,75.3285,0.011967584999999965,22.999933437389664,4.150377515850906,237.79911504424783,0.6605530973451329,False,-2.132807791328681,1.0087848622611126,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,22,76.2457,0.005884358000000006,23.254930674723518,4.405374753184759,252.4093805309734,0.7011371681415929,False,-1.8778105539948273,1.263782099594966,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,23,84.030275,-0.02937636749999999,25.414193782733758,0.2814525540154129,16.126043478260993,0.04479456521739164,False,0.2814525540154129,-2.86014009957438,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,24,85.0613,-0.025858471999999973,25.695851223226576,0.5631099945082312,32.26382608695661,0.08962173913043503,False,0.5631099945082312,-2.578482659081562,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,25,85.4785,-0.023762100000000026,25.809822741059413,0.6770815123410685,38.79391304347819,0.10776086956521719,False,0.6770815123410685,-2.4645111412487246,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,26,89.79012499999999,0.011524841249999921,26.987680951931942,1.8549397232135973,106.28021739130422,0.29522282608695616,False,1.8549397232135973,-1.2866529303761958,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,27,105.15378379352578,-0.04202322163506557,31.31704741855128,6.184306189832935,354.33464389405805,0.9842628997057168,False,-0.09887911734665192,3.0427135362431414,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,28,108.51467469932942,-0.026981454211605218,32.309405770650415,0.8934792347524834,51.19258923389581,0.14220163676082168,False,0.8934792347524834,-2.2481134188373098,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,29,128.939,-0.035372820000000055,38.22881168266974,0.5296998395922259,30.34956521739125,0.0843043478260868,False,0.5296998395922259,-2.6118928139975672,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,30,141.2865,0.02570162500000011,41.5641795321407,3.8650676890631814,221.45206611570268,0.615144628099174,False,-2.418117618116405,0.7234750354733883,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,31,147.655,-0.02043165000000005,43.21766984737926,5.518558004301745,316.19008264462843,0.8783057851239678,False,-0.7646273028778412,2.376965350711952,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,32,149.12,-0.02626540000000003,43.598036230644475,5.898924387566957,337.98347107438053,0.9388429752066126,False,-0.38426091961262926,2.757331733977164,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,33,157.05,0.0010030000000000995,45.56536532335509,1.5830681730979848,90.70312500000017,0.2519531250000005,False,1.5830681730979848,-1.5585244804918084,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,34,160.495,0.02247295000000002,46.41089553363765,2.428598383380546,139.14843749999994,0.38652343749999984,False,2.428598383380546,-0.7129942702092472,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,35,163.82,0.029673600000000012,47.23204299356064,3.249745843303536,186.1967213114752,0.5172131147540977,False,-3.0334394638760505,0.1081531897137431,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,36,164.43,0.028879799999999994,47.38912262624013,3.4068254759830268,195.19672131147524,0.5422131147540978,False,-2.87635983119656,0.26523282239323365,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,37,168.5,0.00722,48.43717853608525,4.454881385828145,255.245901639344,0.7090163934426222,False,-1.8283039213514416,1.3132887322383517,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,38,169.56,-0.0015714000000000483,48.71013658631519,4.727839436058083,270.8852459016394,0.7524590163934428,False,-1.5553458711215031,1.5862467824682902,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,39,173.13,-0.028959000000000016,49.62943869888203,5.64714154862493,323.5573770491802,0.8987704918032785,False,-0.6360437585546566,2.505548895035137,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,40,176.25,-0.0356175,50.44619353928035,0.18071108184366125,10.353982300884988,0.028761061946902748,False,0.18071108184366128,-2.960881571746132,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,41,178.815,-0.022667900000000105,51.159307269940335,0.8938248125036452,51.212389380531,0.1422566371681417,False,0.8938248125036452,-2.247767841086148,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,42,182.5,0.014698,52.183800095469394,1.918317638032704,109.91150442477867,0.3053097345132741,False,1.918317638032704,-1.223275015557089,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,43,190.485,0.021673549999999864,54.43094871676462,4.165466259327928,238.66363636363678,0.6629545454545466,False,-2.1177190478516583,1.0238736057381352,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,44,192.575,-0.0035199999999999095,55.027851320946674,4.762368863509984,272.8636363636365,0.7579545454545458,False,-1.5208164436696026,1.6207762099201908,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,45,199.13,-0.04363369999999999,56.89368195782301,0.34501419320673676,19.767857142857174,0.054910714285714375,False,0.34501419320673676,-2.7965784603830564,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,46,200.445,-0.03470655000000009,57.26253859527574,0.7138708306594665,40.90178571428572,0.11361607142857146,False,0.7138708306594665,-2.4277218229303266,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,47,216.995,-0.02917540000000005,61.904802739642804,5.356134975026528,306.8839285714286,0.8524553571428574,False,-0.9270503321530585,2.214542321436735,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,48,226.71581099661125,0.012170606564218138,64.69813683973796,1.8662837679420932,106.93018327685466,0.29702828688015187,False,1.8662837679420932,-1.2753088856477,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,49,230.6724032681964,0.0461080855559339,65.84906287804,3.0172098062441393,172.87338780327403,0.48020385500909457,False,3.0172098062441393,-0.12438284734565386,
raw,Raw composite,pre,Precession index,strong_monsoon_start,Strong monsoon starts,50,242.174,-0.03867791999999998,69.24452663269733,0.1294882537218811,7.419130434782962,0.020608695652174894,False,0.1294882537218811,-3.012104399867912,
