catalogue_id,catalogue_label,catalogue_short_label,dataset_id,dataset_label,bin_start_ka,bin_end_ka,bin_center_ka,dt_ka,lr04,lr04_scaled,co2,co2_scaled,precession_index,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_sin,pre_phase_cos,event_count,n_events_total,source,event_class,event_class_label
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,134.4,134.6,134.5,0.19999999999998863,4.78,0.31792754817444213,212.73770622239564,-0.12801185806724152,0.015,39.74797661715782,2.0488647740803003,117.39130434782611,0.8878852184023751,-0.4600650377311525,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,134.6,134.8,134.7,0.20000000000001705,4.8119999999999985,0.3341547287018246,211.6741528271723,-0.13702666667626467,0.016733,39.80261301113329,2.1035011680557716,120.52173913043461,0.8614365285240015,-0.5078652452418034,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,134.8,135.0,134.9,0.19999999999998863,4.844000000000001,0.3503819092292093,210.82355411269538,-0.14423644537522712,0.018406,39.85724940510877,2.15813756203125,123.65217391304353,0.8324169734703678,-0.5541497832521753,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,135.0,135.2,135.1,0.19999999999998863,4.856000000000001,0.3564671019269779,209.9729553982186,-0.15144622407418837,0.020009,39.911885799084246,2.2127739560067283,126.78260869565243,0.800913158999439,-0.5987805205094261,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,135.2,135.4,135.3,0.20000000000001705,4.848,0.3524103067951316,209.12235668374169,-0.15865600277315084,0.021537,39.966522193059724,2.2674103499822067,129.91304347826133,0.7670191048756776,-0.6416242613521673,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,135.4,135.6,135.5,0.19999999999998863,4.84,0.3483535116632857,208.27175796926488,-0.16586578147211234,0.022986,40.021158587035195,2.322046743957678,133.04347826086985,0.7308359642781209,-0.6825531432186576,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,135.6,135.8,135.7,0.20000000000001705,4.832000000000001,0.34429671653144034,207.4211592547881,-0.1730755601710736,0.024354,40.07579498101067,2.3766831379331492,136.17391304347834,0.6924717219195247,-0.7214450182389566,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,135.8,136.0,135.9,0.19999999999998863,4.824,0.340239921399594,206.5705605403112,-0.18028533887003606,0.025641,40.130431374986145,2.4313195319086276,139.30434782608725,0.6520408717775465,-0.758183817772166,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,136.0,136.2,136.1,0.19999999999998863,4.8180000000000005,0.33719732505071,205.71996182583442,-0.1874951175689973,0.026849,40.185067768961616,2.485955925884099,142.43478260869574,0.6096640753997332,-0.7926598988008592,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,136.2,136.4,136.3,0.20000000000001705,4.814,0.3351689274847868,204.8693631113575,-0.19470489626795978,0.027978,40.239704162937095,2.5405923198595772,145.56521739130466,0.5654678018020015,-0.8247703711489716,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,136.4,136.6,136.5,0.19999999999998863,4.8100000000000005,0.33314052991886417,204.01876439688073,-0.20191467496692103,0.029023,40.294340556912566,2.5952287138350485,148.69565217391315,0.519583950035432,-0.8544194045464896,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,136.6,136.8,136.7,0.20000000000001705,4.806,0.331112132352941,203.22816797369083,-0.2086158669089941,0.02998,40.34897695088804,2.6498651078105198,151.82608695652166,0.47214945554761983,-0.8815185146246709,1,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,136.8,137.0,136.9,0.19999999999998863,4.802,0.32908373478701786,202.46682216038442,-0.21506912710548567,0.030845,40.403613344863516,2.704501501785998,154.95652173913058,0.4233058815134958,-0.9059868269881645,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,137.0,137.2,137.1,0.19999999999998863,4.808999999999999,0.3326334305273828,201.70547634707813,-0.22152238730197626,0.031613,40.45824973883899,2.7591378957614694,158.08695652173907,0.3731989963551925,-0.927751318575984,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,137.2,137.4,137.3,0.20000000000001705,4.827000000000001,0.34176121957403677,200.94413053377173,-0.22797564749846783,0.032279,40.51288613281447,2.813774289736955,161.21739130434838,0.3219783387117292,-0.9467470355910469,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,137.4,137.6,137.5,0.19999999999998863,4.845,0.35088900862068934,200.18278472046543,-0.23442890769495842,0.032846,40.56752252678994,2.868410683712426,164.34782608695687,0.2697967711570183,-0.962917287347801,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,137.6,137.8,137.7,0.20000000000001705,4.862999999999999,0.3600167976673419,199.42143890715914,-0.240882167891449,0.033312,40.622158920765415,2.9230470776878974,167.4782608695654,0.21681002399777793,-0.9762138154595452,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,137.8,138.0,137.9,0.19999999999998863,4.881,0.36914458671399586,199.0996517708581,-0.24360967500075634,0.033678,40.67679531474089,2.9776834716633758,170.6086956521743,0.16317623051313573,-0.986596937860403,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,138.0,138.2,138.1,0.19999999999998863,4.888,0.3726942824543608,198.98199072973617,-0.24460698437066322,0.033944,40.731431708716364,3.032319865638847,173.7391304347828,0.1090554550227866,-0.9940356672322039,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,138.2,138.4,138.3,0.20000000000001705,4.8839999999999995,0.37066588488843766,198.86432968861422,-0.24560429374057033,0.034111,40.78606810269184,3.0869562596143254,176.8695652173917,0.0546092151921032,-0.9985078034828283,1,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,138.4,138.6,138.5,0.19999999999998863,4.88,0.36863748732251495,198.7466686474923,-0.24660160311047719,0.034178,40.840704496667314,3.1415926535897967,180.0000000000002,-3.4302489988857658e-15,-1.0,0,77,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,weak_or_gs_start,Weak/GS start
