catalogue_id,catalogue_label,catalogue_short_label,driver,driver_label,event_type,event_label,event_index,event_age_ka,orbital_value_at_event,phase_unwrapped_rad,phase_rad,phase_deg,phase_fraction,phase_extrapolated,signed_distance_to_min_rad,signed_distance_to_max_rad,source_event_order,event_class,event_class_label
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,1,10.824,-0.01917376,6.080926580148472,6.080926580148472,348.4114285714286,0.9678095238095239,False,-0.20225872703111428,2.939333926558679,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,2,11.514,-0.01961558,6.287220380312637,0.004035073133050737,0.23119266055043733,0.0006422018348623259,False,0.004035073133050736,-3.1375575804567424,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,3,14.617,-0.012525199999999995,7.181565518302466,0.8983802111228796,51.473394495412855,0.14298165137614682,False,0.8983802111228796,-2.2432124424669135,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,4,23.685,0.01720945,9.785219617899994,3.5020343107204077,200.65178571428572,0.5573660714285714,False,-2.7811509964591785,0.3604416571306146,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,5,27.955,0.0006029000000000052,10.982951817081103,4.699766509901517,269.2767857142857,0.7479910714285715,False,-1.5834187972780696,1.5581738563117238,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,6,29.43,-0.006067300000000003,11.396688349585116,5.113503042405529,292.9821428571429,0.8138392857142858,False,-1.169682264774057,1.9719103888157363,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,7,32.675,-0.014802999999999995,12.306908721093944,6.023723413914357,345.13392857142856,0.9587053571428571,False,-0.2594618932652291,2.8821307603245643,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,8,33.995,-0.0151657,12.658291288297539,0.09192067393836645,5.266666666666577,0.01462962962962938,False,0.09192067393836645,-3.0496719796514267,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,9,35.535,-0.013402850000000008,13.016665561373708,0.45029494701453565,25.799999999999923,0.07166666666666645,False,0.45029494701453565,-2.6912977065752575,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,10,38.305,-0.006052449999999991,13.661273831776947,1.0949032174177749,62.73333333333326,0.17425925925925906,False,1.0949032174177749,-2.0466894361720183,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,11,41.595,0.004734649999999992,14.426891596985127,1.860520982625955,106.59999999999998,0.29611111111111105,False,1.860520982625955,-1.2810716709638381,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,12,43.615,0.0100228,14.896966942188934,2.3305963278297614,133.53333333333333,0.37092592592592594,False,2.3305963278297614,-0.8109963257600317,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,13,47.25,0.0139725,15.743935702913733,3.1775650885545605,182.06106870229002,0.5057251908396945,False,-3.105620218625026,0.03597243496476743,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,14,49.65,0.011541000000000006,16.31949466235003,3.753124047990859,215.03816793893125,0.597328244274809,False,-2.5300612591887277,0.6115313944010659,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,15,53.8,-0.001069,17.31473202970863,4.748361415349457,272.06106870229,0.7557251908396945,False,-1.5348238918301293,1.606768761759664,,strong_or_gi_start,Strong/GI start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,pre,Precession index,strong_monsoon_start,Strong monsoon starts,16,54.37,-0.003306899999999997,17.451427282574752,4.885056668215579,279.8931297709924,0.7774809160305344,False,-1.398128638964007,1.7434640146257863,,strong_or_gi_start,Strong/GI start
