catalogue_id,catalogue_label,catalogue_short_label,dataset_id,dataset_label,model_id,term,beta,rate_ratio_per_unit,event_class,event_class_label
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,lr04,lr04_scaled,1.7753497963330254,5.902345394038162,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,co2,intercept,-1.9634077698441517,0.14037922480071735,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,co2,co2_scaled,-2.1993671002446713,0.11087330785060644,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,climate_lr04_co2,intercept,-1.9655093619597217,0.14008451471735037,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,climate_lr04_co2,lr04_scaled,0.4778653340762015,1.6126283026804071,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,climate_lr04_co2,co2_scaled,-1.7810966754389803,0.16845330732764813,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,pre_phase,intercept,-1.9169807563053542,0.14705027317162406,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,pre_phase,pre_phase_sin,-0.35147000950033086,0.7036529525491984,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,pre_phase,pre_phase_cos,-0.3261484589560766,0.7216980369410209,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,lr04_pre_phase,intercept,-2.002015978308625,0.13506272506920294,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,lr04_pre_phase,lr04_scaled,1.8598349165058108,6.4226764060439745,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,lr04_pre_phase,pre_phase_sin,-0.4496494004693833,0.6378517429456562,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,lr04_pre_phase,pre_phase_cos,-0.25465871699600395,0.775181008925332,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,co2_pre_phase,intercept,-2.0241389742916143,0.1321075422220349,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,co2_pre_phase,co2_scaled,-2.223566853181177,0.10822240614546555,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,co2_pre_phase,pre_phase_sin,-0.41323832133996946,0.6615046133747415,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,co2_pre_phase,pre_phase_cos,-0.2758492547773619,0.7589273268075418,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,climate_lr04_co2_pre_phase,intercept,-2.024398086952724,0.13207331591964278,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,climate_lr04_co2_pre_phase,lr04_scaled,0.5679656437601864,1.7646734229236698,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,climate_lr04_co2_pre_phase,co2_scaled,-1.7075554118432286,0.18130847586036916,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,climate_lr04_co2_pre_phase,pre_phase_sin,-0.4238912847514647,0.6544950316312875,weak_or_gs_start,Weak/GS start
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,climate_lr04_co2_pre_phase,pre_phase_cos,-0.2630125933081223,0.7687322163685386,weak_or_gs_start,Weak/GS start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,stationary,intercept,-1.8562979903656263,0.15625,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,lr04,intercept,-1.8584977536716594,0.15590666475002335,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,lr04,lr04_scaled,-0.2857556129105052,0.7514462372674697,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,co2,intercept,-1.8563281216285432,0.15624529206109763,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,co2,co2_scaled,0.03572640039779298,1.0363722566604996,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,climate_lr04_co2,intercept,-1.8625326300436256,0.15527886802500007,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,climate_lr04_co2,lr04_scaled,-0.8766012925010005,0.41619503581309614,strong_or_gi_start,Strong/GI start
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,climate_lr04_co2,co2_scaled,-0.7465205910031051,0.47401297179608903,strong_or_gi_start,Strong/GI start
