catalogue_id,catalogue_label,catalogue_short_label,event_type,event_label,event_class,event_class_label,source,analysis_start_ka,analysis_end_ka,duration_ka,n_events,rate_per_kyr_from_event_count,expected_events_per_20kyr,lohmann_event_count_ES,lohmann_poisson_ES_p_value,conditional_fixed_n_ES_p_value,reject_poisson_ES_at_0p05,reject_fixed_n_ES_at_0p05,n_monte_carlo,event_count_window_ka,time_grid_step_ka,random_seed
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,0.0,640.0,640.0,96,0.15,3.0,2.0102125586107844,0.08318336332733453,0.04879024195160968,False,True,5000,20.0,0.2,20260529
cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,weak_monsoon_start,Weak monsoon starts,weak_or_gs_start,Weak/GS start,data/raw/rousseau_2023_ks_0p4_4kyr_weak_monsoon_start_times.csv,0.0,640.0,640.0,100,0.15625,3.125,2.1914717823966967,0.028194361127774445,0.008198360327934412,True,True,5000,20.0,0.2,20260639
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gi_start,CH4 GI starts,strong_or_gi_start,Strong/GI start,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,0.0,640.0,640.0,100,0.15625,3.125,1.3411483339271664,0.9922015596880623,0.9932013597280543,False,False,5000,20.0,0.2,20280735
ch4_aicc2023_ks_calibrated,CH4 AICC2023 KS-derived starts,CH4,ch4_gs_start,CH4 GS starts,weak_or_gs_start,Weak/GS start,data/processed/ch4_gi_gs_rousseau_ks/ch4_gi_gs_detected_transitions.csv,0.0,640.0,640.0,77,0.1203125,2.40625,1.0789215136601293,0.9994001199760048,0.9994001199760048,False,False,5000,20.0,0.2,20280847
