event_age_ka,event_index,event_type,event_label,event_class,event_class_label,catalogue_id,catalogue_label,catalogue_short_label,source
84.13,25,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
85.0,26,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
89.79,27,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
105.15,28,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
108.55,29,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
128.55,30,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
130.45,31,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
147.65,32,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
149.05,33,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
151.75,34,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
157.05,35,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
158.15,36,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
160.5,37,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
163.8,38,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
168.75,39,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
169.55,40,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
173.15,41,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
176.25,42,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
177.95,43,strong_monsoon_start,Strong monsoon starts,strong_or_gi_start,Strong/GI start,cheng_composite_ks_0p4_4kyr,Cheng/Rousseau speleothem starts,Cheng/Rousseau,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv
