dataset_id,dataset_label,model_id,model_label,terms,bin_width_ka,n_bins,n_events,n_parameters,converged,optimizer_message,log_likelihood,AIC,AICc,BIC,expected_events,max_fitted_rate_per_kyr,mean_fitted_rate_per_kyr,beta_intercept,beta_same_type_history_count,beta_cheng_log_resolution_scaled,beta_lr04_scaled,beta_co2_scaled,beta_pre_phase_sin,beta_pre_phase_cos,pre_phase_amplitude,pre_phase_preferred_rad,pre_phase_preferred_deg,pre_phase_rate_ratio_max_vs_min,beta_AT_scaled,beta_obl_scaled,beta_ecc_scaled,beta_insol65N_scaled,delta_AICc,rank_AICc
strong_monsoon_start,Strong monsoon starts,base_adjusted_climate_phase,"Extended baseline
(full predictive model)",same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos,0.2,3175,95,7,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.33031838561413,820.6606367712283,820.696001469681,863.1020771505158,95.0000523801815,1.2483676932130638,0.14960638170107318,-1.8925547461884034,-0.3587979045796117,-2.881465642972416,1.4561999314982492,-0.7967732428881448,0.02578575133795464,0.6956893504573874,0.696167061352291,0.0370480771973746,2.122698462484428,4.024232150882664,,,,,0.0,1.0
strong_monsoon_start,Strong monsoon starts,base_plus_insol65N,Extended baseline + 65$^{\circ}$N insolation,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+insol65N_scaled,0.2,3175,95,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.0480277880599,822.0960555761199,822.1415388357534,870.6005588667342,94.99996687602595,1.2811370693984125,0.14960624704885975,-1.8951286945840708,-0.3650299360886536,-2.818303841086746,1.609926476275484,-0.772791780719948,0.007147205686665871,0.5562654793893744,0.5563113931148795,0.012847844583105646,0.7361272704519701,3.04232731366638,,,,0.7168203947786561,1.445537366072358,2.0
strong_monsoon_start,Strong monsoon starts,base_plus_obl,Extended baseline + obliquity,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+obl_scaled,0.2,3175,95,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.15370223444506,822.3074044688901,822.3528877285237,870.8119077595045,95.00000885551077,1.279095743486215,0.14960631315828465,-1.8918446981860044,-0.36251911736041065,-2.847917580074393,1.5259488603847722,-0.8046165237799111,0.011522144408008753,0.7064645635210747,0.7065585179748253,0.016308139892439764,0.9343875875457308,4.108742562977592,,0.2455730024138841,,,1.6568862588426327,3.0
strong_monsoon_start,Strong monsoon starts,base_plus_ecc,Extended baseline + eccentricity,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+ecc_scaled,0.2,3175,95,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.2622228093909,822.5244456187818,822.5699288784153,871.0289489093961,94.99996987943913,1.265454569276074,0.14960625177864428,-1.8916067551093665,-0.36214179095454263,-2.9023951423512115,1.3427488093895334,-0.8362774540095396,0.0313916900469912,0.6939990912441777,0.6947086992774387,0.04520223046465424,2.589897030202362,4.012511676788197,,,-0.16547229311934286,,1.8739274087342892,4.0
strong_monsoon_start,Strong monsoon starts,base_plus_AT,Extended baseline + Antarctic T,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled,0.2,3175,95,8,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.32859415496137,822.6571883099227,822.7026715695563,871.1616916005371,94.99984794406926,1.2424086531324843,0.14960605975443975,-1.8927447581797923,-0.3590671095334116,-2.887542644652518,1.4484302080082219,-0.8032528377732724,0.027641765970408298,0.6969686773557544,0.6975165979681004,0.03963920879207932,2.271159367024011,4.035108519613923,-0.03015098831183426,,,,2.0066700998752367,5.0
strong_monsoon_start,Strong monsoon starts,all_without_AT,All extra except Antarctic T,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+obl_scaled+ecc_scaled+insol65N_scaled,0.2,3175,95,10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-402.9114257202958,825.8228514405916,825.8923836782654,886.4534805538595,95.00001026295371,1.3051694073339979,0.14960631537473024,-1.8966310760866534,-0.37075440662369585,-2.84086021403242,1.464789415286905,-0.8192596701436478,0.01534640002989447,0.4894971434594054,0.48973764961333666,0.03134109190796572,1.7957122916580524,2.6630585663915656,,-0.13351844607786703,-0.2593363812636015,1.040008007703543,5.196382208584396,6.0
strong_monsoon_start,Strong monsoon starts,all_without_obl,All extra except obliquity,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+ecc_scaled+insol65N_scaled,0.2,3175,95,10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-402.92371564338794,825.8474312867759,825.9169635244497,886.4780604000438,94.99983422255364,1.3189426845566312,0.14960603814575374,-1.8946938954306836,-0.3696013500745273,-2.826136824644753,1.4906658141660105,-0.8103378792685764,0.009084069485303747,0.53681981375732,0.5368966686065929,0.01692039361028457,0.9694671415694318,2.92645951936351,0.05514964716033027,,-0.22494341642741592,0.8084081837308575,5.22096205476862,7.0
strong_monsoon_start,Strong monsoon starts,all_without_ecc,All extra except eccentricity,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+obl_scaled+insol65N_scaled,0.2,3175,95,10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.04585864729586,826.0917172945917,826.1612495322655,886.7223464078596,94.9998532355614,1.2886433733875318,0.14960606808749824,-1.8947479956657922,-0.3647123271215612,-2.811556677724429,1.617443940115809,-0.7674428285269865,0.004804640194839024,0.5625173972156179,0.5625379158222449,0.008541110700402121,0.48936959548706804,3.0804504356835922,0.030666549024567197,0.024274451985736807,,0.6825376033625269,5.465248062584465,8.0
strong_monsoon_start,Strong monsoon starts,all_without_insol65N,All extra except 65$^{\circ}$N insolation,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+obl_scaled+ecc_scaled,0.2,3175,95,10,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-403.1116510294718,826.2233020589435,826.2928342966173,886.8539311722114,95.0000067571716,1.2983142678232364,0.14960630985381354,-1.890846365961633,-0.36453873717700164,-2.8575263698337547,1.4448641252897727,-0.8256733799293198,0.014317699816428848,0.7028310250423386,0.7029768461977235,0.020368650785060605,1.1670377243598036,4.079415394122705,0.03677472057745153,0.23303994886124557,-0.12873187330880814,,5.596832826936293,9.0
strong_monsoon_start,Strong monsoon starts,extended_all,Extended baseline + all extra forcings,same_type_history_count+cheng_log_resolution_scaled+lr04_scaled+co2_scaled+pre_phase_sin+pre_phase_cos+AT_scaled+obl_scaled+ecc_scaled+insol65N_scaled,0.2,3175,95,11,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,-402.9074039916289,827.8148079832578,827.8982730480697,894.5085000078525,94.99992590205369,1.3154857570835843,0.14960618252291918,-1.896322256485352,-0.3702969391582963,-2.82995786808009,1.4770709250964904,-0.80952286989794,0.012265285253363718,0.4868370830870888,0.48699156326479764,0.025188490411178134,1.4431941928662506,2.648472679611071,0.04680968192661736,-0.12780021129629693,-0.26177763917692387,1.043174043450688,7.202271578388604,10.0
