dataset_id,dataset_label,bin_start_ka,bin_end_ka,bin_center_ka,dt_ka,lr04,lr04_scaled,co2,co2_scaled,precession_index,pre_phase_unwrapped_rad,pre_phase_rad,pre_phase_deg,pre_phase_sin,pre_phase_cos,event_count,n_events_total,source,cheng_local_resolution_ka,cheng_log_resolution,cheng_log_resolution_scaled,same_type_history_count,same_type_history_rate_per_kyr,same_type_history_window_ka,same_type_history_coverage_ka,same_type_history_complete,AT,AT_scaled,obl,obl_scaled,ecc,ecc_scaled,insol65N,insol65N_scaled
strong_monsoon_start,Strong monsoon starts,0.0,0.2,0.1,0.2,3.23,-0.46807650862068967,284.2548271107137,0.47817600233742125,0.016431,3.141592653589793,3.141592653589793,180.0,1.2246467991473532e-16,-1.0,0,96,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,0.10577505709780723,-2.2464405425717815,-0.035116663029604346,0.0,0.0,5.0,5.0,True,-8.078588355878505,-0.2613379789232643,0.40932,0.0472439611272974,0.01675,-0.2451285287760359,479.4743927001953,-0.12428193838662907
strong_monsoon_start,Strong monsoon starts,0.2,0.4,0.30000000000000004,0.2,3.23,-0.46807650862068967,277.9779031582055,0.42497202749291313,0.01669,3.141592653589793,3.141592653589793,180.0,1.2246467991473532e-16,-1.0,0,96,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,0.1398625744478507,-1.9670949495552892,0.01693067662185526,0.0,0.0,5.0,5.0,True,-8.068903815182876,-0.26061218765769995,0.409773,0.058150950750006605,0.016845,-0.24305438354220335,479.74037780761716,-0.12209267262107369
strong_monsoon_start,Strong monsoon starts,0.4,0.6,0.5,0.19999999999999996,3.23,-0.46807650862068967,282.14747448550645,0.4603138238391089,0.016891,3.141592653589793,3.141592653589793,180.0,1.2246467991473532e-16,-1.0,0,96,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,0.012162999999999981,-4.409356722345839,-0.4381086409259285,0.0,0.0,5.0,5.0,True,-8.05921927448725,-0.25988639639213573,0.410226,0.06905794037271581,0.01694,-0.24098023830837076,480.00636291503906,-0.11990340685551786
strong_monsoon_start,Strong monsoon starts,0.6,0.8,0.7,0.20000000000000007,3.23,-0.46807650862068967,282.45326267420137,0.46290572191245916,0.017029,3.141592653589793,3.141592653589793,180.0,1.2246467991473532e-16,-1.0,0,96,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,0.014617499999999983,-4.22553583791445,-0.4038593517077973,0.0,0.0,5.0,5.0,True,-8.049534733791623,-0.25916060512657146,0.410678,0.07994085275564043,0.017032,-0.23897159239771187,480.27234802246096,-0.11771414108996202
strong_monsoon_start,Strong monsoon starts,0.8,1.0,0.9,0.19999999999999996,3.23,-0.46807650862068967,281.0402360883566,0.4509287358127845,0.017104,3.141592653589793,3.141592653589793,180.0,1.2246467991473532e-16,-1.0,0,96,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,0.054523680704063174,-2.9091201633529136,-0.1585863441885254,0.0,0.0,5.0,5.0,True,-8.039850193095994,-0.2584348138610071,0.411129,0.09079968789878046,0.01712,-0.23705027891795113,480.5383331298828,-0.11552487532440664
strong_monsoon_start,Strong monsoon starts,1.0,1.2,1.1,0.19999999999999996,3.225,-0.4706120055780933,279.0387126535184,0.43396357847082356,0.017109,3.1715125836239815,3.1715125836239815,181.7142857142857,-0.029915466169398185,-0.9995524322835033,0,96,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,0.020785499999999974,-3.8734996507573958,-0.3382683867503289,0.0,0.0,5.0,5.0,True,-8.03343373320529,-0.25795394329720034,0.411577,0.10158629132256405,0.0172,-0.23530363029998683,480.96054992675784,-0.11204970038698057
strong_monsoon_start,Strong monsoon starts,1.2,1.4,1.2999999999999998,0.19999999999999996,3.215,-0.4756829994929007,279.1302424127868,0.434739395900903,0.017045,3.2313524436923586,3.2313524436923586,185.14285714285714,-0.08963930890343337,-0.9959742939952391,0,96,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,0.028360223901119305,-3.5627676823874816,-0.28037317486001384,0.0,0.0,5.0,5.0,True,-8.030285354119513,-0.2577179934351512,0.412022,0.11230066302699121,0.017272,-0.233731646543819,481.53899841308595,-0.10728861627768477
strong_monsoon_start,Strong monsoon starts,1.4,1.6,1.5,0.20000000000000018,3.205,-0.4807539934077079,279.26147551419257,0.43585174371310953,0.016914,3.291192303760736,3.291192303760736,188.57142857142858,-0.14904226617617447,-0.9888308262251285,0,96,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,0.07721488531702853,-2.561163025550411,-0.09375538286998632,0.0,0.0,5.0,5.0,True,-8.027136975033734,-0.25748204357310195,0.412465,0.12296688025184921,0.017339,-0.2322688283262739,482.11744689941406,-0.10252753216838897
strong_monsoon_start,Strong monsoon starts,1.6,1.8,1.7000000000000002,0.19999999999999996,3.1950000000000003,-0.4858249873225151,279.535844222272,0.4381773264273853,0.016718,3.3510321638291125,3.3510321638291125,192.0,-0.20791169081775907,-0.9781476007338057,0,96,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,0.08729499999999994,-2.4384620915454,-0.07089389034114908,0.0,0.0,5.0,5.0,True,-8.023988595947957,-0.25724609371105284,0.412904,0.13353678851756484,0.017403,-0.23087150943190252,482.6958953857422,-0.09776644805909317
strong_monsoon_start,Strong monsoon starts,1.8,2.0,1.9,0.19999999999999996,3.185,-0.49089598123732253,277.5153846153846,0.42105166377598024,0.01646,3.4108720238974897,3.4108720238974897,195.42857142857142,-0.26603684556667495,-0.9639628606958534,0,96,data/raw/rousseau_2023_ks_0p4_4kyr_strong_monsoon_start_times.csv,0.14844943748210093,-1.907510867054718,0.028032312220397617,0.0,0.0,5.0,5.0,True,-8.02084021686218,-0.2570101438490037,0.413339,0.14401038782414077,0.017466,-0.22949602364525562,483.2743438720703,-0.09300536394979736
