order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table
1,3.5,3.500,weak_monsoon_start,0.6-4,common_same_date,3.5,0,Rousseau et al. 2023 Scientific Reports Table 1,5,1
2,12.779,12.779,weak_monsoon_start,0.6-4,common_same_date,12.779,0,Rousseau et al. 2023 Scientific Reports Table 1,5,4
3,24.59,24.590,weak_monsoon_start,0.6-4,common_same_date,24.59,0,Rousseau et al. 2023 Scientific Reports Table 1,5,8
4,26.65,26.650,weak_monsoon_start,0.6-4,common_same_date,26.65,0,Rousseau et al. 2023 Scientific Reports Table 1,5,9
5,28.625,28.625,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,28.715,0.09,Rousseau et al. 2023 Scientific Reports Table 1,5,12
6,30.42,30.420,weak_monsoon_start,0.6-4,common_same_date,30.42,0,Rousseau et al. 2023 Scientific Reports Table 1,5,14
7,31.975,31.975,weak_monsoon_start,0.6-4,common_same_date,31.975,0,Rousseau et al. 2023 Scientific Reports Table 1,5,15
8,33.42,33.420,weak_monsoon_start,0.6-4,common_same_date,33.42,0,Rousseau et al. 2023 Scientific Reports Table 1,5,17
9,34.75,34.750,weak_monsoon_start,0.6-4,common_same_date,34.75,0,Rousseau et al. 2023 Scientific Reports Table 1,5,19
10,36.605,36.605,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,36.75,0.145,Rousseau et al. 2023 Scientific Reports Table 1,5,21
11,39.99,39.990,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,39.955,-0.035,Rousseau et al. 2023 Scientific Reports Table 1,5,23
12,42.475,42.475,weak_monsoon_start,0.6-4,common_same_date,42.475,0,Rousseau et al. 2023 Scientific Reports Table 1,5,25
13,44.44,44.440,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,44.485,0.045,Rousseau et al. 2023 Scientific Reports Table 1,5,27
14,45.73,45.730,weak_monsoon_start,0.6-4,common_same_date,45.73,0,Rousseau et al. 2023 Scientific Reports Table 1,5,28
15,48.86,48.860,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,48.47,-0.39,Rousseau et al. 2023 Scientific Reports Table 1,5,30
16,55.23,55.230,weak_monsoon_start,0.6-4,common_same_date,55.23,0,Rousseau et al. 2023 Scientific Reports Table 1,5,35
17,56.32,56.320,weak_monsoon_start,0.6-4,common_same_date,56.32,0,Rousseau et al. 2023 Scientific Reports Table 1,5,37
18,69.575,69.575,weak_monsoon_start,0.6-4,common_same_date,69.575,0,Rousseau et al. 2023 Scientific Reports Table 1,5,43
19,73.35,73.350,weak_monsoon_start,0.6-4,date_shifted_relative_to_other_window,73.4,0.05,Rousseau et al. 2023 Scientific Reports Table 1,5,46
20,77.51,77.510,weak_monsoon_start,0.6-4,common_same_date,77.51,0,Rousseau et al. 2023 Scientific Reports Table 1,5,49
