Peak IG age,Peak IG d18O_smooth,Max deglac age,Max deglac d18O_smooth,Onset deglac age,Onset deglac d18O_smooth,Max inception age,Max inception d18O_smooth
0.0,3.2459999999999996,-13.0,4.097777777777778,-21.0,4.903333333333333,0.0,3.2459999999999996
-123.0,3.227777777777778,-130.0,3.881111111111111,-139.0,4.84,-117.0,3.537777777777778
-239.0,3.5811111111111114,-245.0,4.072222222222222,-251.0,4.4688888888888885,-235.0,3.776666666666667
-328.0,3.263333333333333,-337.0,4.108888888888888,-344.0,4.702222222222222,-322.0,3.4755555555555553
-406.0,3.1744444444444446,-425.0,4.273333333333333,-433.0,5.015555555555555,-397.0,3.585555555555556
-524.0,3.918888888888889,-535.0,4.288888888888889,-540.0,4.487777777777778,-517.0,4.0344444444444445
-613.0,3.578333333333333,-622.0,4.347222222222222,-630.0,5.002777777777777,-606.0,3.77
-697.0,3.606111111111111,-714.0,4.335,-720.0,4.632777777777778,-691.0,3.757222222222223
-781.0,3.546666666666667,-790.0,4.098888888888889,-798.0,4.696111111111112,-774.0,3.762777777777778
