order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table
1,3.5,3.500,weak_monsoon_start,0.4-4,common_same_date,3.5,0,Rousseau et al. 2023 Scientific Reports Table 1,5,1
2,12.779,12.779,weak_monsoon_start,0.4-4,common_same_date,12.779,0,Rousseau et al. 2023 Scientific Reports Table 1,5,4
3,17.835,17.835,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,6
4,24.59,24.590,weak_monsoon_start,0.4-4,common_same_date,24.59,0,Rousseau et al. 2023 Scientific Reports Table 1,5,8
5,26.65,26.650,weak_monsoon_start,0.4-4,common_same_date,26.65,0,Rousseau et al. 2023 Scientific Reports Table 1,5,9
6,27.555,27.555,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,10
7,28.715,28.715,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,28.625,0.09,Rousseau et al. 2023 Scientific Reports Table 1,5,12
8,30.42,30.420,weak_monsoon_start,0.4-4,common_same_date,30.42,0,Rousseau et al. 2023 Scientific Reports Table 1,5,14
9,31.975,31.975,weak_monsoon_start,0.4-4,common_same_date,31.975,0,Rousseau et al. 2023 Scientific Reports Table 1,5,15
10,33.42,33.420,weak_monsoon_start,0.4-4,common_same_date,33.42,0,Rousseau et al. 2023 Scientific Reports Table 1,5,17
11,34.75,34.750,weak_monsoon_start,0.4-4,common_same_date,34.75,0,Rousseau et al. 2023 Scientific Reports Table 1,5,19
12,36.75,36.750,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,36.605,0.145,Rousseau et al. 2023 Scientific Reports Table 1,5,21
13,39.955,39.955,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,39.99,-0.035,Rousseau et al. 2023 Scientific Reports Table 1,5,23
14,42.475,42.475,weak_monsoon_start,0.4-4,common_same_date,42.475,0,Rousseau et al. 2023 Scientific Reports Table 1,5,25
15,44.485,44.485,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,44.44,0.045,Rousseau et al. 2023 Scientific Reports Table 1,5,27
16,45.73,45.730,weak_monsoon_start,0.4-4,common_same_date,45.73,0,Rousseau et al. 2023 Scientific Reports Table 1,5,28
17,48.47,48.470,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,48.86,-0.39,Rousseau et al. 2023 Scientific Reports Table 1,5,30
18,48.92,48.920,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,31
19,55.23,55.230,weak_monsoon_start,0.4-4,common_same_date,55.23,0,Rousseau et al. 2023 Scientific Reports Table 1,5,35
20,56.32,56.320,weak_monsoon_start,0.4-4,common_same_date,56.32,0,Rousseau et al. 2023 Scientific Reports Table 1,5,37
21,68.655,68.655,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,41
22,69.575,69.575,weak_monsoon_start,0.4-4,common_same_date,69.575,0,Rousseau et al. 2023 Scientific Reports Table 1,5,43
23,70.155,70.155,weak_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,44
24,73.4,73.400,weak_monsoon_start,0.4-4,date_shifted_relative_to_other_window,73.35,0.05,Rousseau et al. 2023 Scientific Reports Table 1,5,46
25,77.51,77.510,weak_monsoon_start,0.4-4,common_same_date,77.51,0,Rousseau et al. 2023 Scientific Reports Table 1,5,49
26,88.425,88.425,weak_monsoon_start,0.4-4,common_same_date,88.425,0,Rousseau et al. 2023 Scientific Reports Table 1,5,53
