order,start_time_ka_BP,original_value_in_table,transition_type,ks_window_kyr,relation_to_other_ks_window,paired_other_window_age_ka,difference_0p4_minus_0p6_ka,source_table,source_pdf_page,source_row_index_in_table
1,10.824,10.824,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,11.129,-0.305,Rousseau et al. 2023 Scientific Reports Table 1,5,2
2,11.514,11.514,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,3
3,14.617,14.617,strong_monsoon_start,0.4-4,common_same_date,14.617,0,Rousseau et al. 2023 Scientific Reports Table 1,5,5
4,23.685,23.685,strong_monsoon_start,0.4-4,common_same_date,23.685,0,Rousseau et al. 2023 Scientific Reports Table 1,5,7
5,27.955,27.955,strong_monsoon_start,0.4-4,additional_in_this_window,,,Rousseau et al. 2023 Scientific Reports Table 1,5,11
6,29.43,29.430,strong_monsoon_start,0.4-4,common_same_date,29.43,0,Rousseau et al. 2023 Scientific Reports Table 1,5,13
7,32.675,32.675,strong_monsoon_start,0.4-4,common_same_date,32.675,0,Rousseau et al. 2023 Scientific Reports Table 1,5,16
8,33.995,33.995,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,34.065,-0.07,Rousseau et al. 2023 Scientific Reports Table 1,5,18
9,35.535,35.535,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,35.6,-0.065,Rousseau et al. 2023 Scientific Reports Table 1,5,20
10,38.305,38.305,strong_monsoon_start,0.4-4,common_same_date,38.305,0,Rousseau et al. 2023 Scientific Reports Table 1,5,22
11,41.595,41.595,strong_monsoon_start,0.4-4,date_shifted_relative_to_other_window,41.635,-0.04,Rousseau et al. 2023 Scientific Reports Table 1,5,24
12,43.615,43.615,strong_monsoon_start,0.4-4,common_same_date,43.615,0,Rousseau et al. 2023 Scientific Reports Table 1,5,26
13,47.25,47.250,strong_monsoon_start,0.4-4,common_same_date,47.25,0,Rousseau et al. 2023 Scientific Reports Table 1,5,29
